"","FC","log2(FC)","raw.pval","-log10(p)"
"189.9573 / 12.12  M-H-",0.061149,-4.0315,0.1605,0.79454
"81.0698 / 12.04",0.083669,-3.5792,0.1605,0.79454
"247.1297 / 3.05",0.17907,-2.4814,0.1605,0.79453
"176.1031 / 1.45  MNH4",0.29149,-1.7785,0.1605,0.79453
"585.2561 / 21.16",0.29292,-1.7714,0.1605,0.79453
"541.1353 / 1.52",0.20559,-2.2821,0.16274,0.7885
"554.3470 / 23.89",0.22147,-2.1748,0.16274,0.7885
"255.1141 / 20.50",0.30459,-1.7151,0.16274,0.7885
"613.3559 / 22.86",0.46707,-1.0983,0.16274,0.7885
"159.1014 / 14.65",0.34091,-1.5525,0.16301,0.78779
"482.2845 / 21.75",0.081839,-3.6111,0.16497,0.78259
"446.7100 / 20.52  M-H-",0.0027889,-8.4861,0.16498,0.78257
"381.9936 / 9.00  MNa-2H-",0.0031203,-8.3241,0.16498,0.78257
"318.1123 / 7.62",0.0071997,-7.1178,0.16498,0.78257
"656.3749 / 8.64  M-H-",0.0077932,-7.0036,0.16498,0.78257
"272.1723 / 5.16  MNH4",0.01211,-6.3676,0.16498,0.78257
"223.0210 / 17.93",0.098822,-3.339,0.16498,0.78257
"82.9979 / 7.21",0.15554,-2.6846,0.16498,0.78257
"200.9452 / 32.00",0.20977,-2.2531,0.16498,0.78257
"104.9924 / 18.09",0.32798,-1.6083,0.16563,0.78085
"305.0220 / 16.98",0.25936,-1.947,0.16569,0.7807
"145.0061 / 8.66",0.33295,-1.5866,0.16569,0.7807
"181.0866 / 21.37",0.45066,-1.1499,0.16643,0.77878
"178.0632 / 3.16  M-H-",222.08,7.795,0.16869,0.7729
"174.9928 / 10.10",4.2726,2.0951,0.16869,0.7729
"91.0543 / 8.73",0.42019,-1.2509,0.16945,0.77095
"284.1868 / 8.76  MH",24.202,4.597,0.16951,0.77081
"821.9973 / 21.97  M2H2",0.053098,-4.2352,0.17022,0.76899
"645.3719 / 22.20  M2HNa3",0.11461,-3.1251,0.17109,0.76677
"263.2031 / 22.58",0.24036,-2.0567,0.17248,0.76326
"775.4916 / 21.88  MHNH42",0.032223,-4.9558,0.17253,0.76315
"431.9392 / 12.18",0.36501,-1.454,0.17253,0.76313
"349.2377 / 22.84",0.17185,-2.5408,0.17261,0.76294
"268.9992 / 15.01",0.4928,-1.0209,0.17307,0.76177
"344.9848 / 13.23",0.37929,-1.3986,0.17324,0.76134
"422.9324 / 6.09",0.41134,-1.2816,0.1733,0.76121
"611.9738 / 17.84  M3H3",0.022445,-5.4774,0.17335,0.76106
"643.8348 / 15.51  M2H2",0.067095,-3.8977,0.17335,0.76106
"630.3485 / 7.31",0.068898,-3.8594,0.17335,0.76106
"444.2228 / 15.98",4.4723,2.161,0.17335,0.76106
"536.8069 / 9.29  M2H2",0.23116,-2.113,0.17335,0.76106
"82.9979 / 3.91",0.35791,-1.4823,0.17335,0.76106
"297.0833 / 17.56",2.4046,1.2658,0.17457,0.75803
"483.3071 / 18.09",3.9575,1.9846,0.17488,0.75727
"627.0208 / 20.20",0.35131,-1.5092,0.17488,0.75727
"174.9930 / 29.93",0.44625,-1.1641,0.17488,0.75727
"205.1240 / 22.10  M-H-",0.080375,-3.6371,0.17515,0.7566
"344.2231 / 22.59",0.1462,-2.7739,0.17515,0.7566
"217.1082 / 17.30",0.37175,-1.4276,0.17515,0.7566
"325.2160 / 23.00  M-H2O-H-",0.44999,-1.152,0.17515,0.7566
"144.0460 / 3.07  M-H-",0.46347,-1.1094,0.17515,0.7566
"501.2574 / 18.63  M-2H2-",0.016955,-5.8822,0.1752,0.75646
"99.9251 / 15.42",0.24033,-2.0569,0.1752,0.75646
"275.0534 / 18.59",0.25357,-1.9796,0.17555,0.7556
"373.3063 / 21.14",0.002386,-8.7112,0.1772,0.75154
"272.9379 / 9.15",0.19279,-2.3749,0.1772,0.75154
"697.1411 / 22.09",0.10428,-3.2615,0.17742,0.75099
"426.1096 / 20.80",6.2396,2.6414,0.17742,0.75099
"955.0327 / 26.79",5.547e-06,-17.46,0.17845,0.74848
"621.0037 / 25.30",5.6281e-06,-17.439,0.17845,0.74848
"430.0373 / 15.47  M5H5",6.0302e-05,-14.017,0.17845,0.74848
"409.2221 / 20.93",6.0499e-05,-14.013,0.17845,0.74848
"440.2457 / 3.53  MCH3OHH",0.00010903,-13.163,0.17845,0.74848
"675.8724 / 12.46",0.00011534,-13.082,0.17845,0.74848
"299.2201 / 5.64",0.00014058,-12.796,0.17845,0.74848
"768.4863 / 9.47",0.0001407,-12.795,0.17845,0.74848
"460.5122 / 10.19",0.0001482,-12.72,0.17845,0.74848
"496.9290 / 8.04  M3H3",0.00016371,-12.577,0.17845,0.74848
"511.5108 / 15.54  M4H4",0.00016849,-12.535,0.17845,0.74848
"390.9590 / 8.08",0.00017009,-12.521,0.17845,0.74848
"373.1267 / 4.93",0.00018222,-12.422,0.17845,0.74848
"437.7313 / 5.81",0.00018568,-12.395,0.17845,0.74848
"520.6084 / 8.08  M3H3",0.00020227,-12.271,0.17845,0.74848
"116.9287 / 5.68",0.00020373,-12.261,0.17845,0.74848
"427.4488 / 7.60",0.00021369,-12.192,0.17845,0.74848
"428.4894 / 11.87",0.00022523,-12.116,0.17845,0.74848
"621.8709 / 14.67  M-2H2-",0.00022814,-12.098,0.17845,0.74848
"986.5710 / 11.92",0.00024117,-12.018,0.17845,0.74848
"661.3676 / 5.10",0.00037809,-11.369,0.17845,0.74848
"263.9940 / 21.34",0.0005268,-10.89,0.17845,0.74848
"946.4737 / 10.84  MNa-2H-",0.0005446,-10.843,0.17845,0.74848
"824.5010 / 9.38",0.00055848,-10.806,0.17845,0.74848
"859.4892 / 6.71",0.00057657,-10.76,0.17845,0.74848
"684.8442 / 12.47  M-2H2-",0.00058688,-10.735,0.17845,0.74848
"428.6883 / 13.87  M-H-",0.00061071,-10.677,0.17845,0.74848
"405.2226 / 9.00",0.00061773,-10.661,0.17845,0.74848
"371.2901 / 21.14",0.00064916,-10.589,0.17845,0.74848
"439.7404 / 15.04",0.00071377,-10.452,0.17845,0.74848
"494.2965 / 5.44",0.00075558,-10.37,0.17845,0.74848
"865.4799 / 9.38",0.00078472,-10.316,0.17845,0.74848
"201.0265 / 12.46",0.00082142,-10.25,0.17845,0.74848
"527.5037 / 14.27",0.00082321,-10.246,0.17845,0.74848
"474.0127 / 14.98  MNa-2H-",0.0008875,-10.138,0.17845,0.74848
"815.4051 / 7.52",0.00093027,-10.07,0.17845,0.74848
"658.3884 / 8.62  MNH4",0.0012612,-9.631,0.17845,0.74848
"939.5600 / 13.84",0.0013244,-9.5604,0.17845,0.74848
"149.0234 / 12.45",0.0015914,-9.2955,0.17845,0.74848
"545.0150 / 12.59",0.0017772,-9.1362,0.17845,0.74848
"131.9157 / 13.01",0.0034099,-8.1961,0.17845,0.74848
"82.9976 / 9.58",0.005985,-7.3844,0.17845,0.74848
"116.9861 / 30.15",0.0084034,-6.8948,0.17845,0.74848
"225.9236 / 13.88",0.0091082,-6.7786,0.17845,0.74848
"163.0146 / 5.08",0.010022,-6.6406,0.17845,0.74848
"283.0497 / 31.87",0.025257,-5.3072,0.17845,0.74848
"438.0929 / 11.34  MNa",0.027523,-5.1832,0.17845,0.74848
"438.0931 / 12.72",0.056912,-4.1351,0.17845,0.74848
"91.0540 / 31.87",0.069331,-3.8504,0.17845,0.74848
"187.0287 / 31.57",0.2277,-2.1348,0.17845,0.74848
"903.5728 / 23.54",0.26853,-1.8969,0.17887,0.74746
"319.1946 / 10.97",0.33793,-1.5652,0.18003,0.74465
"303.0954 / 7.15  MH",3.5593,1.8316,0.18006,0.74458
"547.2280 / 20.46",0.015687,-5.9943,0.18008,0.74454
"404.1594 / 2.26",0.091268,-3.4537,0.18008,0.74454
"333.1052 / 22.10",0.106,-3.2378,0.18008,0.74454
"326.0873 / 5.40",8.2581,3.0458,0.18008,0.74454
"150.0017 / 19.55",0.18276,-2.452,0.18025,0.74411
"81.0694 / 16.57",0.36218,-1.4652,0.18025,0.74411
"98.9756 / 13.79",0.3862,-1.3726,0.18025,0.74411
"350.1321 / 9.24  MNa-2H-",0.31927,-1.6472,0.18294,0.73768
"155.0701 / 16.46",0.18505,-2.434,0.18311,0.73729
"624.3013 / 20.61  MNa-2H-",0.097206,-3.3628,0.18388,0.73546
"387.1507 / 4.75",0.019078,-5.7119,0.18393,0.73534
"186.9953 / 16.88",0.36549,-1.4521,0.18393,0.73534
"223.0636 / 7.35",0.41067,-1.284,0.18393,0.73534
"279.1523 / 3.89",0.18522,-2.4327,0.18438,0.73429
"491.1786 / 2.60",0.057632,-4.117,0.18455,0.73389
"723.5412 / 26.09",0.0026018,-8.5863,0.18457,0.73383
"773.2880 / 9.30  MNa-2H-",0.027209,-5.1998,0.18457,0.73383
"217.0034 / 12.06",0.25786,-1.9553,0.18457,0.73383
"453.2469 / 21.57  2MK-2H-",0.18641,-2.4235,0.18461,0.73374
"557.1351 / 3.92  2MNa-2H-",0.031713,-4.9788,0.18499,0.73285
"317.2130 / 21.40",0.24302,-2.0408,0.18539,0.73191
"407.1889 / 16.21",0.44325,-1.1738,0.18539,0.73191
"90.9479 / 0.80",2.0331,1.0237,0.18539,0.73191
"136.0762 / 3.04",0.4958,-1.0122,0.18539,0.73191
"334.1214 / 10.11",0.056688,-4.1408,0.1857,0.73118
"84.0806 / 3.61",0.087669,-3.5118,0.18611,0.73022
"306.1448 / 4.88",0.025811,-5.2759,0.18717,0.72776
"203.0327 / 20.64",0.27917,-1.8408,0.18717,0.72776
"223.0209 / 16.92",0.35821,-1.4811,0.18717,0.72776
"796.2723 / 20.97",2.5173,1.3319,0.18717,0.72776
"463.0140 / 13.06",0.46336,-1.1098,0.18717,0.72776
"409.1161 / 14.20",34.631,5.114,0.19015,0.7209
"251.6311 / 7.99  M2H2",0.12192,-3.036,0.19015,0.7209
"360.9581 / 12.92",0.28284,-1.8219,0.19135,0.71816
"301.1418 / 5.32",0.49654,-1.01,0.19138,0.71811
"101.0083 / 14.28",0.29673,-1.7528,0.19142,0.718
"159.1172 / 20.44",0.031242,-5.0004,0.19159,0.71763
"432.3116 / 22.89",0.091265,-3.4538,0.19199,0.71671
"540.9904 / 21.94",0.059016,-4.0828,0.19256,0.71543
"553.9978 / 21.56",0.11871,-3.0745,0.19343,0.71348
"826.9126 / 13.53  M-2H2-",0.0094547,-6.7248,0.19516,0.7096
"263.9949 / 12.46",0.093208,-3.4234,0.19516,0.7096
"263.9947 / 15.61",0.11222,-3.1556,0.19516,0.7096
"381.0100 / 14.78",0.1917,-2.3831,0.19516,0.7096
"347.9446 / 31.78",0.23546,-2.0865,0.19516,0.7096
"347.2585 / 23.28",0.050451,-4.309,0.19636,0.70695
"956.5588 / 22.20  M2H2",0.049458,-4.3377,0.19827,0.70274
"316.1003 / 2.38",0.14182,-2.8178,0.19827,0.70274
"412.2857 / 22.49",0.17517,-2.5131,0.19841,0.70244
"215.0489 / 3.56",0.29606,-1.756,0.19841,0.70244
"271.0922 / 4.10",2.862,1.517,0.19841,0.70244
"600.3251 / 23.96",0.26499,-1.916,0.19868,0.70185
"254.9832 / 1.88",0.44142,-1.1798,0.19868,0.70185
"428.2319 / 20.82",0.39703,-1.3327,0.19882,0.70155
"161.1328 / 22.10",0.02309,-5.4366,0.19886,0.70145
"516.2926 / 21.18  M2H2",0.15378,-2.701,0.19886,0.70145
"219.1352 / 2.19  MNH4",0.16537,-2.5962,0.19886,0.70145
"522.3563 / 24.02",0.27586,-1.858,0.19886,0.70145
"413.3038 / 24.48  MH",0.29405,-1.7659,0.19886,0.70145
"282.9770 / 2.88",2.5471,1.3489,0.19886,0.70145
"639.4143 / 23.38",0.39708,-1.3325,0.19886,0.70145
"269.1369 / 21.45  M-H-",0.45645,-1.1315,0.19886,0.70145
"205.1592 / 22.51  M-H2O-H-",0.46083,-1.1177,0.19886,0.70145
"145.0051 / 10.91",0.29832,-1.7451,0.19925,0.70061
"277.0545 / 22.61",0.01791,-5.8031,0.19961,0.69983
"102.1277 / 13.04",0.3741,-1.4185,0.20048,0.69793
"612.3104 / 22.88  M-H-",0.094456,-3.4042,0.20199,0.69468
"289.1655 / 21.27  M-H-",3.3801,1.7571,0.20199,0.69468
"605.2387 / 21.16  MNa-2H-",0.31995,-1.6441,0.20199,0.69468
"99.9260 / 10.41",4.0652,2.0233,0.20463,0.68903
"292.9917 / 14.29",2.3945,1.2597,0.20463,0.68903
"201.0262 / 27.15",2.283,1.1909,0.20463,0.68903
"295.0475 / 5.74  MNa",0.063616,-3.9745,0.20584,0.68647
"81.0697 / 9.68",0.27738,-1.85,0.20584,0.68647
"177.1022 / 8.55",0.31581,-1.6629,0.20584,0.68647
"288.9106 / 9.27",0.39222,-1.3503,0.20584,0.68647
"141.0175 / 8.59",0.43556,-1.1991,0.20584,0.68647
"234.9762 / 16.15",0.44946,-1.1537,0.20584,0.68647
"398.0625 / 20.78",0.04929,-4.3426,0.20683,0.68438
"415.2469 / 19.84",8.9351,3.1595,0.20683,0.68438
"91.0531 / 4.92",2.9293,1.5506,0.20713,0.68375
"180.0674 / 8.37",8.9302,3.1587,0.20749,0.683
"592.5482 / 19.04  M2H2",0.031433,-4.9916,0.20812,0.68168
"365.1267 / 15.51",21.034,4.3946,0.20812,0.68168
"289.9934 / 31.81",4.3797,2.1308,0.20812,0.68168
"645.5691 / 20.35",0.01364,-6.196,0.20872,0.68043
"374.9936 / 25.27",0.49638,-1.0105,0.20872,0.68043
"748.1016 / 22.39",0.059718,-4.0657,0.21036,0.67705
"359.1549 / 2.79  M-H-",0.029804,-5.0684,0.21048,0.67678
"467.1904 / 21.18",2.5025,1.3234,0.21048,0.67678
"589.2990 / 23.11  MNa-2H-",0.083622,-3.58,0.21141,0.67487
"310.1383 / 2.44",0.060457,-4.048,0.21285,0.67193
"383.2210 / 22.71",0.16005,-2.6434,0.21299,0.67165
"496.3410 / 23.92",0.23707,-2.0766,0.21303,0.67156
"309.0827 / 10.59  MNa",2.1443,1.1005,0.21303,0.67156
"292.9921 / 8.81",0.27239,-1.8762,0.21339,0.67083
"349.0305 / 18.56",0.31781,-1.6538,0.21339,0.67083
"485.3596 / 8.83  MH",2.2279,1.1557,0.21339,0.67083
"971.4625 / 22.10",0.0043947,-7.83,0.21443,0.66871
"525.7472 / 17.70  M-2H2-",0.0057556,-7.4408,0.21443,0.66871
"866.4758 / 13.30",0.097396,-3.36,0.21443,0.66871
"100.9257 / 5.94",0.18061,-2.469,0.21443,0.66871
"201.0251 / 15.65",0.30324,-1.7215,0.21443,0.66871
"508.9901 / 20.55",0.34943,-1.5169,0.21443,0.66871
"120.0806 / 8.31",0.038583,-4.6959,0.21547,0.66661
"285.1106 / 21.84",0.16289,-2.618,0.21644,0.66466
"379.1141 / 3.16  2MNa-2H-",6.2029,2.6329,0.21719,0.66316
"279.0187 / 15.53",0.40978,-1.2871,0.21719,0.66316
"296.2139 / 11.02",0.38091,-1.3925,0.21771,0.66213
"199.1338 / 22.62",4.1138,2.0405,0.21875,0.66005
"449.2018 / 19.81",5.8445,2.5471,0.2188,0.65996
"252.1140 / 21.20  MH",17.229,4.1068,0.21992,0.65774
"429.1198 / 19.97",3.8182,1.9329,0.21997,0.65765
"374.1751 / 3.17",0.050678,-4.3025,0.22229,0.65309
"334.0494 / 16.06",224.3,7.8093,0.22479,0.64822
"121.0986 / 5.39",0.47004,-1.0892,0.22479,0.64822
"207.9684 / 6.13",0.40897,-1.2899,0.22558,0.64671
"141.0182 / 20.21  M-H-",0.441,-1.1811,0.22558,0.64671
"237.1346 / 7.98",0.0834,-3.5838,0.2257,0.64647
"447.2740 / 23.20",0.36503,-1.4539,0.22703,0.64393
"272.9382 / 11.51",0.31588,-1.6626,0.22713,0.64373
"234.9763 / 11.43",0.39716,-1.3322,0.22713,0.64373
"207.9682 / 31.97",8.6624,3.1148,0.22729,0.64342
"230.1214 / 1.80",0.18921,-2.402,0.22787,0.64231
"560.3206 / 21.34  M2H2",0.10596,-3.2384,0.22792,0.64222
"229.0384 / 5.18",0.46702,-1.0984,0.22792,0.64222
"464.1533 / 11.22  MNa-2H-",24.426,4.6103,0.22883,0.64049
"325.0746 / 5.33",5.3002,2.406,0.22883,0.64049
"259.1737 / 9.47",3.1772,1.6678,0.22883,0.64049
"469.3265 / 13.45",2.9964,1.5832,0.22883,0.64049
"380.2784 / 9.41",2.5148,1.3305,0.22883,0.64049
"91.0522 / 6.75",2.1617,1.1122,0.22905,0.64008
"457.9965 / 22.29",0.14615,-2.7744,0.22966,0.63892
"309.1735 / 28.33",0.15249,-2.7132,0.23161,0.63525
"583.2576 / 21.16  M-H-",0.33617,-1.5727,0.23161,0.63525
"129.0552 / 5.18",0.41831,-1.2574,0.23161,0.63525
"261.0742 / 21.38  MNa-2H-",0.43524,-1.2001,0.23161,0.63525
"229.0693 / 3.88",0.49889,-1.0032,0.23161,0.63525
"304.1753 / 6.45",2.3831,1.2528,0.23288,0.63287
"365.0851 / 10.32",8.3585,3.0632,0.23346,0.63178
"415.9856 / 21.27",0.048653,-4.3613,0.23434,0.63015
"690.2775 / 9.96",0.015533,-6.0085,0.23503,0.62887
"150.0555 / 13.43",0.067846,-3.8816,0.23503,0.62887
"972.4802 / 7.93  MNa-2H-",0.0729,-3.7779,0.23503,0.62887
"775.2967 / 8.03",0.12549,-2.9944,0.23503,0.62887
"291.9889 / 13.83",0.24903,-2.0056,0.23503,0.62887
"703.0020 / 27.31",0.38044,-1.3943,0.23503,0.62887
"379.1077 / 17.76",1346.4,10.395,0.23516,0.62865
"209.1903 / 0.47",190.43,7.5731,0.23516,0.62865
"305.0246 / 28.09  2MNa-2H-",19.178,4.2614,0.23516,0.62865
"81.0681 / 7.01",7.4298,2.8933,0.23516,0.62865
"507.2327 / 23.00",0.08895,-3.4909,0.23521,0.62855
"162.0555 / 11.08",0.44325,-1.1738,0.23717,0.62494
"315.0726 / 4.47",4.8038,2.2642,0.23782,0.62375
"243.8816 / 31.78",4.8984,2.2923,0.24009,0.61962
"323.1757 / 2.57  M2H2",0.079522,-3.6525,0.24182,0.61651
"121.0294 / 13.30",0.40802,-1.2933,0.24187,0.61642
"262.1489 / 2.71",0.21034,-2.2492,0.24258,0.61515
"457.2024 / 20.94",2.0459,1.0327,0.2429,0.61457
"150.0415 / 3.17",0.043771,-4.5139,0.2431,0.61421
"274.1399 / 1.94",0.056068,-4.1567,0.2431,0.61421
"607.2543 / 21.14  MNa",0.27813,-1.8462,0.24334,0.61379
"290.1375 / 8.92  MNa",47.61,5.5732,0.2435,0.6135
"218.0066 / 12.39",0.29776,-1.7478,0.2435,0.6135
"298.0815 / 8.25",0.3049,-1.7136,0.2435,0.6135
"696.1672 / 21.69  MNa-2H-",0.15092,-2.7281,0.24353,0.61345
"121.0395 / 2.88  MH",6.3336,2.663,0.24353,0.61345
"586.2750 / 21.19",0.27073,-1.8851,0.24353,0.61345
"585.2741 / 21.14  MH",0.27232,-1.8766,0.24353,0.61345
"247.1081 / 10.59  MH",2.1979,1.1361,0.24353,0.61345
"329.2323 / 22.58",2.1124,1.0789,0.24353,0.61345
"301.1451 / 12.09",0.20663,-2.2749,0.24545,0.61004
"283.1424 / 19.96",13.721,3.7783,0.24584,0.60934
"262.9824 / 14.85",0.30084,-1.7329,0.24659,0.60802
"676.0917 / 6.02",0.07309,-3.7742,0.24667,0.60789
"289.9932 / 11.93",0.30238,-1.7256,0.24667,0.60789
"150.0408 / 4.29",0.087651,-3.5121,0.24749,0.60645
"817.0093 / 1.07",0.25913,-1.9483,0.24749,0.60645
"293.2119 / 23.15",0.29327,-1.7697,0.24749,0.60645
"631.2420 / 23.67",0.40491,-1.3043,0.24749,0.60645
"628.0610 / 1.07",2.1383,1.0964,0.24749,0.60645
"825.3533 / 22.10",0.057501,-4.1203,0.24762,0.60622
"218.0059 / 31.91",0.47373,-1.0779,0.24803,0.6055
"703.5760 / 26.79",0.0071,-7.138,0.2491,0.60362
"298.1385 / 4.02",0.070421,-3.8279,0.2491,0.60362
"132.9554 / 4.53",2.0642,1.0456,0.2491,0.60362
"82.9979 / 10.37",0.33626,-1.5723,0.25059,0.60104
"551.0331 / 17.25",0.40174,-1.3157,0.25059,0.60104
"195.0655 / 11.58",9.6387,3.2688,0.25073,0.60079
"262.9813 / 12.71",0.27907,-1.8413,0.25073,0.60079
"249.9786 / 17.97",0.44179,-1.1786,0.25073,0.60079
"371.1684 / 21.27",3.1957,1.6761,0.25118,0.60001
"221.0797 / 20.01  MNa-2H-",0.19034,-2.3934,0.25161,0.59927
"267.9361 / 13.44",0.2447,-2.0309,0.25179,0.59896
"455.1885 / 20.96  MNa-2H-",6.2575,2.6456,0.25422,0.59479
"371.0846 / 9.43",18.096,4.1776,0.25686,0.5903
"724.2773 / 9.31  MNa-2H-",0.019026,-5.7159,0.257,0.59007
"499.3383 / 16.66",2.4306,1.2813,0.257,0.59007
"297.0819 / 7.56",0.44965,-1.1531,0.257,0.59007
"151.0750 / 20.08",2.3672,1.2432,0.25718,0.58977
"465.2248 / 20.46  M-H-",0.0058784,-7.4104,0.25824,0.58797
"231.1155 / 9.54",0.23739,-2.0747,0.2594,0.58603
"358.2584 / 20.33",2.6825,1.4236,0.2594,0.58603
"365.2670 / 23.36",0.4793,-1.061,0.25974,0.58547
"318.1916 / 10.94",0.3985,-1.3273,0.25983,0.58531
"226.9968 / 1.61",28.508,4.8333,0.25988,0.58523
"220.0676 / 1.45  MCH3OHH",0.36389,-1.4584,0.25988,0.58523
"280.0281 / 2.75",2.3485,1.2317,0.25988,0.58523
"375.2159 / 21.40",0.4861,-1.0407,0.25988,0.58523
"343.0672 / 9.08",5.9354,2.5693,0.2603,0.58452
"174.9920 / 19.12",0.42224,-1.2439,0.2628,0.58037
"207.9673 / 13.88",5.5247,2.4659,0.26299,0.58006
"82.9979 / 5.52",0.2082,-2.264,0.26321,0.5797
"720.3089 / 21.15",0.019762,-5.6611,0.26328,0.57959
"161.0259 / 6.43",3.1862,1.6718,0.26328,0.57959
"116.9861 / 8.13",4.3118,2.1083,0.2638,0.57872
"461.9536 / 21.75  M3H3",0.020953,-5.5767,0.26607,0.57501
"463.0103 / 18.53",0.33287,-1.587,0.26607,0.57501
"658.2929 / 22.87",0.072401,-3.7879,0.26664,0.57408
"156.9589 / 9.81",0.41641,-1.2639,0.26735,0.57292
"132.9579 / 13.28",0.3946,-1.3415,0.26739,0.57286
"114.9466 / 14.19",0.42586,-1.2316,0.26746,0.57275
"687.4418 / 21.69  MHNH42",0.035223,-4.8273,0.2698,0.56896
"303.1447 / 13.93",9.184,3.1991,0.2698,0.56896
"473.9902 / 21.59",0.0070468,-7.1488,0.27013,0.56843
"844.5125 / 22.01",0.035772,-4.805,0.27013,0.56843
"423.1767 / 18.93",4.2988,2.1039,0.27158,0.56611
"227.9975 / 7.30  M-H-",6.3354,2.6634,0.27292,0.56396
"284.1861 / 12.11",2.8962,1.5342,0.276,0.55909
"136.0757 / 10.59",2.5027,1.3235,0.27678,0.55787
"366.1093 / 1.49",0.40813,-1.2929,0.27697,0.55756
"341.0664 / 1.18",0.45225,-1.1448,0.27697,0.55756
"183.0302 / 9.36",5.1432,2.3627,0.27755,0.55666
"368.0086 / 21.56  M-H-",0.066303,-3.9148,0.27771,0.55641
"271.1404 / 6.84",0.010834,-6.5283,0.28026,0.55245
"114.9483 / 3.95",0.31956,-1.6458,0.28031,0.55237
"447.0354 / 18.92",0.4214,-1.2467,0.28031,0.55237
"733.7571 / 22.36",0.01917,-5.705,0.28035,0.55231
"324.0991 / 8.86",9.8409,3.2988,0.28035,0.55231
"313.0561 / 5.11",5.6852,2.5072,0.28035,0.55231
"753.9809 / 21.85",0.055502,-4.1713,0.28081,0.55159
"186.9955 / 12.31",0.37133,-1.4292,0.28086,0.55151
"264.0880 / 13.03  MAcO-H-",2.6512,1.4066,0.28086,0.55151
"133.0663 / 20.46  M-H-",0.029541,-5.0811,0.28174,0.55015
"221.1185 / 20.46  M-H-",0.044137,-4.5019,0.28174,0.55015
"327.0681 / 4.00",2.2456,1.1671,0.28388,0.54687
"213.1607 / 7.31",0.22843,-2.1302,0.28414,0.54647
"131.9165 / 4.66",0.34753,-1.5248,0.28414,0.54647
"174.9915 / 13.63",0.41292,-1.2761,0.28414,0.54647
"283.0500 / 9.63",0.45653,-1.1312,0.28447,0.54596
"354.9404 / 11.43",0.45757,-1.128,0.28447,0.54596
"276.0847 / 18.55",0.055843,-4.1625,0.2879,0.54076
"208.0428 / 12.79",3.0831,1.6244,0.2879,0.54076
"587.1835 / 6.79",9.9801,3.3191,0.28891,0.53924
"302.1499 / 11.77",0.11404,-3.1323,0.28891,0.53924
"155.9748 / 6.68",4.6648,2.2218,0.28908,0.53899
"146.0604 / 14.46",0.1022,-3.2906,0.28919,0.53881
"255.0495 / 5.01  MNa",0.1025,-3.2863,0.28919,0.53881
"130.0500 / 11.84",4.8387,2.2746,0.28977,0.53795
"731.4686 / 21.78  MHNH42",0.046307,-4.4326,0.29018,0.53734
"312.0021 / 21.27  M-H-",0.040362,-4.6309,0.29021,0.53728
"327.0504 / 18.60",0.35478,-1.495,0.29074,0.53649
"515.2377 / 22.10",0.026081,-5.2608,0.29213,0.53443
"378.1321 / 3.82",0.011137,-6.4884,0.29223,0.53427
"355.1030 / 12.69",48.483,5.5994,0.29223,0.53427
"267.9343 / 15.23",0.11744,-3.09,0.29223,0.53427
"354.9408 / 10.72",0.27886,-1.8424,0.29223,0.53427
"379.1298 / 14.79  MNa-2H-",0.00024924,-11.97,0.29303,0.53309
"787.4564 / 18.67",0.00041421,-11.237,0.29303,0.53309
"616.8571 / 15.96  M2H2",0.0013925,-9.4881,0.29303,0.53309
"683.7909 / 11.61  M-2H2-",0.0093475,-6.7412,0.29303,0.53309
"467.1537 / 13.43  MNa-2H-",0.012476,-6.3247,0.29303,0.53309
"82.9978 / 15.93",0.03293,-4.9245,0.29303,0.53309
"96.9606 / 5.42",0.048551,-4.3644,0.29303,0.53309
"116.0705 / 6.09",0.06255,-3.9989,0.29303,0.53309
"151.0993 / 11.55",8.5253,3.0918,0.29303,0.53309
"256.9641 / 15.19",0.12389,-3.0128,0.29303,0.53309
"132.9591 / 5.20",0.18294,-2.4506,0.29303,0.53309
"131.9157 / 7.41",3.2395,1.6958,0.29303,0.53309
"219.0128 / 9.66",3.0251,1.597,0.29303,0.53309
"491.2384 / 23.65",0.34329,-1.5425,0.29389,0.53181
"209.0436 / 7.83",2.0355,1.0254,0.29389,0.53181
"325.1296 / 20.29",2.034,1.0243,0.29438,0.53109
"135.0303 / 3.15  MH",0.032393,-4.9482,0.29462,0.53073
"567.3167 / 23.11  M-H-",0.10672,-3.2281,0.29482,0.53045
"327.2106 / 14.65",0.4394,-1.1864,0.29482,0.53045
"355.2475 / 22.05",0.023107,-5.4356,0.29504,0.53012
"483.9401 / 21.75  M2HNa3",0.046021,-4.4416,0.29716,0.52701
"344.9840 / 31.37",0.46184,-1.1145,0.29905,0.52425
"227.1085 / 20.97",2.0243,1.0174,0.29949,0.52362
"658.3952 / 22.23  M3H3",0.078513,-3.6709,0.29989,0.52303
"595.3874 / 23.35",0.44262,-1.1759,0.30378,0.51744
"183.1124 / 1.84",0.30338,-1.7208,0.30397,0.51716
"513.3044 / 10.75",0.34146,-1.5502,0.3051,0.51556
"189.9574 / 7.14  M-H-",0.47758,-1.0662,0.3051,0.51556
"292.9919 / 9.42",0.49427,-1.0166,0.3051,0.51556
"283.0494 / 17.71",0.31665,-1.659,0.30608,0.51416
"141.0170 / 14.22  M-H-",0.42174,-1.2456,0.30608,0.51416
"353.1452 / 14.39  M-H-",3.3621,1.7494,0.30713,0.51268
