"","FC","log2(FC)","raw.pval","-log10(p)"
"350.1709 / 8.34  MH",6.8258e-05,-13.839,1.916e-05,4.7176
"466.2679 / 15.17  M2H2",7.0716e-05,-13.788,1.916e-05,4.7176
"425.2027 / 15.20  M-H-",7.0896e-05,-13.784,1.916e-05,4.7176
"441.2346 / 6.68  MCH3OHH",7.2463e-05,-13.752,1.916e-05,4.7176
"429.2712 / 15.30",7.2963e-05,-13.742,1.916e-05,4.7176
"421.2143 / 12.79  M2H2",7.3418e-05,-13.734,1.916e-05,4.7176
"482.7359 / 19.37  M2H2",7.354e-05,-13.731,1.916e-05,4.7176
"415.2297 / 1.91",7.6076e-05,-13.682,1.916e-05,4.7176
"408.7460 / 9.41  M2Na2",7.639e-05,-13.676,1.916e-05,4.7176
"542.2931 / 9.50",7.8309e-05,-13.64,1.916e-05,4.7176
"446.7056 / 11.36",7.8409e-05,-13.639,1.916e-05,4.7176
"553.2641 / 13.63",7.857e-05,-13.636,1.916e-05,4.7176
"472.7398 / 10.98  M2H2",8.0828e-05,-13.595,1.916e-05,4.7176
"364.1868 / 14.15",8.1298e-05,-13.586,1.916e-05,4.7176
"470.2608 / 19.07",8.3995e-05,-13.539,1.916e-05,4.7176
"630.2625 / 15.74",8.4646e-05,-13.528,1.916e-05,4.7176
"479.2495 / 12.55",8.6959e-05,-13.489,1.916e-05,4.7176
"590.2911 / 16.30  M2",8.9706e-05,-13.444,1.916e-05,4.7176
"372.2198 / 10.26",9.2091e-05,-13.407,1.916e-05,4.7176
"440.2411 / 16.30  M2H2",9.4055e-05,-13.376,1.916e-05,4.7176
"545.2924 / 13.42",9.7507e-05,-13.324,1.916e-05,4.7176
"421.2419 / 12.52  MNa",9.9432e-05,-13.296,1.916e-05,4.7176
"510.3289 / 15.85",0.00010246,-13.253,1.916e-05,4.7176
"300.1555 / 8.90  MH",0.00010249,-13.252,1.916e-05,4.7176
"547.3103 / 13.42  MHNa2",0.00010256,-13.251,1.916e-05,4.7176
"632.2772 / 15.72",0.0001043,-13.227,1.916e-05,4.7176
"557.2830 / 13.52  MHNH42",0.00010718,-13.188,1.916e-05,4.7176
"661.2680 / 15.12",0.00011105,-13.137,1.916e-05,4.7176
"703.3102 / 19.44",0.00011603,-13.073,1.916e-05,4.7176
"494.2521 / 3.07",0.0001209,-13.014,1.916e-05,4.7176
"453.7125 / 10.42",0.00012317,-12.987,1.916e-05,4.7176
"445.3022 / 15.98",0.00012513,-12.964,1.916e-05,4.7176
"500.2716 / 7.80",0.00012562,-12.959,1.916e-05,4.7176
"659.7995 / 7.59",0.0001336,-12.87,1.916e-05,4.7176
"701.3137 / 19.36  M-2H2-",0.00013523,-12.852,1.916e-05,4.7176
"334.1397 / 6.13  MH",0.00013543,-12.85,1.916e-05,4.7176
"523.2119 / 7.93  MNa-2H-",0.00013725,-12.831,1.916e-05,4.7176
"488.2718 / 16.09",0.00014442,-12.757,1.916e-05,4.7176
"409.2094 / 10.45  MNH4",0.00014634,-12.738,1.916e-05,4.7176
"507.2452 / 10.46  MNa",0.00014709,-12.731,1.916e-05,4.7176
"470.1875 / 11.02",0.00014723,-12.73,1.916e-05,4.7176
"451.2195 / 11.27",0.00015439,-12.661,1.916e-05,4.7176
"436.1726 / 12.88",0.00015804,-12.627,1.916e-05,4.7176
"408.7092 / 10.81  M2H2",0.00016901,-12.531,1.916e-05,4.7176
"814.3984 / 10.80  M-H-",0.00016892,-12.531,1.916e-05,4.7176
"536.2383 / 10.22",0.00017079,-12.515,1.916e-05,4.7176
"488.2569 / 13.17",0.00017788,-12.457,1.916e-05,4.7176
"666.8180 / 19.83  M2H2",0.00017808,-12.455,1.916e-05,4.7176
"173.1288 / 10.77",0.00018118,-12.43,1.916e-05,4.7176
"404.1803 / 18.31  M-H-",0.00018831,-12.375,1.916e-05,4.7176
"458.2427 / 14.00  M",0.00019109,-12.353,1.916e-05,4.7176
"398.2031 / 11.87",0.000197,-12.31,1.916e-05,4.7176
"557.2928 / 15.12",0.00019785,-12.303,1.916e-05,4.7176
"634.2771 / 18.95  M-H-",0.00020135,-12.278,1.916e-05,4.7176
"465.2696 / 15.50  MNa",0.00020165,-12.276,1.916e-05,4.7176
"501.2551 / 12.44",0.00020576,-12.247,1.916e-05,4.7176
"746.4036 / 1.88",0.0002068,-12.239,1.916e-05,4.7176
"352.1475 / 11.73  MNa",0.00020697,-12.238,1.916e-05,4.7176
"429.1616 / 8.16",0.00021086,-12.211,1.916e-05,4.7176
"453.1953 / 3.69",0.00021124,-12.209,1.916e-05,4.7176
"337.1497 / 2.26",0.00021389,-12.191,1.916e-05,4.7176
"855.9305 / 12.86  M-2H2-",0.0002147,-12.185,1.916e-05,4.7176
"453.1975 / 6.91",0.00021597,-12.177,1.916e-05,4.7176
"448.2111 / 7.58",0.00022066,-12.146,1.916e-05,4.7176
"495.2456 / 14.17",0.00022287,-12.131,1.916e-05,4.7176
"493.7270 / 19.37  MHNa2",0.00022959,-12.089,1.916e-05,4.7176
"385.2189 / 4.81",0.00023822,-12.035,1.916e-05,4.7176
"390.1663 / 15.68",0.00024489,-11.996,1.916e-05,4.7176
"703.2735 / 19.76  MNa-2H-",0.00024945,-11.969,1.916e-05,4.7176
"636.2868 / 18.95",0.00025841,-11.918,1.916e-05,4.7176
"408.7353 / 9.13",0.00026929,-11.859,1.916e-05,4.7176
"358.1308 / 11.95",0.00027479,-11.829,1.916e-05,4.7176
"584.2809 / 12.53",0.00028974,-11.753,1.916e-05,4.7176
"399.7032 / 10.81",0.0002914,-11.745,1.916e-05,4.7176
"466.2280 / 15.30",0.00030556,-11.676,1.916e-05,4.7176
"548.2461 / 10.52  MK",0.0003217,-11.602,1.916e-05,4.7176
"388.2011 / 7.12",0.00033436,-11.546,1.916e-05,4.7176
"512.7746 / 13.42  M2H2",0.00034268,-11.511,1.916e-05,4.7176
"663.8248 / 13.91  M2H2",0.00036768,-11.409,1.916e-05,4.7176
