"","f.value","p.value","-log10(p)","FDR","Fisher's LSD"
"492.2464 / 10.73",13.475,0.00097008,3.0132,0.0030544,"Infected - Control"
"490.2611 / 6.21",13.468,0.00097241,3.0122,0.003061,"Infected - Control"
"481.1747 / 15.19",13.465,0.00097344,3.0117,0.0030634,"Infected - Control"
"452.2125 / 3.57",13.459,0.00097552,3.0108,0.0030692,"Infected - Control"
"450.2561 / 19.06",13.456,0.00097678,3.0102,0.0030725,"Infected - Control"
"416.1509 / 14.41",13.453,0.00097781,3.0097,0.0030749,"Infected - Control"
"448.2214 / 6.52",13.45,0.00097883,3.0093,0.0030772,"Infected - Control"
"225.1239 / 11.98",13.45,0.000979,3.0092,0.0030772,"Infected - Control"
"341.2185 / 7.57  MH",13.447,0.00098002,3.0088,0.0030796,"Infected - Control"
"458.2237 / 9.88",13.445,0.00098082,3.0084,0.0030814,"Infected - Control"
"450.1951 / 6.98  M2H2",13.444,0.00098112,3.0083,0.0030815,"Infected - Control"
"400.2258 / 4.24",13.44,0.00098261,3.0076,0.0030848,"Infected - Control"
"355.1853 / 23.51",13.439,0.00098279,3.0075,0.0030848,"Control - Infected"
"390.2034 / 8.85",13.439,0.00098289,3.0075,0.0030848,"Infected - Control"
"600.7691 / 10.33",13.434,0.00098447,3.0068,0.003089,"Infected - Control"
"739.3498 / 13.31",13.433,0.00098493,3.0066,0.0030897,"Infected - Control"
"345.1861 / 11.63",13.427,0.00098701,3.0057,0.0030955,"Infected - Control"
"490.2506 / 6.42",13.423,0.00098846,3.005,0.0030983,"Infected - Control"
"420.9707 / 1.17",13.423,0.00098856,3.005,0.0030983,"Infected - Control"
"407.2381 / 9.05",13.422,0.00098884,3.0049,0.0030983,"Infected - Control"
"643.3405 / 7.67",13.422,0.00098888,3.0049,0.0030983,"Infected - Control"
"489.2786 / 14.56  MHK2",13.419,0.00098986,3.0044,0.0031006,"Infected - Control"
"585.7934 / 3.17  M2H2",13.417,0.00099078,3.004,0.0031028,"Infected - Control"
"508.2688 / 11.62",13.413,0.00099197,3.0035,0.003105,"Infected - Control"
"187.1077 / 8.44",13.413,0.00099197,3.0035,0.003105,"Infected - Control"
"575.2800 / 19.27  MNa",13.412,0.00099248,3.0033,0.0031055,"Infected - Control"
"617.2914 / 2.72",13.412,0.00099264,3.0032,0.0031055,"Infected - Control"
"661.3164 / 16.47",13.409,0.00099352,3.0028,0.0031075,"Infected - Control"
"229.1185 / 9.35",13.403,0.00099559,3.0019,0.0031132,"Infected - Control"
"873.0263 / 1.26",13.394,0.00099888,3.0005,0.0031228,"Infected - Control"
"605.3137 / 6.58",13.392,0.00099959,3.0002,0.0031242,"Infected - Control"
"127.0504 / 4.07",13.391,0.001,3,0.0031248,"Control - Infected"
"577.2072 / 15.22  MCl-",13.388,0.0010013,2.9994,0.0031275,"Infected - Control"
"687.1975 / 22.26",13.387,0.0010014,2.9994,0.0031275,"Control - Infected"
"479.2163 / 7.58",13.386,0.0010018,2.9992,0.0031282,"Infected - Control"
"701.3832 / 14.28",13.384,0.0010026,2.9989,0.0031298,"Infected - Control"
"527.2695 / 15.00",13.383,0.0010028,2.9988,0.0031298,"Infected - Control"
"556.2724 / 4.72",13.382,0.0010033,2.9986,0.0031305,"Infected - Control"
"705.2813 / 7.70  MNa",13.381,0.0010039,2.9983,0.0031307,"Infected - Control"
"649.2864 / 9.70",13.381,0.0010039,2.9983,0.0031307,"Infected - Control"
"576.8061 / 14.40",13.377,0.0010053,2.9977,0.0031345,"Infected - Control"
"399.2586 / 18.69",13.372,0.0010071,2.9969,0.0031393,"Infected - Control"
"474.2551 / 7.13  2MNH4",13.371,0.0010074,2.9968,0.0031395,"Infected - Control"
"621.2513 / 6.67",13.37,0.0010077,2.9967,0.0031396,"Infected - Control"
"680.2669 / 11.24",13.366,0.0010093,2.996,0.0031439,"Infected - Control"
"488.6987 / 11.78",13.363,0.0010103,2.9955,0.0031462,"Infected - Control"
"542.7867 / 17.84  M-2H2-",13.362,0.0010108,2.9954,0.0031468,"Infected - Control"
"299.2199 / 7.21",13.361,0.001011,2.9952,0.0031468,"Infected - Control"
"464.7114 / 8.60",13.36,0.0010115,2.995,0.0031475,"Infected - Control"
"702.3658 / 17.04",13.357,0.0010126,2.9945,0.0031504,"Infected - Control"
"369.6892 / 1.80",13.353,0.001014,2.994,0.0031537,"Infected - Control"
"247.1715 / 21.38  M-H2O-H-",13.352,0.0010146,2.9937,0.0031548,"Control - Infected"
"146.0604 / 8.03",13.35,0.0010151,2.9935,0.0031556,"Control - Infected"
"655.3500 / 16.31",13.349,0.0010153,2.9934,0.0031556,"Infected - Control"
"270.1292 / 7.95  MH",13.346,0.0010168,2.9928,0.0031594,"Control - Infected"
"627.3109 / 12.12",13.342,0.0010179,2.9923,0.0031616,"Infected - Control"
"277.1478 / 2.06",13.342,0.001018,2.9923,0.0031616,"Control - Infected"
"573.3348 / 10.20",13.341,0.0010186,2.992,0.0031628,"Infected - Control"
"221.8517 / 1.76",13.337,0.00102,2.9914,0.0031663,"Infected - Control"
"295.1581 / 2.09  MH",13.335,0.0010208,2.9911,0.0031678,"Control - Infected"
"563.2119 / 15.27  MNa-2H-",13.334,0.001021,2.991,0.0031678,"Infected - Control"
"189.1133 / 10.16",13.332,0.0010217,2.9907,0.003168,"Control - Infected"
"546.2903 / 2.09  MCH3OHH",13.332,0.0010218,2.9906,0.003168,"Infected - Control"
"268.0757 / 4.47",13.331,0.0010223,2.9904,0.003168,"Infected - Control"
"413.8720 / 3.14",13.33,0.0010224,2.9904,0.003168,"Infected - Control"
"379.2100 / 16.21",13.329,0.001023,2.9901,0.003168,"Infected - Control"
"277.1191 / 4.96",13.329,0.001023,2.9901,0.003168,"Infected - Control"
"332.1814 / 3.67  M-H-",13.329,0.001023,2.9901,0.003168,"Infected - Control"
"628.7830 / 16.48",13.329,0.001023,2.9901,0.003168,"Infected - Control"
"470.3315 / 13.95",13.328,0.0010234,2.99,0.0031683,"Infected - Control"
"363.1657 / 5.72  M2",13.321,0.001026,2.9889,0.003175,"Infected - Control"
