"","f.value","p.value","-log10(p)","FDR","Fisher's LSD"
"267.0981 / 2.19",9.1086,0.0052568,2.2793,0.011958,"Infected - Control"
"153.0168 / 3.47",9.1068,0.0052608,2.2789,0.011965,"Control - Infected"
"322.1009 / 2.97  MNa",9.1062,0.0052621,2.2788,0.011966,"Control - Infected"
"672.9917 / 22.92",9.1015,0.0052722,2.278,0.011986,"Control - Infected"
"223.0587 / 12.64",9.0939,0.0052889,2.2766,0.012022,"Infected - Control"
"806.9230 / 19.41",9.0841,0.0053104,2.2749,0.012069,"Infected - Control"
"422.1922 / 10.71",9.0785,0.0053229,2.2739,0.012095,"Infected - Control"
"203.0332 / 20.02",9.0741,0.0053325,2.2731,0.012115,"Control - Infected"
"456.2800 / 8.56",9.073,0.005335,2.2729,0.012118,"Infected - Control"
"247.1292 / 19.02",9.0693,0.0053431,2.2722,0.012135,"Infected - Control"
"742.8706 / 20.18  M2H2",9.0669,0.0053485,2.2718,0.012145,"Infected - Control"
"114.9474 / 10.48",9.0651,0.0053524,2.2715,0.012151,"Infected - Control"
"673.5996 / 19.57  M4H4",9.0608,0.005362,2.2707,0.012171,"Infected - Control"
"360.1834 / 10.10  M3H3",9.0592,0.0053656,2.2704,0.012177,"Infected - Control"
"364.1868 / 9.03",9.0579,0.0053685,2.2701,0.012181,"Infected - Control"
"391.5371 / 15.27",9.0546,0.0053759,2.2695,0.012196,"Infected - Control"
"478.1313 / 5.78",9.0395,0.0054097,2.2668,0.01227,"Infected - Control"
"429.1526 / 4.30  2MNa-2H-",9.0351,0.0054196,2.266,0.012291,"Control - Infected"
"692.0502 / 13.82  M3H3",9.0236,0.0054454,2.264,0.012347,"Infected - Control"
"649.1446 / 22.05",9.0171,0.0054603,2.2628,0.012379,"Control - Infected"
"405.2130 / 8.45",9.0135,0.0054684,2.2621,0.012395,"Infected - Control"
"181.0720 / 2.24",9.0112,0.0054736,2.2617,0.012404,"Control - Infected"
"376.2034 / 7.31  MHNa2",9.0057,0.0054862,2.2607,0.012431,"Infected - Control"
"170.0383 / 2.89",9.0027,0.0054931,2.2602,0.012444,"Control - Infected"
"144.0807 / 7.95",9.0008,0.0054974,2.2598,0.012452,"Control - Infected"
"332.2184 / 5.19",8.9987,0.0055022,2.2595,0.01246,"Infected - Control"
"405.1998 / 7.96",8.9983,0.0055031,2.2594,0.01246,"Infected - Control"
"681.2914 / 19.76  M-H-",8.9901,0.0055219,2.2579,0.012501,"Infected - Control"
"667.3098 / 15.33",8.9831,0.0055381,2.2566,0.012535,"Infected - Control"
"748.9822 / 1.20",8.9819,0.0055407,2.2564,0.012539,"Infected - Control"
"681.3944 / 15.96",8.9733,0.0055607,2.2549,0.012582,"Infected - Control"
"956.3814 / 15.70  2M-H-",8.9694,0.0055698,2.2542,0.0126,"Infected - Control"
"401.1422 / 17.70  MNa-2H-",8.9645,0.0055811,2.2533,0.012623,"Control - Infected"
"489.2081 / 3.16  M",8.9636,0.0055832,2.2531,0.012626,"Infected - Control"
"278.0145 / 22.27",8.9616,0.0055878,2.2528,0.012634,"Infected - Control"
"152.0282 / 4.13",8.9605,0.0055903,2.2526,0.012637,"Infected - Control"
"551.3123 / 12.13  M4H4",8.9584,0.0055953,2.2522,0.012647,"Infected - Control"
"610.9603 / 1.31",8.9563,0.0056002,2.2518,0.012655,"Control - Infected"
"671.8343 / 21.26  M2H2",8.956,0.0056009,2.2517,0.012655,"Infected - Control"
"313.0932 / 9.36",8.9503,0.0056141,2.2507,0.012682,"Infected - Control"
"437.2102 / 21.07",8.9496,0.0056157,2.2506,0.012683,"Infected - Control"
"277.1195 / 14.04",8.9493,0.0056166,2.2505,0.012683,"Infected - Control"
"237.1247 / 3.21  MH",8.9484,0.0056185,2.2504,0.012686,"Infected - Control"
"341.6463 / 11.25",8.9465,0.005623,2.25,0.012694,"Infected - Control"
"348.0714 / 5.81",8.9455,0.0056254,2.2498,0.012697,"Infected - Control"
"89.0239 / 2.58",8.9445,0.0056277,2.2497,0.012699,"Infected - Control"
"845.4156 / 9.60  M-H-",8.9442,0.0056283,2.2496,0.012699,"Infected - Control"
"410.9300 / 1.29  2MK",8.9432,0.0056308,2.2494,0.012702,"Control - Infected"
"457.2240 / 10.57",8.941,0.005636,2.249,0.012711,"Infected - Control"
"797.0416 / 17.79",8.9336,0.0056533,2.2477,0.012748,"Infected - Control"
"442.3276 / 24.60",8.9331,0.0056546,2.2476,0.012749,"Control - Infected"
"187.0600 / 8.02",8.9305,0.0056606,2.2471,0.01276,"Control - Infected"
"441.3326 / 17.73  MH",8.9229,0.0056785,2.2458,0.012798,"Infected - Control"
"179.0576 / 14.11  M-H-",8.9189,0.0056882,2.245,0.012818,"Control - Infected"
"405.1981 / 3.82",8.9101,0.0057091,2.2434,0.012863,"Infected - Control"
"605.4775 / 26.90",8.9083,0.0057133,2.2431,0.012867,"Control - Infected"
"231.0468 / 1.62",8.9081,0.0057138,2.2431,0.012867,"Control - Infected"
"877.4992 / 12.52  2MNa-2H-",8.9081,0.0057139,2.2431,0.012867,"Infected - Control"
"179.0454 / 1.95",8.9052,0.0057207,2.2425,0.01288,"Control - Infected"
"204.0636 / 2.09",8.8967,0.0057409,2.241,0.012923,"Control - Infected"
"389.0151 / 1.15",8.896,0.0057427,2.2409,0.012925,"Control - Infected"
"376.1511 / 10.27",8.8935,0.0057486,2.2404,0.012936,"Infected - Control"
"466.1950 / 15.02",8.8925,0.0057512,2.2402,0.012938,"Infected - Control"
"401.2302 / 22.97",8.8924,0.0057514,2.2402,0.012938,"Infected - Control"
"552.2280 / 10.98",8.8817,0.005777,2.2383,0.012993,"Infected - Control"
"296.6526 / 1.00",8.8755,0.0057921,2.2372,0.013025,"Infected - Control"
"442.2299 / 15.30",8.8726,0.005799,2.2366,0.013038,"Infected - Control"
"582.2860 / 15.54",8.8694,0.0058069,2.2361,0.013053,"Infected - Control"
"302.0540 / 2.51",8.8677,0.0058109,2.2358,0.013058,"Control - Infected"
"415.1882 / 11.43",8.8677,0.0058109,2.2358,0.013058,"Infected - Control"
"629.3293 / 20.97  MNa-2H-",8.8549,0.0058421,2.2334,0.013126,"Infected - Control"
"830.9796 / 1.22",8.8501,0.005854,2.2325,0.013148,"Infected - Control"
"729.2440 / 22.97",8.8499,0.0058543,2.2325,0.013148,"Infected - Control"
"466.2211 / 23.92",8.8472,0.0058609,2.232,0.013161,"Control - Infected"
"376.2098 / 11.79",8.8456,0.005865,2.2317,0.013168,"Infected - Control"
"373.2547 / 1.87",8.8432,0.0058707,2.2313,0.013178,"Infected - Control"
"469.0312 / 23.83  M-H-",8.8416,0.0058747,2.231,0.013185,"Control - Infected"
"614.3303 / 19.76",8.8324,0.0058974,2.2293,0.013233,"Infected - Control"
"836.4263 / 11.06",8.8128,0.0059459,2.2258,0.013339,"Infected - Control"
"503.2762 / 18.62  M2H2",8.8126,0.0059463,2.2258,0.013339,"Infected - Control"
"435.9670 / 16.20",8.8103,0.0059521,2.2253,0.013348,"Infected - Control"
"299.0805 / 20.75",8.8101,0.0059528,2.2253,0.013348,"Infected - Control"
"377.1985 / 23.91",8.8002,0.0059774,2.2235,0.013401,"Control - Infected"
"446.2617 / 6.68",8.7973,0.0059846,2.223,0.013415,"Infected - Control"
"322.1375 / 8.90  MNa",8.7873,0.0060098,2.2211,0.013469,"Infected - Control"
"460.6861 / 14.98",8.7849,0.0060159,2.2207,0.01348,"Infected - Control"
"502.2971 / 23.03",8.7794,0.0060296,2.2197,0.013509,"Infected - Control"
"197.1286 / 3.74",8.7725,0.0060473,2.2184,0.013546,"Control - Infected"
"446.9551 / 1.31",8.7715,0.0060498,2.2183,0.013549,"Control - Infected"
"381.1539 / 21.65  M-H-",8.7665,0.0060624,2.2174,0.013575,"Infected - Control"
"285.2218 / 22.96  MNH4",8.7598,0.0060795,2.2161,0.013611,"Infected - Control"
"449.2083 / 18.27",8.7556,0.0060902,2.2154,0.013633,"Infected - Control"
"258.9955 / 1.06",8.7495,0.0061056,2.2143,0.013665,"Infected - Control"
"387.1749 / 3.83",8.7263,0.0061655,2.21,0.013796,"Infected - Control"
"534.2357 / 20.37",8.7238,0.0061721,2.2096,0.013809,"Infected - Control"
"288.0306 / 3.23",8.719,0.0061843,2.2087,0.013834,"Control - Infected"
"494.7643 / 21.15",8.7148,0.0061954,2.2079,0.013856,"Infected - Control"
"198.0437 / 5.02",8.7114,0.0062041,2.2073,0.013873,"Control - Infected"
"463.1864 / 9.44",8.7099,0.006208,2.207,0.013879,"Infected - Control"
"361.2352 / 23.72",8.7086,0.0062114,2.2068,0.013884,"Infected - Control"
"348.0713 / 4.68",8.707,0.0062157,2.2065,0.013892,"Infected - Control"
"200.9852 / 2.43",8.6991,0.0062362,2.2051,0.013935,"Control - Infected"
"577.3502 / 22.28  2MNa-2H-",8.6972,0.0062413,2.2047,0.013944,"Control - Infected"
"124.0510 / 13.39",8.6861,0.0062705,2.2027,0.014007,"Control - Infected"
"583.3103 / 9.84  MCH3OHH",8.6765,0.0062958,2.201,0.014061,"Infected - Control"
"333.1153 / 2.09  MK",8.6686,0.0063169,2.1995,0.014105,"Control - Infected"
"217.0034 / 8.04",8.6648,0.0063269,2.1988,0.014125,"Infected - Control"
"472.2740 / 7.69",8.658,0.006345,2.1976,0.014163,"Infected - Control"
"540.3391 / 19.20",8.6577,0.0063458,2.1975,0.014163,"Infected - Control"
"164.0338 / 13.38",8.6559,0.0063508,2.1972,0.014171,"Control - Infected"
"282.0524 / 11.57",8.643,0.0063853,2.1948,0.014246,"Infected - Control"
"415.3007 / 23.15",8.641,0.0063908,2.1944,0.014255,"Infected - Control"
"249.9808 / 12.64",8.6197,0.0064483,2.1906,0.014381,"Infected - Control"
"437.2387 / 9.18",8.6181,0.0064526,2.1903,0.014388,"Infected - Control"
"171.1490 / 1.00",8.6156,0.0064593,2.1898,0.014401,"Infected - Control"
"303.2341 / 22.93",8.6054,0.0064872,2.1879,0.01446,"Infected - Control"
"202.1081 / 4.80",8.6043,0.0064902,2.1877,0.014464,"Control - Infected"
"358.7031 / 12.21",8.5905,0.0065281,2.1852,0.014545,"Infected - Control"
"155.0452 / 1.99",8.5903,0.0065287,2.1852,0.014545,"Control - Infected"
"477.2536 / 12.46",8.5859,0.0065409,2.1844,0.014569,"Infected - Control"
"347.1208 / 3.39",8.5855,0.0065418,2.1843,0.014569,"Infected - Control"
"710.3206 / 23.65",8.5801,0.0065568,2.1833,0.0146,"Infected - Control"
"149.0230 / 19.20",8.575,0.006571,2.1824,0.014629,"Infected - Control"
"215.1397 / 12.51",8.5738,0.0065742,2.1822,0.014634,"Infected - Control"
"917.9471 / 19.14  M-2H2-",8.5688,0.0065882,2.1812,0.014662,"Infected - Control"
"389.1446 / 5.80",8.5678,0.0065909,2.1811,0.014666,"Infected - Control"
"180.0673 / 9.56",8.5657,0.0065968,2.1807,0.014677,"Infected - Control"
"227.9052 / 2.33",8.5558,0.0066244,2.1789,0.014735,"Control - Infected"
"274.9713 / 1.05",8.5434,0.0066593,2.1766,0.01481,"Infected - Control"
"292.1492 / 7.69  M2H2",8.5416,0.0066643,2.1762,0.014819,"Infected - Control"
"527.2504 / 18.18  M-H-",8.5404,0.0066676,2.176,0.014824,"Infected - Control"
"629.2310 / 20.43  2MNa-2H-",8.5231,0.0067167,2.1728,0.01493,"Infected - Control"
"819.3828 / 12.68  MH",8.5211,0.0067222,2.1725,0.014939,"Infected - Control"
"429.5579 / 14.63  M3H3",8.5208,0.0067232,2.1724,0.014939,"Infected - Control"
"301.1418 / 22.73",8.5171,0.0067338,2.1717,0.01496,"Infected - Control"
"772.9732 / 1.13  2MNa-2H-",8.5164,0.0067357,2.1716,0.01496,"Infected - Control"
"524.7850 / 16.09  M2Na2",8.5162,0.0067363,2.1716,0.01496,"Infected - Control"
"797.4565 / 18.20  MH",8.5159,0.0067371,2.1715,0.01496,"Infected - Control"
"946.3906 / 18.12  MNa-2H-",8.5102,0.0067533,2.1705,0.014993,"Infected - Control"
"518.9628 / 1.10",8.506,0.0067654,2.1697,0.015018,"Infected - Control"
"375.1888 / 3.21  MH",8.5043,0.0067703,2.1694,0.015026,"Infected - Control"
"443.9976 / 21.24",8.4995,0.0067841,2.1685,0.015054,"Infected - Control"
"342.2644 / 19.95",8.4938,0.0068004,2.1675,0.015087,"Control - Infected"
"165.0424 / 8.67",8.493,0.0068027,2.1673,0.01509,"Control - Infected"
"184.0967 / 4.78",8.4893,0.0068133,2.1666,0.015111,"Control - Infected"
"231.1456 / 2.14",8.4878,0.0068176,2.1664,0.015116,"Control - Infected"
"246.1819 / 3.25",8.4877,0.0068181,2.1663,0.015116,"Infected - Control"
"445.2286 / 12.80",8.4842,0.0068282,2.1657,0.015136,"Infected - Control"
"384.6928 / 20.01",8.477,0.0068489,2.1644,0.015179,"Infected - Control"
"301.1775 / 22.25  MH",8.4743,0.0068569,2.1639,0.015194,"Control - Infected"
"236.9928 / 1.08  MAcO-H-",8.4708,0.006867,2.1632,0.015214,"Control - Infected"
"302.1461 / 22.76",8.4677,0.0068761,2.1627,0.015232,"Infected - Control"
"282.0454 / 19.45",8.4653,0.006883,2.1622,0.015244,"Infected - Control"
"356.6872 / 11.81",8.4627,0.0068906,2.1617,0.015259,"Infected - Control"
"150.0565 / 5.55",8.4605,0.0068969,2.1613,0.01527,"Infected - Control"
"352.2118 / 4.12",8.456,0.0069103,2.1605,0.015297,"Infected - Control"
"187.1086 / 15.89",8.4492,0.0069301,2.1593,0.015338,"Infected - Control"
"519.2931 / 14.40  MNH4",8.4481,0.0069334,2.1591,0.015343,"Infected - Control"
"300.1921 / 10.30",8.446,0.0069394,2.1587,0.015353,"Infected - Control"
"344.9843 / 15.77",8.4428,0.0069491,2.1581,0.015372,"Infected - Control"
"466.3302 / 23.62",8.4394,0.006959,2.1575,0.015391,"Infected - Control"
"509.2682 / 12.84  MNa",8.4376,0.0069644,2.1571,0.015401,"Infected - Control"
"547.1824 / 11.67  MNa-2H-",8.4298,0.0069874,2.1557,0.015448,"Infected - Control"
"584.3261 / 9.29",8.4295,0.0069882,2.1556,0.015448,"Infected - Control"
"520.2754 / 12.18  M-2H2-",8.4246,0.0070027,2.1547,0.015477,"Infected - Control"
"371.1940 / 2.72  M-H2O-H-",8.4216,0.0070118,2.1542,0.015495,"Infected - Control"
"428.2163 / 17.19",8.42,0.0070165,2.1539,0.015502,"Infected - Control"
"261.1239 / 9.92",8.4188,0.0070202,2.1537,0.015508,"Infected - Control"
"641.3616 / 20.88",8.4166,0.0070268,2.1532,0.01552,"Infected - Control"
"237.1046 / 18.16",8.414,0.0070344,2.1528,0.015534,"Control - Infected"
"394.8799 / 14.27  M3H3",8.4128,0.0070378,2.1526,0.015539,"Infected - Control"
"151.0257 / 4.14  M-H-",8.4123,0.0070395,2.1525,0.01554,"Infected - Control"
"208.1342 / 4.84  MH",8.4094,0.0070482,2.1519,0.015556,"Control - Infected"
"528.3035 / 19.72",8.4052,0.0070608,2.1511,0.015581,"Infected - Control"
"348.1779 / 3.21",8.4036,0.0070654,2.1509,0.015589,"Infected - Control"
"444.1360 / 5.70",8.3966,0.0070867,2.1496,0.015633,"Infected - Control"
"336.1194 / 5.04",8.3961,0.0070882,2.1495,0.015634,"Infected - Control"
"547.3787 / 23.27",8.3854,0.0071204,2.1475,0.015702,"Infected - Control"
"618.3381 / 20.89  MHNa2",8.3817,0.0071317,2.1468,0.015722,"Infected - Control"
"229.0387 / 5.88",8.3815,0.0071321,2.1468,0.015722,"Infected - Control"
"158.8461 / 1.82",8.3812,0.007133,2.1467,0.015722,"Infected - Control"
"545.0155 / 17.35",8.3801,0.0071364,2.1465,0.015726,"Infected - Control"
"217.1556 / 2.15",8.373,0.0071581,2.1452,0.015771,"Infected - Control"
"615.0018 / 19.99  M3H3",8.3673,0.0071754,2.1442,0.015807,"Infected - Control"
"201.0252 / 5.69",8.3605,0.0071961,2.1429,0.01585,"Infected - Control"
"711.2994 / 19.54  M-2H2-",8.356,0.00721,2.1421,0.015878,"Infected - Control"
"110.0351 / 4.09",8.3397,0.0072601,2.1391,0.015985,"Infected - Control"
"116.9863 / 14.31",8.3392,0.0072615,2.139,0.015986,"Infected - Control"
"149.0242 / 11.81",8.3364,0.0072704,2.1384,0.016002,"Infected - Control"
"627.0195 / 19.66",8.3313,0.007286,2.1375,0.016034,"Infected - Control"
"223.0219 / 21.95  M-H-",8.33,0.0072903,2.1373,0.016041,"Infected - Control"
"518.2734 / 17.68  M2H2",8.3158,0.0073343,2.1346,0.016135,"Infected - Control"
"413.9713 / 1.01",8.3136,0.0073412,2.1342,0.016147,"Control - Infected"
"569.0482 / 1.04",8.3122,0.0073455,2.134,0.016154,"Control - Infected"
"286.1768 / 6.78",8.3104,0.0073512,2.1336,0.016163,"Infected - Control"
"232.9767 / 17.33",8.3065,0.0073634,2.1329,0.016188,"Control - Infected"
"149.0240 / 13.06",8.3054,0.007367,2.1327,0.016193,"Infected - Control"
"513.2314 / 17.51  MNa-2H-",8.3013,0.0073797,2.132,0.016218,"Infected - Control"
"274.1810 / 14.79",8.2992,0.0073866,2.1316,0.01623,"Control - Infected"
"510.2176 / 9.12",8.2945,0.0074011,2.1307,0.016259,"Infected - Control"
"166.0184 / 1.86",8.287,0.0074249,2.1293,0.016309,"Control - Infected"
"528.9592 / 1.31  MBr-",8.2823,0.0074397,2.1284,0.016338,"Control - Infected"
"237.9945 / 1.05",8.2778,0.0074542,2.1276,0.016368,"Control - Infected"
"122.0357 / 13.38",8.2755,0.0074614,2.1272,0.01638,"Control - Infected"
"209.1178 / 22.13",8.2752,0.0074623,2.1271,0.01638,"Infected - Control"
"395.1562 / 3.26",8.2747,0.007464,2.127,0.016381,"Infected - Control"
"202.1178 / 2.66",8.2733,0.0074684,2.1268,0.016387,"Infected - Control"
"126.0915 / 10.44  MH",8.2723,0.0074718,2.1266,0.016392,"Control - Infected"
"770.9165 / 20.05  M2H2",8.2594,0.0075131,2.1242,0.01648,"Infected - Control"
"392.6966 / 9.41",8.2521,0.0075365,2.1228,0.016528,"Infected - Control"
"777.8838 / 18.67  M-2H2-",8.2447,0.0075603,2.1215,0.016577,"Infected - Control"
"446.1509 / 5.69",8.2443,0.0075615,2.1214,0.016577,"Infected - Control"
"445.1722 / 13.43  M-H-",8.2434,0.0075643,2.1212,0.016581,"Infected - Control"
"353.6964 / 7.35",8.2347,0.0075925,2.1196,0.01664,"Infected - Control"
"300.2904 / 23.59",8.2158,0.0076542,2.1161,0.016772,"Control - Infected"
"469.0303 / 18.60",8.2086,0.0076778,2.1148,0.016821,"Infected - Control"
"86.0964 / 3.05",8.2049,0.00769,2.1141,0.016845,"Infected - Control"
"202.1071 / 13.33",8.2043,0.0076918,2.114,0.016846,"Control - Infected"
"572.7699 / 12.27",8.1996,0.0077073,2.1131,0.016877,"Infected - Control"
"373.0872 / 19.76",8.1974,0.0077146,2.1127,0.01689,"Control - Infected"
"322.0768 / 2.52  MH",8.1853,0.0077546,2.1104,0.016973,"Control - Infected"
"187.1084 / 1.70",8.1852,0.0077551,2.1104,0.016973,"Infected - Control"
"261.0074 / 9.24",8.1789,0.007776,2.1092,0.017015,"Infected - Control"
"385.2351 / 23.65",8.1708,0.0078029,2.1077,0.01707,"Infected - Control"
"673.3128 / 7.32  MAcO-H-",8.1707,0.0078034,2.1077,0.01707,"Infected - Control"
"487.7433 / 7.16",8.1614,0.0078346,2.106,0.01713,"Infected - Control"
"731.1495 / 22.05",8.1613,0.0078347,2.106,0.01713,"Control - Infected"
"434.0796 / 5.36",8.1612,0.0078352,2.1059,0.01713,"Infected - Control"
"263.9933 / 16.91",8.1582,0.0078452,2.1054,0.017149,"Infected - Control"
"757.3609 / 2.51",8.154,0.0078593,2.1046,0.017176,"Infected - Control"
"926.0273 / 1.24  MH",8.1537,0.0078602,2.1046,0.017176,"Control - Infected"
"421.1899 / 2.60",8.1527,0.0078637,2.1044,0.017181,"Infected - Control"
"520.2603 / 5.12",8.1448,0.0078903,2.1029,0.017236,"Infected - Control"
"323.0591 / 21.15",8.1432,0.0078959,2.1026,0.017245,"Infected - Control"
"368.2653 / 3.64",8.1345,0.0079253,2.101,0.017307,"Infected - Control"
"506.2736 / 18.78  M4H4",8.1316,0.0079351,2.1005,0.017325,"Infected - Control"
"531.2448 / 3.36  2M-H-",8.1304,0.0079394,2.1002,0.01733,"Infected - Control"
"114.9476 / 7.82",8.1302,0.0079401,2.1002,0.01733,"Infected - Control"
"186.9965 / 24.60",8.1267,0.007952,2.0995,0.017353,"Control - Infected"
"137.0596 / 6.92",8.126,0.0079543,2.0994,0.017355,"Control - Infected"
"684.3378 / 17.58",8.1234,0.0079633,2.0989,0.017372,"Infected - Control"
"391.1609 / 5.82",8.1102,0.0080084,2.0965,0.017467,"Infected - Control"
"151.0512 / 5.81",8.1073,0.0080184,2.0959,0.017486,"Control - Infected"
"519.9486 / 14.53  M3H3",8.1045,0.0080279,2.0954,0.017504,"Infected - Control"
"469.2312 / 17.04",8.1,0.0080436,2.0946,0.017535,"Infected - Control"
"557.3296 / 16.50  M-H-",8.0987,0.0080479,2.0943,0.01754,"Infected - Control"
"546.2726 / 2.57",8.0984,0.0080492,2.0942,0.01754,"Infected - Control"
"375.1145 / 3.67",8.0981,0.0080502,2.0942,0.01754,"Control - Infected"
"163.0398 / 2.13",8.0959,0.0080576,2.0938,0.017554,"Control - Infected"
"224.0670 / 7.05",8.0927,0.0080689,2.0932,0.017572,"Control - Infected"
"434.5928 / 9.80  M3H3",8.0924,0.0080697,2.0931,0.017572,"Infected - Control"
"433.7082 / 10.64",8.0923,0.0080701,2.0931,0.017572,"Infected - Control"
"290.1717 / 2.60  MNH4",8.0908,0.0080755,2.0928,0.017581,"Infected - Control"
"363.1880 / 7.98",8.0885,0.0080833,2.0924,0.017594,"Infected - Control"
"397.2288 / 13.53  M2H2",8.0883,0.0080842,2.0924,0.017594,"Infected - Control"
"529.2654 / 18.14",8.0873,0.0080874,2.0922,0.017595,"Infected - Control"
"258.0611 / 2.52",8.0872,0.0080878,2.0922,0.017595,"Control - Infected"
"469.0283 / 11.92",8.0865,0.0080903,2.092,0.017597,"Infected - Control"
"387.0247 / 7.57",8.0861,0.0080916,2.092,0.017597,"Infected - Control"
"653.3138 / 4.79",8.0858,0.0080929,2.0919,0.017597,"Infected - Control"
"551.0343 / 16.46",8.0842,0.0080984,2.0916,0.017606,"Infected - Control"
"490.2759 / 10.39",8.0835,0.0081006,2.0915,0.017608,"Infected - Control"
"378.1823 / 10.51",8.0772,0.0081227,2.0903,0.017653,"Infected - Control"
"647.3373 / 15.68  MNa-2H-",8.0747,0.0081313,2.0898,0.017668,"Infected - Control"
"600.3229 / 20.11",8.0745,0.008132,2.0898,0.017668,"Infected - Control"
"229.9977 / 20.87",8.0699,0.0081484,2.0889,0.0177,"Infected - Control"
"956.5404 / 10.83",8.0653,0.0081642,2.0881,0.017732,"Infected - Control"
"415.2334 / 16.88",8.0604,0.0081816,2.0872,0.017766,"Infected - Control"
"144.1021 / 1.61  MH",8.0599,0.0081832,2.0871,0.017767,"Control - Infected"
"351.6723 / 4.78",8.0585,0.0081884,2.0868,0.017772,"Infected - Control"
"477.2381 / 11.12",8.0583,0.008189,2.0868,0.017772,"Infected - Control"
"272.1695 / 9.02",8.058,0.00819,2.0867,0.017772,"Infected - Control"
"248.0601 / 9.02  M-H-",8.0526,0.008209,2.0857,0.01781,"Control - Infected"
"223.0954 / 20.75  MNa-2H-",8.0524,0.0082099,2.0857,0.01781,"Infected - Control"
"762.0241 / 1.21  MH",8.0499,0.0082186,2.0852,0.017823,"Control - Infected"
"573.0212 / 12.30",8.0497,0.0082191,2.0852,0.017823,"Infected - Control"
"961.0531 / 1.28  3M2Na-3H-",8.0478,0.008226,2.0848,0.017835,"Control - Infected"
"279.1020 / 1.86  MNH4",8.0469,0.0082292,2.0846,0.017839,"Infected - Control"
"525.2401 / 23.70",8.0389,0.0082577,2.0831,0.017898,"Infected - Control"
"869.4109 / 9.00",8.0311,0.0082853,2.0817,0.017955,"Infected - Control"
"831.8670 / 18.18",8.0296,0.0082906,2.0814,0.017963,"Infected - Control"
"301.1052 / 20.46",8.0265,0.0083018,2.0808,0.017984,"Control - Infected"
"416.2467 / 5.47",8.0237,0.0083119,2.0803,0.018003,"Infected - Control"
"754.3610 / 13.51",8.0233,0.0083133,2.0802,0.018003,"Infected - Control"
"146.0826 / 4.79",8.022,0.0083177,2.08,0.01801,"Control - Infected"
"477.6866 / 15.70  M-H-",8.0208,0.0083223,2.0798,0.018015,"Infected - Control"
"685.6573 / 17.26  M3H3",8.0205,0.0083231,2.0797,0.018015,"Infected - Control"
"392.7148 / 8.63  MHNH42",8.0187,0.0083298,2.0794,0.018027,"Infected - Control"
"693.3066 / 13.84",8.0163,0.0083382,2.0789,0.018042,"Infected - Control"
"436.7180 / 7.16",8.0155,0.0083413,2.0788,0.018045,"Infected - Control"
"642.3237 / 11.55",8.0144,0.0083453,2.0786,0.018051,"Infected - Control"
"205.0675 / 1.46  MNH4",8.0139,0.0083469,2.0785,0.018052,"Control - Infected"
"845.5135 / 18.45",8.0095,0.0083628,2.0776,0.018083,"Infected - Control"
"286.1765 / 9.31",8.0084,0.0083667,2.0774,0.018088,"Infected - Control"
"440.3116 / 23.57",8.007,0.0083717,2.0772,0.018096,"Infected - Control"
"405.2289 / 24.29  MNa",8.0038,0.0083832,2.0766,0.018118,"Control - Infected"
"247.1117 / 2.76",8,0.008397,2.0759,0.018145,"Infected - Control"
"387.2222 / 11.24",7.9967,0.0084092,2.0752,0.018165,"Infected - Control"
"142.9985 / 1.61",7.9966,0.0084095,2.0752,0.018165,"Control - Infected"
"627.3716 / 15.69",7.9951,0.008415,2.0749,0.018174,"Infected - Control"
"681.4405 / 2.45",7.9947,0.0084164,2.0749,0.018174,"Infected - Control"
"708.3925 / 9.26",7.9893,0.0084357,2.0739,0.018213,"Infected - Control"
"96.0077 / 2.53",7.9878,0.0084415,2.0736,0.018222,"Control - Infected"
"357.1175 / 3.70  MNa-2H-",7.9872,0.0084436,2.0735,0.018224,"Infected - Control"
"251.9730 / 8.93",7.9861,0.0084476,2.0733,0.018229,"Infected - Control"
"332.2936 / 24.18  MNa",7.9819,0.0084627,2.0725,0.018259,"Control - Infected"
"611.2825 / 15.65",7.9797,0.0084708,2.0721,0.018273,"Infected - Control"
"269.1218 / 3.17",7.9785,0.0084753,2.0718,0.01828,"Control - Infected"
"438.2921 / 24.31",7.9768,0.0084814,2.0715,0.018289,"Control - Infected"
"659.2648 / 13.78",7.9762,0.0084839,2.0714,0.018289,"Infected - Control"
"166.0727 / 4.75",7.9761,0.0084841,2.0714,0.018289,"Control - Infected"
"416.1109 / 11.37  MH",7.9707,0.008504,2.0704,0.018327,"Control - Infected"
"247.0142 / 2.62",7.9705,0.0085045,2.0704,0.018327,"Infected - Control"
"358.3673 / 22.06",7.969,0.0085101,2.0701,0.018336,"Infected - Control"
"139.1127 / 20.75",7.9627,0.0085332,2.0689,0.018383,"Infected - Control"
"962.4345 / 8.76",7.9606,0.0085409,2.0685,0.018396,"Infected - Control"
"399.5601 / 8.06  M3H3",7.9554,0.0085603,2.0675,0.018435,"Infected - Control"
"529.2089 / 17.89",7.9545,0.0085633,2.0674,0.018437,"Infected - Control"
"510.2204 / 5.40",7.9544,0.008564,2.0673,0.018437,"Infected - Control"
"617.3404 / 12.47",7.9485,0.0085858,2.0662,0.018481,"Infected - Control"
"835.0562 / 1.14",7.9474,0.0085897,2.066,0.018483,"Control - Infected"
"589.2840 / 7.43",7.9474,0.0085898,2.066,0.018483,"Infected - Control"
"538.5362 / 16.68  M4H4",7.9456,0.0085964,2.0657,0.018494,"Infected - Control"
