"","Loading (t1)","OrthoLoading (to1)"
"530.2214 / 14.23  M-2H2-",-0.013568,-0.014419
"530.2257 / 20.11",-0.010946,-0.015261
"530.2581 / 11.34  M-H-",-0.011587,-0.016531
"530.2633 / 8.35",-0.010966,-0.016454
"530.2739 / 3.47",-0.0068871,-0.016022
"530.2743 / 24.29",0.0021468,-0.0014437
"530.2959 / 19.42",-0.012249,-0.015387
"530.3074 / 14.60",-0.011514,-0.01735
"530.3078 / 22.88",-0.0056809,-0.010018
"531.0390 / 19.05",0.00022739,-0.002812
"531.0424 / 20.11",-0.0036106,-0.0011311
"531.2229 / 6.74",-0.011343,-0.016414
"531.2421 / 12.57  MFA-H-",-0.013304,-0.014775
"531.2448 / 3.36  2M-H-",-0.0088105,-0.018064
"531.2643 / 12.15",-0.011017,-0.012358
"531.2958 / 3.91",-0.0095243,-0.017912
"531.3137 / 2.43",-0.012651,-0.015453
"531.7290 / 18.40  M-2H2-",-0.012413,-0.016167
"532.1648 / 13.77",-0.0018397,-0.0091049
"532.1657 / 14.57",0.0072961,-0.011268
"532.2171 / 20.36",-0.0076453,-0.017449
"532.9817 / 1.07",-0.011979,0.012316
"533.1182 / 1.12",0.0056011,-0.020766
"533.1348 / 22.13",-0.0093907,-0.0063206
"533.2117 / 17.20  M-2H2-",-0.014147,-0.015328
"533.2208 / 9.63",-0.012923,-0.017014
"533.2359 / 11.75",-0.012305,-0.015821
"533.2566 / 1.94",-0.013654,-0.013625
"533.4589 / 23.91  2MNa-2H-",0.0071476,-0.0029835
"533.9850 / 1.10",-0.010762,0.012326
"534.2217 / 10.86",-0.010837,-0.016752
"534.2222 / 10.20",-0.01121,-0.017992
"534.2566 / 12.12",-0.010695,-0.016515
"534.2677 / 19.00  M-2H2-",-0.0072801,-0.014945
"534.2907 / 16.44",-0.012849,-0.015543
"534.7081 / 17.64",-0.01246,-0.014131
"535.1535 / 3.92  2M-H-",-0.0022657,-0.018047
"535.2089 / 17.61",-0.011873,-0.015573
"535.2878 / 2.10",-0.011416,-0.015837
"535.7551 / 10.62",-0.007158,-0.008953
"536.2080 / 19.10  M-2H2-",-0.013309,-0.01629
"536.2694 / 13.02  MNa-2H-",-0.013331,-0.016336
"536.2696 / 15.52  MNa-2H-",-0.013209,-0.016221
"536.2715 / 5.32  M-H-",-0.011439,-0.017633
"536.2842 / 4.56",-0.0095193,-0.017793
"536.3039 / 19.17  MNa-2H-",-0.01304,-0.014654
"536.7382 / 17.70",-0.0067538,-0.01369
"537.0174 / 1.29",-0.0033298,0.0025148
"537.1923 / 6.60",-0.0066577,-0.012363
"537.2297 / 7.76",-0.010485,-0.015901
"537.2644 / 9.76  MNa-2H-",-0.010543,-0.018821
"537.2724 / 19.18",-0.013184,-0.014225
"537.7524 / 10.17",-0.008733,-0.012081
"537.7825 / 20.89  M-2H2-",-0.013645,-0.01321
"538.2470 / 15.71  MNa-2H-",-0.012219,-0.016576
"538.2500 / 18.22",-0.0066689,-0.011156
"538.7475 / 19.98",-0.0089146,-0.016615
"538.9976 / 28.06",0.0037963,0.0047738
"538.9991 / 1.14",-0.012421,0.012347
"539.1379 / 1.52",-0.0058843,-0.0094658
"539.1442 / 13.14  M-H-",-0.0063695,-0.014562
"539.1840 / 21.64",-0.0052268,0.0052061
"539.1855 / 11.02  MNa-2H-",-0.011861,-0.016868
"539.2171 / 16.12",-0.01185,-0.015643
"539.2173 / 18.42",-0.0094662,-0.01118
"539.2494 / 21.15  MAcO-H-",0.00032369,-0.018504
"539.2827 / 1.56",-0.01018,-0.01293
"539.2890 / 10.54",-0.0081891,-0.018944
"539.4310 / 24.08",-0.00014489,-0.011799
"539.7355 / 15.07",-0.0071505,-0.0073186
"540.0542 / 3.49",-0.0067209,-0.0047446
"540.1708 / 14.33  MNa-2H-",-0.012385,-0.014353
"540.2774 / 8.48",-0.012674,-0.015264
"540.3138 / 13.77  M-H-",-0.0095243,-0.018284
"540.3391 / 19.20",-0.0093621,-0.017604
"541.1353 / 1.52",-0.0017006,-0.012523
"541.1981 / 23.29",0.0061635,-0.0017103
"541.2136 / 14.23",-0.014386,-0.014778
"541.2293 / 15.30  M-H-",-0.011991,-0.017476
"541.2379 / 21.98",-0.0045673,-0.011851
"541.2607 / 10.53",-0.010992,-0.018273
"541.2623 / 14.23  M-H-",-0.01119,-0.013108
"541.2642 / 20.96  MAcO-H-",-0.0012503,-0.016109
"541.2650 / 21.56",-0.0036238,-0.018135
"541.2974 / 8.22  M-H-",-0.012233,-0.015669
"542.2242 / 19.95",-0.006517,-0.018835
"542.2667 / 21.08",-0.001502,-0.015012
"542.2809 / 17.42",-0.012239,-0.018147
"542.2815 / 12.69",-0.011554,-0.016252
"542.2913 / 11.23",-0.009537,-0.013405
"542.2931 / 9.50",-0.014086,-0.014238
"542.3662 / 3.99",-0.011151,-0.016863
"542.7867 / 17.84  M-2H2-",-0.0097675,-0.007243
"543.1432 / 20.07",-0.0010493,-0.0047531
"543.1615 / 22.95",0.0062141,0.0044778
"543.2031 / 3.50",-0.011234,-0.014734
"543.2391 / 20.17",-0.008722,-0.010285
"543.2525 / 23.19",-0.0029402,-0.014853
"543.2764 / 11.81",-0.012867,-0.016201
"543.2766 / 14.82",-0.01187,-0.01138
"543.2766 / 16.37",-0.0089006,-0.01662
"543.2772 / 16.91",-0.0144,-0.014015
"543.2799 / 20.77",0.0011844,-0.017058
"543.3157 / 13.59  M-H-",-0.013347,-0.01442
"543.3256 / 2.73",-0.011035,-0.017981
"544.2034 / 17.20  M-2H2-",-0.013169,-0.015491
"544.2244 / 11.15  M-H-",-0.011157,-0.018759
"544.2507 / 7.32  M-H-",-0.01002,-0.012716
"544.2746 / 4.64",-0.0096905,-0.017053
"544.2970 / 13.77",-0.012607,-0.016902
"544.7400 / 19.26  M-2H2-",-0.013396,-0.013874
"544.7536 / 12.96",-0.010531,-0.012349
"544.7673 / 17.96  M-2H2-",-0.011239,-0.0095721
"545.0131 / 29.68",-0.0021999,0.00014052
"545.0132 / 9.84",-0.0012537,-0.0066903
"545.0135 / 19.57",0.0012997,-0.011182
"545.0136 / 18.29",-0.0061778,-0.0046941
"545.0145 / 1.19",-0.012065,0.011177
"545.0146 / 10.80",0.0052166,-0.0081192
"545.0147 / 9.20",-0.006255,-0.0040917
"545.0149 / 13.30",0.0014178,-0.0042349
"545.0149 / 14.64",-0.00025568,-0.008193
"545.0149 / 15.50",-0.0011609,-0.014496
"545.0150 / 12.59",-0.0046997,-0.01053
"545.0152 / 13.80",-0.0012213,-0.013043
"545.0155 / 17.35",-0.0084369,-0.016837
"545.0158 / 27.90",0.0024813,0.0064597
"545.0166 / 11.44",-0.0017309,-0.010887
"545.0166 / 16.01",-0.0035254,-0.010942
"545.0168 / 22.20",-0.0060506,0.0033927
"545.0169 / 20.14",-0.0038269,0.00071408
"545.0169 / 23.46",0.0006921,-0.0048517
"545.0174 / 24.04",0.0082238,0.0008018
"545.0178 / 22.94",0.002182,-0.0093363
"545.2088 / 23.22",0.0064558,-0.00057178
"545.2427 / 19.25",-0.012245,-0.015523
"545.2565 / 15.50  MNa-2H-",-0.011671,-0.011888
"545.2579 / 14.38",-0.010829,-0.016734
"545.2679 / 1.93",-0.014118,-0.014605
"545.2924 / 13.42",-0.014539,-0.013198
"545.2949 / 12.83  MAcO-H-",-0.012628,-0.016374
"545.3402 / 1.00",-0.013006,-0.010767
"546.1547 / 11.22",-0.00012628,-0.0083033
"546.2433 / 15.64",-0.01264,-0.015782
"546.2753 / 10.70  M-H-",-0.013506,-0.016173
"546.2963 / 19.53  M-2H2-",-0.014252,-0.014262
"546.3015 / 22.48",-0.001176,-0.012966
"546.3095 / 15.65  M-2H2-",-0.01191,-0.014085
"546.3160 / 23.62",-0.010309,-0.005396
"546.7703 / 13.78",-0.0081422,-0.013581
"547.0402 / 2.79  3M2Na-3H-",0.010818,-0.012304
"547.1039 / 21.53",0.0074138,0.0024476
"547.1756 / 2.60",-0.00098915,-0.018348
"547.1824 / 11.67  MNa-2H-",-0.008714,-0.016916
"547.1974 / 19.10",-0.0090106,-0.016062
"547.2163 / 14.58",-0.010852,-0.016048
"547.2280 / 20.46",-0.0031424,-0.011982
"547.2510 / 12.03",-0.011601,-0.013683
"547.2679 / 17.80",-0.010261,-0.012301
"548.2018 / 11.28",-0.0103,-0.017052
"548.2252 / 13.62",-0.011502,-0.015034
"548.2378 / 11.08  M-H-",-0.013369,-0.0156
"548.2579 / 3.21",-0.011027,-0.016709
"548.2710 / 16.91",-0.013477,-0.015455
"548.2729 / 13.82",-0.013058,-0.016645
"549.1271 / 20.74",-0.0015333,-0.012954
"549.1954 / 14.09  MNa-2H-",-0.01288,-0.014478
"549.1959 / 10.55  2MNa-2H-",0.0019817,-0.010743
"549.1997 / 23.53",0.011744,0.0045857
"549.2293 / 6.73",-0.0066288,-0.014442
"549.2406 / 23.65",-0.00638,-0.017452
"549.2596 / 18.60",-0.0040403,-0.016446
"549.2682 / 6.27  2MNa-2H-",-0.0099923,-0.017468
"549.2698 / 5.51  2MNa-2H-",-0.010766,-0.01737
"550.2508 / 11.45",-0.0084967,-0.013848
"550.2829 / 14.66  MNa-2H-",-0.010485,-0.013281
"550.2834 / 14.03  MNa-2H-",-0.012223,-0.017527
"550.2931 / 17.74  M-2H2-",-0.0079181,-0.012606
"550.3004 / 7.09",-0.01021,-0.015812
"551.0279 / 29.74",-0.011205,-0.0012349
"551.0315 / 7.32",0.0037183,-0.0098277
"551.0317 / 13.36",-0.0048073,-0.010336
"551.0317 / 30.78",0.0009776,-0.0025094
"551.0319 / 12.29",-0.0096968,-0.016341
"551.0319 / 8.10",-0.0055839,0.0019317
"551.0320 / 20.29",-0.0045529,-0.0028545
"551.0325 / 11.38",-0.0050077,-0.0069719
"551.0326 / 28.05",0.0017521,0.0064226
"551.0327 / 1.33",0.0030974,-0.0046498
"551.0327 / 14.96",-0.005375,-0.014839
"551.0331 / 17.25",-0.0033044,-0.005715
"551.0331 / 19.66",-0.00090865,-0.0017077
"551.0336 / 10.66",0.0040923,-0.010969
"551.0338 / 18.14",-0.0063139,-0.016783
"551.0339 / 15.50",0.00051035,-0.0083029
"551.0339 / 18.90",-0.0025539,-0.012815
"551.0343 / 16.46",-0.0084579,-0.012141
"551.0343 / 25.92",0.002733,0.0098514
"551.0346 / 14.20",-0.0023875,-0.0086095
"551.0349 / 23.86",0.0059053,0.010137
"551.0350 / 23.01",0.0026174,0.0059446
"551.0352 / 22.22",-0.0047599,-0.001011
"551.0354 / 25.21",0.0034755,0.0085508
"551.1051 / 20.75",-0.007343,-0.009155
"551.1978 / 9.09",-0.0078056,-0.018075
"551.2272 / 9.70",-0.0078842,-0.015756
"551.2817 / 19.29  M-H-",-0.01308,-0.015117
"552.0352 / 24.87",0.0051262,-0.0047068
"552.0355 / 25.96",0.0015803,0.0088616
"552.0356 / 24.19",0.001009,0.0020956
"552.0360 / 27.25",-0.0034641,0.00095117
"552.0362 / 1.22",0.0036676,-0.0046008
"552.0362 / 25.44",-0.0017163,-0.009155
"552.0363 / 23.32",0.002581,-0.0085344
"552.0364 / 21.47",-0.0011602,-0.0031573
"552.2638 / 19.07",-0.013587,-0.015245
"552.2658 / 13.14",-0.014154,-0.014265
"552.3021 / 20.30  M-H2O-H-",-0.010545,-0.015478
"553.1222 / 21.56",0.0069497,0.0015266
"553.2611 / 12.95",-0.013363,-0.014551
"553.2641 / 13.63",-0.013823,-0.014016
"553.2971 / 10.54  M-H-",-0.0107,-0.018607
"553.2998 / 20.02",-0.012289,-0.012368
"553.9978 / 21.56",-0.0029763,-0.0032714
"554.2245 / 16.90  M-H-",-0.010627,-0.013161
"554.2601 / 9.42",-0.0099564,-0.017305
"554.2629 / 3.59",-0.0072507,-0.01511
"554.2923 / 11.49",-0.01297,-0.016134
"554.3470 / 23.89",-0.0055586,-0.013079
"555.1889 / 17.17  MTFA-H-",-0.012437,-0.016909
"555.2143 / 23.51",0.011624,0.0064382
"555.2682 / 8.92  MNa-2H-",-0.0031827,-0.011437
"555.2759 / 16.81",-0.0098906,-0.011784
"555.2917 / 23.24",-0.00061887,-0.0055644
"555.3150 / 13.44",-0.0090845,-0.015597
"555.3619 / 10.78",-0.0096575,-0.016799
"555.7585 / 17.96  M-2H2-",-0.0083631,-0.0057264
"555.8283 / 19.37",-0.0068304,-0.0096356
"555.9808 / 1.04",0.01009,-0.01042
"555.9942 / 21.59",-0.0045361,0.0013546
"556.2263 / 3.06",-0.012095,-0.015
"556.2607 / 15.11",-0.013283,-0.012882
"556.2724 / 4.72",-0.010701,-0.01859
"556.3079 / 9.12",-0.0065367,-0.018544
"556.3091 / 13.10",-0.010873,-0.015465
"556.3469 / 16.14",-0.0072877,-0.013642
"557.1351 / 3.92  2MNa-2H-",-0.0033811,-0.0080947
"557.1774 / 24.23",0.0045767,0.0036639
"557.2157 / 1.06",-0.0078869,-0.016501
"557.2560 / 15.51",-0.014006,-0.014103
"557.2925 / 10.86  MFA-H-",-0.0084561,-0.018416
"557.2928 / 15.12",-0.01453,-0.013783
"557.2930 / 8.55  M-H2O-H-",-0.0093573,-0.018173
"557.3124 / 13.07",-0.010041,-0.017145
"557.3296 / 16.50  M-H-",-0.0091914,-0.017962
"557.3415 / 8.75",-0.010725,-0.018615
"557.3949 / 16.45",0.00033345,-0.0073417
"558.2373 / 20.77  M-H-",-0.012012,-0.01533
"558.2527 / 5.29  MNa-2H-",-0.0098349,-0.017649
"558.2584 / 14.82  M-H-",-0.012178,-0.017324
"558.2874 / 6.73",-0.010907,-0.01528
"558.2881 / 4.66",-0.011121,-0.013012
"558.2955 / 8.59",-0.0073329,-0.018151
"558.3124 / 15.54",-0.01136,-0.017341
"558.3242 / 12.39",-0.010202,-0.016828
"558.3402 / 8.59",-0.010654,-0.018592
"558.5923 / 1.47",-0.00023796,0.012859
"558.7644 / 19.86  M-2H2-",-0.014704,-0.014273
"559.2139 / 15.06",-0.0072669,-0.0081674
"559.2243 / 15.67",-0.010351,-0.019283
"559.3112 / 12.54  M-H-",-0.0086412,-0.01526
"559.3350 / 16.47  M-H-",-0.0060997,-0.013301
"560.2540 / 8.73",-0.010743,-0.017646
"560.2918 / 13.61",-0.011295,-0.017557
"560.3073 / 19.01  M-H-",-0.011887,-0.01565
"560.3140 / 12.51",-0.0042888,-0.010514
"560.5901 / 1.44  2MNa-2H-",0.001805,0.013625
"561.1144 / 13.94",0.0082213,0.012609
"561.1209 / 22.05",0.0079307,0.0035434
"561.1267 / 13.10  MNa-2H-",5.5027e-05,-0.009267
"561.2842 / 17.71",-0.010493,-0.014919
"561.7243 / 18.72  M-2H2-",-0.010091,-0.0082523
"561.7839 / 18.32",-0.0091489,-0.0094315
"562.2518 / 11.06",-0.009538,-0.014615
"562.2669 / 17.13",-0.010874,-0.015652
"562.2889 / 17.42",-0.012422,-0.014277
"562.5858 / 1.44",0.0014538,0.014836
"563.2119 / 15.27  MNa-2H-",-0.010619,-0.01865
"563.2436 / 14.23  MNa-2H-",-0.012582,-0.014429
"563.2453 / 20.96  M-H-",-0.0072391,-0.0079877
"563.2799 / 8.19  MNa-2H-",-0.010475,-0.015217
"563.2803 / 12.26",-0.011424,-0.013946
"563.7293 / 19.49",-0.0096363,-0.017476
"563.7772 / 10.36",-0.011291,-0.018736
"564.3021 / 16.56",-0.011852,-0.015997
"564.3038 / 19.44  M-H2O-H-",-0.010701,-0.016992
"565.1754 / 4.29  2M-H-",-0.010489,-0.013108
"565.2367 / 22.97",-0.0087689,-0.010345
"565.2404 / 9.00  MK-2H-",-0.011454,-0.017858
"565.2585 / 11.79",-0.011766,-0.015853
"565.2616 / 3.54",-0.0070816,-0.011111
"565.2957 / 13.59  MNa-2H-",-0.012452,-0.015383
"565.2976 / 19.98",-0.0046712,-0.0083336
"565.3210 / 20.36",-0.00055485,-0.0014145
"566.2051 / 11.15  MNa-2H-",-0.0094709,-0.018041
"566.2245 / 15.77  M-H-",-0.011253,-0.013194
"566.2321 / 7.35  MNa-2H-",-0.0092971,-0.012584
"566.2924 / 6.91  M-H-",-0.012524,-0.016493
"566.2930 / 8.49",-0.0092602,-0.012857
"566.2966 / 9.42",-0.0061966,-0.015098
"566.7490 / 17.96",-0.0091999,-0.011809
"566.7855 / 17.07",-0.0088237,-0.01563
"567.0065 / 1.33",-0.0075908,-0.0020432
"567.0506 / 1.12",0.007874,-0.00069137
"567.1415 / 22.05",0.0082919,0.0063854
"567.2035 / 3.35",-0.0096944,-0.019319
"567.2764 / 12.86",-0.010481,-0.01819
"567.3167 / 23.11  M-H-",0.00011768,-0.010076
"567.3503 / 14.83",-0.0054873,-0.0061566
"567.3604 / 11.21",-0.011991,-0.015679
"568.2600 / 17.74",-0.0096858,-0.013933
"568.2750 / 2.75  MAcO-H-",-0.0096054,-0.017228
"568.2970 / 3.36",-0.0061206,-0.013416
"568.3084 / 13.45",-0.011703,-0.015672
"568.3086 / 1.75",-0.011837,-0.016201
"568.3087 / 11.32  M-H2O-H-",-0.01351,-0.016439
"569.0482 / 1.04",0.0093974,-0.013265
"569.2200 / 3.34",-0.012243,-0.017231
"569.2324 / 23.72",0.0073846,0.0034107
"569.2960 / 1.78",-0.014267,-0.013896
"569.7558 / 19.86  M-2H2-",-0.014262,-0.015272
"570.1899 / 21.74",0.0066793,0.00098099
"570.2191 / 11.05  MNa-2H-",-0.010874,-0.016569
"570.2872 / 7.78",-0.011311,-0.018202
"570.3123 / 19.95  M-H-",-0.0095157,-0.004279
"570.3130 / 15.39",-0.010893,-0.016749
"570.7999 / 18.85",-0.0099749,-0.017023
"571.1296 / 10.27",-0.014915,-0.009426
"571.2644 / 19.98",-0.007674,-0.01064
"571.2854 / 22.83",-0.005918,-0.0087057
"571.3082 / 19.42  M-H-",-0.01346,-0.012441
"571.7641 / 14.47",-0.009372,-0.016743
"571.8017 / 12.34  M-2H2-",-0.010908,-0.017245
"572.1134 / 10.47",-0.012476,-0.014565
"572.1156 / 12.18",-0.014092,-0.0093875
"572.2556 / 15.30",-0.012067,-0.013542
"572.2676 / 8.90  M-H-",-0.0064002,-0.016254
"572.2931 / 8.48",-0.012454,-0.015519
"572.3041 / 13.34",-0.011554,-0.017383
"572.7153 / 18.72  M-2H2-",-0.0082796,-0.0086245
"573.1178 / 12.20",-0.014991,-0.010568
"573.2113 / 18.98",-0.013334,-0.016656
"573.2423 / 23.65",-0.00073367,-0.0076975
"573.2538 / 7.37",-0.010672,-0.015931
"573.2634 / 19.29  MNa-2H-",-0.0091458,-0.016034
"573.3278 / 13.82",-0.007368,-0.01668
"573.3638 / 20.36",-0.0012333,0.00080077
"573.6674 / 9.19",-0.0056856,-0.011604
"574.2404 / 17.55  M-2H2-",-0.013258,-0.015325
"574.2523 / 10.73",-0.009679,-0.01914
"574.2916 / 16.57",-0.011134,-0.018025
"574.7901 / 19.68",-0.012362,-0.017422
"575.1355 / 22.44",0.0071313,-0.0014367
"575.2451 / 21.97",-7.948e-05,0.0037301
"575.2661 / 9.82",-0.010222,-0.015386
"575.3034 / 2.12",-0.012544,-0.017292
"575.3034 / 8.06  M-H-",-0.0086052,-0.010831
"575.3049 / 8.92  M-H-",-0.012277,-0.015627
"575.7400 / 19.20  M-2H2-",-0.012692,-0.015178
"576.2060 / 16.90  MNa-2H-",-0.012045,-0.015625
"576.2330 / 11.30",-0.011091,-0.017945
"576.2332 / 15.61",-0.011268,-0.018663
"576.2457 / 18.56  M-H-",-0.010741,-0.015036
"576.7801 / 11.75  M-2H2-",-0.011217,-0.016612
"577.2072 / 15.22  MCl-",-0.010512,-0.015964
"577.2289 / 23.90",0.0084429,-0.0017582
"577.2649 / 10.24",-0.0093396,-0.019082
"577.2987 / 10.10  2MNa-2H-",-0.009745,-0.016402
"577.3001 / 11.10  2MNa-2H-",-0.011265,-0.01821
"577.3082 / 5.61",-0.0067582,-0.012634
"577.3502 / 22.28  2MNa-2H-",0.010291,-0.0096518
"578.2423 / 15.14",-0.013301,-0.014477
"578.2495 / 7.35",-0.012815,-0.015631
"578.2805 / 12.89",-0.011333,-0.01735
"578.2819 / 14.16",-0.012185,-0.01781
"578.3470 / 23.61",-0.010125,-0.013762
"578.7753 / 16.91  M-2H2-",-0.0088966,-0.013883
"579.2564 / 22.10",-0.0063284,-0.0080391
"579.2606 / 19.03",-0.010153,-0.015527
"579.2686 / 8.42",-0.011629,-0.016955
"579.2972 / 9.08",-0.011866,-0.013069
"579.3114 / 16.47  MNa-2H-",-0.0095091,-0.015663
"579.3244 / 8.45",-0.012373,-0.017348
"580.2190 / 20.77  MNa-2H-",-0.012037,-0.010267
"580.2407 / 14.82  MNa-2H-",-0.011139,-0.018489
"580.3185 / 20.58  M-2H2-",-0.0050658,-0.0093971
"581.1534 / 22.44",0.0067942,0.002018
"581.2275 / 23.61  MTFA-H-",0.0021091,-0.011019
"581.2290 / 22.68",-0.0065861,-0.010235
"581.2436 / 22.84",0.00060164,-0.0092447
"581.2742 / 7.73",-0.010427,-0.017917
"581.2864 / 19.10  M-2H2-",-0.012693,-0.013749
"581.2950 / 9.83",-0.011179,-0.018289
"581.7897 / 18.88",-0.013662,-0.014468
"581.8142 / 19.54",-0.014342,-0.013924
"582.2741 / 8.27",-0.010455,-0.014113
"582.2857 / 16.03",-0.010279,-0.016797
"582.2891 / 19.07  MNa-2H-",-0.013846,-0.01486
"582.3154 / 19.51  M-H-",-0.013011,-0.01384
"582.3633 / 9.13",-0.0097058,-0.012688
"583.0304 / 1.12",-0.00055265,-0.013863
"583.2458 / 23.92",0.0039842,0.0031905
"583.2517 / 14.57  M-2H2-",-0.011141,-0.015911
"583.2576 / 21.16  M-H-",-0.003876,-0.0071928
"583.2726 / 8.12",-0.013328,-0.016563
"583.2786 / 20.41  M-H-",-0.0010724,0.0046605
"583.3202 / 5.51",-0.0070708,-0.0082943
"583.3586 / 9.96",-0.012121,-0.012208
"583.3612 / 12.42",-0.0066303,-0.0053829
"583.7046 / 18.72",-0.0067824,-0.0081706
"584.2489 / 23.88",0.0050274,0.0027888
"584.2492 / 8.32",-0.013377,-0.01341
"584.2845 / 20.34  M-",-0.0007379,0.0046414
"584.3261 / 9.29",-0.0093667,-0.01551
"584.3626 / 12.38",-0.0050112,-0.0034139
"584.7855 / 15.27  M-2H2-",-0.0091174,-0.0093768
"585.0484 / 1.07",0.0074567,-0.013998
"585.1880 / 22.62",0.012738,-0.003586
"585.2311 / 17.55",-0.011313,-0.013903
"585.2655 / 11.33",-0.013617,-0.016379
"585.3229 / 17.77  M-H-",-0.012518,-0.017359
"585.3351 / 23.03",0.006468,-0.0010408
"586.1306 / 16.29",-0.011559,-0.014869
"586.2863 / 17.12",-0.01209,-0.013556
"586.3021 / 16.75  M-2H2-",-0.013269,-0.014773
"586.3022 / 18.56  M-2H2-",-0.011471,-0.015771
"586.3192 / 11.79",-0.013946,-0.015447
"586.3195 / 3.61",-0.010685,-0.013724
"586.3199 / 10.94  M-H-",-0.010485,-0.019362
"586.3217 / 12.42",-0.010135,-0.017082
"586.8038 / 16.78",-0.0106,-0.012828
"587.0477 / 1.10",0.0080568,-0.011456
"587.1252 / 7.35  M-H-",-0.0157,-0.0074482
"587.1574 / 4.29  2MNa-2H-",0.0065896,-0.020054
"587.2678 / 7.43  M-H-",-0.0081883,-0.016559
"587.3024 / 15.99  M-H-",-0.014157,-0.015463
"587.3033 / 5.99",-0.011361,-0.018144
"587.3039 / 12.20  M-H-",-0.013545,-0.015215
"587.3293 / 13.87",-0.0096686,-0.017662
"587.7716 / 11.78",-0.011388,-0.016788
"588.1083 / 10.48",-0.013718,-0.0081935
"588.2067 / 15.77  MNa-2H-",-0.01085,-0.012911
"588.2140 / 13.61  M-H-",-0.011293,-0.01877
"588.2419 / 3.72",-0.0095511,-0.016199
"588.2556 / 17.92  M-2H2-",-0.012337,-0.015337
"588.2746 / 6.91  MNa-2H-",-0.011632,-0.017627
"588.2866 / 8.55",-0.010567,-0.018399
"588.2981 / 3.61",-0.012065,-0.016217
"588.3166 / 17.95",-0.009227,-0.016477
"588.7165 / 19.67",-0.012541,-0.015823
"589.0450 / 1.14  2MNa-2H-",0.008821,-0.016016
"589.1116 / 10.48",-0.014635,-0.0091196
"589.1512 / 22.76",0.0057517,-0.0014355
"589.2080 / 15.54",-0.012951,-0.016587
"589.2092 / 2.29",-0.012494,-0.016843
"589.2162 / 13.58",-0.0099656,-0.017476
"589.2358 / 23.00",-0.0036449,-0.012602
"589.2829 / 10.48",-0.010444,-0.015817
"589.2926 / 6.39",-0.0112,-0.015715
"589.2976 / 12.96",-0.012309,-0.014883
"589.2990 / 23.11  MNa-2H-",-0.0051612,-0.013037
"589.7791 / 14.07",-0.01062,-0.01037
"589.7951 / 14.28  M-2H2-",-0.0080471,-0.0087272
"590.2780 / 11.00  MAcO-H-",-0.013929,-0.014768
"590.2797 / 1.00",-0.0067976,-0.013066
"590.2816 / 19.01  M-H-",-0.013053,-0.012477
"590.2967 / 2.51",-0.011931,-0.018086
"590.3206 / 16.54",-0.012618,-0.013043
"591.2793 / 15.26",-0.011304,-0.018098
"592.2774 / 19.07",-0.013472,-0.014996
"592.7573 / 20.03  M-2H2-",-0.011888,-0.010104
"593.2196 / 8.42",-0.012218,-0.009429
"593.2903 / 19.42  MNa-2H-",-0.012245,-0.016631
"593.2941 / 22.60",0.0017569,-0.0026023
"593.3082 / 23.58",0.004162,-0.0091645
"593.3564 / 20.37  M-H-",-7.0612e-05,0.0035861
"594.2423 / 14.57  M-2H2-",-0.0085477,-0.015959
"594.2503 / 8.90  MNa-2H-",-0.007993,-0.014734
"594.2935 / 18.78",-0.01235,-0.014286
"595.1706 / 22.76",0.005546,0.0010626
"595.2347 / 17.55",-0.007409,-0.012797
"595.2532 / 14.18",-0.010146,-0.01742
"595.3173 / 9.24",-0.012065,-0.015153
"595.7758 / 15.31",-0.010499,-0.013255
"596.2996 / 18.75",-0.013637,-0.014791
"596.3251 / 19.17  M-H-",-0.013421,-0.015778
"596.3273 / 17.51",-0.0069302,-0.013183
"596.5282 / 25.45",-0.0060674,-0.0077087
"597.0955 / 1.52",-0.0032364,-0.008017
"597.1559 / 22.10",0.0043555,0.0099956
"597.2408 / 22.13  2MNa-2H-",-0.0026687,-0.012949
"597.2664 / 15.45",-0.012306,-0.017551
"597.2841 / 9.35  MNa-2H-",-0.010322,-0.017203
"597.2925 / 18.56  M-2H2-",-0.012428,-0.01728
"597.2936 / 16.78  MK-2H-",-0.012147,-0.01666
"597.3220 / 15.04",-0.010646,-0.016986
"597.7525 / 10.34  M-2H2-",-0.010884,-0.017802
"597.7850 / 9.37",-0.006135,-0.0062349
"598.2283 / 18.56  MNa-2H-",-0.0069118,-0.011209
"598.2822 / 14.02",-0.012363,-0.017566
"598.2884 / 18.34",-0.010503,-0.01683
"598.2978 / 10.03",-0.013236,-0.016755
"598.3082 / 14.73  M-2H2-",-0.0095844,-0.015115
"598.3557 / 14.57",-0.010359,-0.017805
"598.3569 / 18.02",-0.011512,-0.010186
"599.0081 / 1.04",-0.012812,0.005573
"599.0917 / 1.52",-0.002852,-0.0075474
"599.1882 / 15.25",-0.0099313,-0.014525
"599.2409 / 21.89",-0.0013693,-0.0079834
"599.2460 / 17.92  M-2H2-",-0.0099855,-0.015432
"599.2580 / 2.34",-0.012652,-0.014016
"599.2998 / 10.06  MFA-H-",-0.01028,-0.016138
"599.3023 / 8.05",-0.013203,-0.015943
"599.3158 / 8.41",-0.012479,-0.015891
"599.3488 / 8.21",-0.013471,-0.013914
"599.3534 / 9.69  M-H-",-0.013116,-0.016742
"599.7801 / 15.89  M-2H2-",-0.0092968,-0.01634
"600.2243 / 15.11",-0.011358,-0.013295
"600.3004 / 9.09",-0.012349,-0.017172
