"","Loading (t1)","OrthoLoading (to1)"
"145.0083 / 6.49",0.0021461,-0.001457
"145.0084 / 31.59",0.0024758,0.0015325
"145.0086 / 5.02",0.0066089,-0.00016175
"145.0174 / 1.07",0.0068273,-0.0152
"145.1015 / 20.50",-0.0054593,-0.0050503
"145.1048 / 1.84",0.0097751,-0.01028
"146.0268 / 1.81",0.0031481,-0.018539
"146.0271 / 2.49",0.0021431,-0.017866
"146.0603 / 4.28",0.0077779,-0.019821
"146.0604 / 11.12",0.013583,9.7484e-05
"146.0604 / 8.03",0.0115,-0.015265
"146.0606 / 3.04  MH",-0.00017916,-0.0178
"146.1177 / 1.48",0.00088047,-0.019345
"146.1654 / 1.00",-0.00010384,-0.021776
"146.9706 / 0.06",-0.0016199,-0.0027063
"146.9706 / 4.59",0.00023296,-0.0071206
"146.9706 / 7.14",-0.0060421,-0.010231
"146.9706 / 9.11",-0.0033822,0.005408
"146.9743 / 12.91",-0.0045187,-0.011853
"146.9743 / 17.35",-0.00078189,0.002438
"146.9744 / 11.24",0.0012342,-0.0045125
"146.9744 / 18.14",-0.00050941,-0.0050152
"146.9744 / 2.52  MCH3OHH",0.0042556,0.007696
"146.9745 / 0.61",0.0046378,0.012124
"146.9745 / 10.41",-0.0038309,-0.0025212
"146.9745 / 3.71",-0.0027836,-0.0065643
"146.9746 / 29.02  MCH3OHH",0.008645,0.0078961
"147.0291 / 1.84",0.0076563,0.0044711
"147.0443 / 2.13  MCH3OHH",0.0083854,-0.018655
"147.0629 / 4.21",0.0080633,-0.019755
"147.0763 / 1.43  MNH4",0.010344,-0.014536
"147.0766 / 10.59  MNH4",0.0058123,-0.012894
"147.1132 / 1.03  MNH4",0.0048119,-0.020062
"148.0471 / 2.09",0.0084274,-0.01901
"148.0569 / 2.84",0.0014122,-0.015538
"149.0198 / 1.64",-0.00592,0.0048879
"149.0198 / 21.80",-0.0011129,0.0020153
"149.0199 / 20.51",-0.00044077,-0.0032182
"149.0200 / 21.28",-0.0061869,0.0031743
"149.0202 / 18.59",-0.005877,-0.0036931
"149.0223 / 19.92",-0.007657,0.0023484
"149.0229 / 2.41",0.0022285,0.010735
"149.0230 / 19.20",-0.0089957,-0.00053394
"149.0231 / 24.10",-0.0023816,0.00051925
"149.0231 / 7.69",0.0023817,-0.0021314
"149.0233 / 22.73",-0.0089505,-0.0052534
"149.0234 / 12.45",-0.005061,-0.0046209
"149.0235 / 16.26",-0.0053018,-0.0094218
"149.0236 / 3.08",0.0095756,-0.018438
"149.0237 / 0.04",-0.001516,-0.0053393
"149.0237 / 4.42",0.0075275,-0.014618
"149.0238 / 28.59",-0.0053705,0.00087101
"149.0239 / 14.85",-0.00083982,-0.0034163
"149.0239 / 15.53",-0.0062269,-0.012104
"149.0239 / 8.26",0.0042369,-0.0015858
"149.0240 / 13.06",-0.0080633,-0.013499
"149.0240 / 17.31",-0.0015583,-0.0098063
"149.0240 / 8.82",-0.007129,-0.002311
"149.0242 / 11.81",-0.0086618,-0.0069302
"149.0242 / 18.00",-0.0042252,0.0047216
"149.0587 / 2.74",0.0083209,-0.019877
"150.0223 / 2.44",0.0069446,0.0065021
"150.0549 / 3.04",0.0018966,-0.017351
"150.0586 / 1.77  MNH4",0.0092036,-0.017744
"150.0773 / 1.80",0.0091987,-0.017893
"150.0909 / 1.80",0.0078584,-0.011174
"150.0915 / 4.86",0.013059,-0.0039103
"151.0618 / 6.79",0.0054537,-0.017272
"151.0750 / 20.08",0.0029082,0.0075054
"151.0993 / 11.55",0.0027766,-0.0037762
"152.0094 / 2.94",0.010572,-0.010184
"152.0157 / 17.78",-0.0045414,0.0043655
"152.0569 / 12.00",-0.012295,-0.011079
"152.0571 / 6.71",0.0048787,-0.012542
"152.0573 / 3.18  MNH4",-0.0064082,-0.0085917
"152.0574 / 4.32",3.1608e-06,-0.0026757
"152.0690 / 2.38",0.0017871,-0.018233
"152.0701 / 1.87",-0.00077131,-0.015556
"152.0710 / 5.66",-0.01057,-0.0064792
"152.0712 / 7.35  MH",-0.0069889,-0.0085439
"153.0408 / 5.30",-0.001709,-0.022194
"153.0412 / 4.09  MNH4",-0.0086071,-0.018813
"153.0664 / 5.75  MH",0.012589,-0.010111
"153.0668 / 7.72  MNH4",0.0055665,-0.014853
"153.1240 / 1.76",0.002169,0.0086411
"153.1240 / 7.39",0.0035607,-0.0031802
"153.1241 / 14.26",-0.0049104,-0.00048759
"153.1268 / 15.23",0.001428,-0.001636
"153.1269 / 12.94",-0.0079659,-0.012977
"153.1270 / 6.41  MCH3OHH",0.0096628,-0.0068668
"153.1272 / 11.63  MCH3OHH",-0.0018212,-0.012021
"153.1272 / 16.08",-0.0057004,-0.0029792
"153.1273 / 9.40",0.0024018,-0.0021652
"153.1274 / 0.26  MCH3OHH",0.0049438,-0.00040588
"153.1275 / 5.25",0.009897,-0.010843
"153.1275 / 9.96",-0.0008283,-0.0046371
"153.1276 / 29.50",-0.0051179,0.0057125
"153.1276 / 4.63",-0.0041995,-0.0080284
"153.1278 / 2.37",0.0052255,-0.012127
"153.1279 / 0.88",-0.0051495,0.0091266
"153.1279 / 3.87",-0.0053879,-0.0094107
"153.1280 / 31.53",0.0012565,0.0025625
"153.1286 / 8.62",-0.0029122,-0.0087176
"153.9957 / 9.93",-0.0083259,-0.013107
"154.0425 / 4.13",-0.0082717,-0.018712
"154.0440 / 2.58",0.006607,-0.011458
