"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5"
"116.9861 / 6.24",0.13544,0.38532,0.38386,0.39323,0.39327
"116.9861 / 8.13",0.40585,0.88645,0.88147,0.90431,0.90459
"116.9862 / 11.39",0.10589,1.2283,1.2089,1.2058,1.2055
"116.9862 / 15.00",0.28032,0.48072,0.48498,0.49158,0.49181
"116.9862 / 16.40",0.26059,0.22855,0.32231,0.32242,0.32264
"116.9863 / 10.68",0.051746,0.423,0.56648,0.59056,0.59106
"116.9863 / 14.31",1.041,0.99255,0.98871,0.98494,0.98453
"116.9863 / 4.20",0.16275,0.20779,0.23972,0.28027,0.28098
"116.9864 / 3.49",0.20162,0.79392,0.82232,0.86904,0.86873
"116.9864 / 9.46",0.29362,0.24939,0.25598,0.29559,0.29605
"116.9865 / 7.44",0.1322,0.18001,0.18903,0.31794,0.31856
"117.0360 / 2.34",0.019015,0.3647,0.45313,0.45607,0.45694
"117.0696 / 20.44",0.31192,0.47117,0.55395,0.55518,0.5563
"117.0698 / 17.93",0.054756,0.083537,0.13024,0.13274,0.1327
"118.0645 / 4.27",0.26373,0.82937,0.81646,0.81533,0.81504
"118.0652 / 3.04",0.015325,0.81314,0.80679,0.80386,0.80411
"118.0860 / 1.55",0.14126,0.45005,0.44294,0.44164,0.44146
"119.0163 / 5.77",0.010354,0.20285,0.19991,0.20805,0.20798
"119.0172 / 3.75",0.11953,1.1743,1.17,1.1661,1.1657
"119.0194 / 1.11",0.26014,0.74694,0.74106,0.73868,0.7386
"119.0349 / 3.83",0.45236,0.48176,0.4765,0.47542,0.47526
"119.0488 / 6.66",0.28206,0.92819,0.91732,0.91381,0.91357
"119.0495 / 2.10  MH",0.24641,0.72699,0.71543,0.71414,0.714
"119.0855 / 22.10",0.042078,0.23294,0.22927,0.2314,0.23158
"120.0212 / 1.04",0.27236,0.73223,0.72496,0.72302,0.72301
"120.0445 / 3.03",0.0059583,0.76982,0.76138,0.75888,0.75896
"120.0804 / 12.35",0.086416,1.6739,1.7102,1.7056,1.7049
"120.0806 / 8.31",0.48454,0.97851,0.96318,0.95961,0.95922
"120.0808 / 12.98",1.6062,1.2661,1.2464,1.2421,1.2419
"120.0809 / 2.77  MNH4",0.18809,0.67438,0.66444,0.66273,0.66248
"120.0809 / 5.55",1.9179,1.5344,1.51,1.505,1.5044
"120.0809 / 6.29",0.23713,1.8229,1.7966,1.79,1.7892
"120.0810 / 3.76",1.5897,1.2531,1.2342,1.2295,1.229
"120.0811 / 11.13",0.54698,1.4777,1.4855,1.4799,1.4811
"121.0165 / 1.05",0.28886,0.80334,0.79458,0.79235,0.79232
"121.0284 / 6.53",0.30912,0.949,0.95353,0.96293,0.96254
"121.0286 / 10.06",1.2218,1.3095,1.3123,1.312,1.3115
"121.0395 / 2.88  MH",0.0028392,0.064237,0.10344,0.14672,0.15079
"121.0650 / 1.86",0.58237,1.968,1.9482,1.9481,1.9473
"121.0841 / 2.80",0.24173,0.80529,0.79315,0.79075,0.79049
"121.0985 / 2.78",0.38014,1.3591,1.3379,1.3335,1.3332
"121.0986 / 5.39",0.4893,0.3913,0.43087,0.42976,0.43091
"121.0991 / 10.71",0.14732,0.97671,0.99663,1.0023,1.0022
