"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5"
"495.2573 / 8.51  MNa-2H-",1.2291,1.0353,1.0189,1.0154,1.015
"495.7241 / 21.47",1.705,1.345,1.3278,1.3228,1.3224
"496.1019 / 11.35",0.11599,0.28172,0.28032,0.28306,0.28296
"496.2046 / 16.09  M-2H2-",1.1441,0.97018,0.96109,0.95854,0.9582
"496.2154 / 14.27",0.61845,0.49625,0.49807,0.49689,0.49812
"496.2608 / 8.54",0.61084,0.54516,0.54193,0.54105,0.54089
"496.2867 / 14.34  M-H-",1.342,1.061,1.0877,1.0843,1.0839
"496.7629 / 17.86  M-2H2-",0.77338,0.90292,0.90118,0.90083,0.90236
"497.2005 / 19.95  MNa-2H-",0.45744,0.74945,0.74257,0.74035,0.7403
"497.2356 / 16.88",1.18,1.0277,1.0138,1.01,1.0096
"497.2362 / 3.86",0.97,1.013,1.0199,1.0162,1.0168
"497.2731 / 18.71",1.6396,1.2993,1.2793,1.277,1.2767
"497.7058 / 11.10",1.1547,1.0089,0.99942,0.99642,0.99601
"498.0543 / 15.99",0.22412,0.47759,0.47,0.47269,0.47265
"498.2552 / 8.38",1.341,1.2385,1.2193,1.2188,1.2183
"498.2556 / 7.80",1.4015,1.2172,1.2223,1.2204,1.22
"498.2573 / 15.72",1.5162,1.2007,1.1816,1.1772,1.1768
"498.3392 / 9.91",1.4943,1.2846,1.2777,1.2732,1.2732
"499.0426 / 5.65",1.5333,1.3845,1.3876,1.3844,1.3843
"499.1509 / 22.44",0.046475,0.061231,0.062769,0.062553,0.062527
"499.1540 / 21.38",0.040811,0.032161,0.03465,0.034742,0.034855
"499.2033 / 14.72",1.409,1.2445,1.2248,1.2245,1.224
"499.2251 / 23.61",0.041641,0.15102,0.15322,0.15265,0.1526
"499.2278 / 22.68",0.80605,0.95407,0.93903,0.9404,0.94042
"499.2384 / 20.08  MFA-H-",0.77478,0.88941,0.8758,0.88182,0.88177
"499.2505 / 5.61",1.4202,1.2383,1.2221,1.2175,1.2173
"499.2876 / 9.57",1.5021,1.2048,1.1943,1.1965,1.1966
"499.3232 / 6.18",0.93449,0.96297,0.9568,0.95473,0.95537
"499.3395 / 17.72",0.18614,0.18683,0.18391,0.19741,0.19876
"500.2349 / 8.31",1.9539,1.6382,1.6132,1.607,1.6063
"500.2702 / 12.10",1.1413,1.031,1.0233,1.0196,1.0192
"500.2713 / 10.39  MFA-H-",1.0209,0.85267,0.88383,0.91293,0.91325
"500.2717 / 8.30  M-H-",1.6341,1.3473,1.3394,1.3386,1.3383
"500.2762 / 23.03",0.41362,0.35499,0.35125,0.35253,0.3524
"500.3082 / 13.17  M-H-",1.2587,1.052,1.0639,1.0659,1.0655
"500.3206 / 8.16",1.2562,1.1081,1.0947,1.0984,1.0987
"500.7569 / 10.54",1.6042,1.2641,1.2766,1.2729,1.2724
"501.0278 / 1.07",0.12379,0.37043,0.41844,0.41729,0.41714
"501.1996 / 18.31",0.1616,1.7311,1.7093,1.7028,1.7024
"501.2154 / 17.92",0.088457,1.5051,1.4862,1.482,1.4814
"501.2305 / 7.93  M-H-",2.0762,1.6415,1.627,1.6208,1.6201
"501.2422 / 23.92",0.015325,0.025208,0.030285,0.030503,0.03052
"501.2551 / 12.44",1.9489,1.5651,1.5431,1.5374,1.5368
"501.2574 / 18.63  M-2H2-",0.55952,1.0612,1.0451,1.0451,1.0447
"501.2664 / 9.02",1.9302,1.528,1.5107,1.5053,1.5047
"502.0277 / 1.08",0.10768,0.41391,0.45867,0.4576,0.45747
"502.2336 / 19.04",1.2526,1.2263,1.21,1.2055,1.2051
"502.2469 / 23.89",0.021684,0.025016,0.029882,0.029768,0.030016
"502.2494 / 9.35",1.2684,1.1245,1.1133,1.1092,1.1088
"502.2646 / 17.51  M-H2O-H-",1.0467,1.042,1.0418,1.0392,1.0394
"502.3010 / 13.83",1.5528,1.263,1.2576,1.2545,1.254
"502.6314 / 1.47",0.012485,0.32326,0.3196,0.31849,0.31865
"503.1847 / 22.62",0.51032,0.74207,0.73609,0.73352,0.73329
"503.3302 / 23.03",0.068636,0.092649,0.091393,0.093136,0.093147
"504.2060 / 12.92  MNa-2H-",1.5987,1.2823,1.2721,1.2676,1.2673
"504.2466 / 9.59",1.5015,1.2768,1.2594,1.2563,1.2558
"504.2839 / 17.12",1.3073,1.0373,1.0447,1.0452,1.0452
"504.9319 / 8.51",0.60877,1.0651,1.0486,1.0776,1.0788
"504.9329 / 10.38",0.28305,0.24894,0.24516,0.2446,0.2451
"504.9337 / 31.37",0.1652,0.33809,0.49637,0.49838,0.49858
"504.9338 / 31.96",0.079785,0.10394,0.27029,0.27233,0.27379
"504.9340 / 0.32",0.1565,0.63251,0.62486,0.6359,0.63665
"504.9340 / 29.87",0.072214,0.27941,0.29734,0.32692,0.33577
"504.9341 / 6.75",0.16285,0.23241,0.24414,0.24442,0.24455
"504.9341 / 9.25",0.49195,0.43721,0.434,0.43256,0.4432
"504.9343 / 0.99",0.084538,0.16939,0.16693,0.17256,0.17325
"504.9351 / 30.55",0.31649,0.2973,0.29261,0.30168,0.30919
"505.1957 / 15.74",0.6712,0.72658,0.7171,0.73843,0.73914
"505.1971 / 13.27",1.5877,1.2604,1.2516,1.2512,1.2507
"505.2263 / 11.72  2MNa-2H-",1.0639,1.1467,1.1593,1.1599,1.1597
"505.2270 / 19.56  MNa-2H-",0.85817,1.0691,1.103,1.124,1.1238
"505.2290 / 18.18",1.1417,1.0228,1.0072,1.0196,1.0203
"505.2321 / 16.67",0.65913,0.55444,0.5842,0.59937,0.59965
"506.2215 / 4.82  MNa-2H-",1.4978,1.1808,1.1722,1.1677,1.1673
"506.2347 / 7.63  MNa-2H-",1.9137,1.5084,1.4904,1.4856,1.4851
"506.2420 / 14.35  M-2H2-",1.3007,1.0844,1.0673,1.0633,1.063
"506.2604 / 13.49",1.1054,1.1272,1.1175,1.1136,1.1132
"506.2620 / 3.53  M-H-",1.0799,0.94129,0.92693,0.92396,0.92359
"507.0431 / 1.12",0.40004,1.2074,1.1905,1.1863,1.186
"507.1471 / 19.62  MNa-2H-",0.048504,0.33324,0.33623,0.33746,0.33768
"507.1714 / 7.80",1.6629,1.3508,1.3376,1.3326,1.332
"507.1821 / 19.94",0.19149,0.96597,0.9535,0.94985,0.94965
"507.2054 / 20.86",0.18346,0.35145,0.34669,0.35371,0.35444
"507.2327 / 23.00",0.45108,0.44119,0.51341,0.52468,0.52898
"507.2538 / 12.86  MNa-2H-",0.80122,1.0278,1.0219,1.0188,1.0184
"507.3404 / 21.76",0.10748,0.20381,0.20736,0.20833,0.20838
"508.1334 / 16.25",1.0816,0.85293,0.86047,0.87445,0.87421
"508.1548 / 4.26",0.094935,1.5881,1.567,1.5638,1.5633
"508.2474 / 11.48",1.5325,1.2389,1.2281,1.2237,1.2233
"508.2512 / 2.70  M-H-",1.1602,1.021,1.0086,1.0056,1.0052
"508.2785 / 20.28",1.3177,1.0908,1.0922,1.0913,1.0909
"508.2868 / 8.09",1.5306,1.3013,1.2806,1.2757,1.2751
"509.1109 / 10.45",0.34876,0.65469,0.6699,0.66734,0.66798
"509.1999 / 20.11",0.38479,0.93153,0.93366,0.93381,0.93342
"509.2421 / 18.09  M-H2O-H-",0.86957,0.7859,0.78219,0.78155,0.78155
"509.2571 / 15.27",1.2399,1.1254,1.1208,1.1165,1.1161
"509.2575 / 12.52",1.7668,1.4004,1.4232,1.419,1.4185
"509.3307 / 7.71  2MNa-2H-",1.0353,1.0487,1.0611,1.0572,1.0573
"509.3309 / 6.83  2MNa-2H-",1.0167,0.99783,0.99302,0.99192,0.99168
"510.1656 / 21.76",0.065244,0.10218,0.10425,0.10463,0.10463
"510.1840 / 11.63",1.3187,1.0677,1.0755,1.0813,1.081
"510.2169 / 11.07  MNa-2H-",1.0098,0.98563,0.98231,0.979,0.97864
"510.2530 / 8.05",1.228,1.0305,1.015,1.0148,1.0152
"510.2940 / 20.53",0.23437,0.5269,0.53964,0.53931,0.53916
"510.3283 / 19.23",1.0655,0.96984,0.96475,0.96863,0.9691
"511.1281 / 4.97",1.1925,0.9436,0.96721,0.9813,0.98243
"511.1574 / 22.18",0.10638,0.1343,0.13683,0.13899,0.13914
"511.1819 / 18.85  MNa-2H-",0.73541,0.64231,0.63418,0.63644,0.63617
"511.2195 / 17.74",0.80423,0.72709,0.71806,0.72543,0.72541
"511.2877 / 11.29  M-H-",0.99415,0.87417,0.86505,0.86383,0.86347
"511.2905 / 22.60",0.022904,0.7943,0.79302,0.80381,0.80419
"511.3036 / 23.58",0.15406,0.46467,0.46022,0.47587,0.47568
"511.3527 / 20.37  MAcO-H-",0.035553,0.11547,0.13337,0.13383,0.13381
"512.1480 / 8.86",0.47289,0.55233,0.67658,0.67708,0.67786
"512.1734 / 10.46  MNa-2H-",1.4551,1.235,1.2172,1.2151,1.2145
"512.2253 / 18.98",1.0958,0.9041,0.89073,0.88988,0.88951
"512.2460 / 10.57",1.5597,1.2397,1.2218,1.2174,1.2169
"512.2461 / 6.68",1.9263,1.5332,1.52,1.5158,1.5153
"512.2477 / 18.63",0.81481,0.97203,0.95696,0.9639,0.96366
"512.7755 / 16.18",0.48011,0.44466,0.4383,0.43685,0.43825
"513.1664 / 22.78",0.037211,0.047139,0.050188,0.050672,0.050653
"513.2314 / 17.51  MNa-2H-",1.047,1.0341,1.0442,1.0422,1.0429
"513.2346 / 15.45  MNa-2H-",1.1435,1.1233,1.113,1.1088,1.1087
"513.3030 / 14.41",0.82195,0.88226,0.87202,0.88255,0.88386
"513.3040 / 14.98",1.6577,1.3304,1.3156,1.315,1.3146
"513.3044 / 10.75",0.32032,0.50994,0.50919,0.50766,0.50978
"513.7662 / 3.26  M-2H2-",0.74356,0.59363,0.73588,0.74403,0.74409
"514.0833 / 2.85",0.66831,0.77774,0.79315,0.79027,0.78994
"514.2873 / 15.52  M-H-",1.3189,1.0894,1.0897,1.1065,1.1065
"514.2877 / 13.02  M-H-",1.6969,1.4042,1.39,1.3867,1.3862
"514.3221 / 19.17  M-H-",2.1463,1.693,1.6826,1.678,1.6779
"514.3245 / 17.48",0.86043,0.89374,0.90481,0.90298,0.903
"514.3275 / 20.40",0.012584,0.014599,0.058466,0.058869,0.059075
"515.1508 / 22.10",0.038052,0.031061,0.038492,0.038763,0.038758
"515.1635 / 20.52",0.52594,0.52361,0.53376,0.53434,0.53413
"515.2104 / 12.11  MNa-2H-",0.99813,1.0029,1.0167,1.0129,1.0127
"515.2377 / 22.10",0.37742,0.66444,0.71043,0.71742,0.71714
"515.2463 / 19.85",1.1339,0.91966,0.91969,0.91632,0.91626
"515.2602 / 8.46",1.0517,0.90344,0.91275,0.90989,0.91074
"515.2818 / 11.15",1.9114,1.5062,1.4902,1.4845,1.4839
"515.2827 / 9.73  M-H-",1.75,1.4183,1.3966,1.3914,1.3912
"515.3168 / 3.38",1.4777,1.2563,1.2363,1.2317,1.2312
"515.7182 / 15.17",0.91074,0.83653,0.82484,0.83021,0.83046
"516.2297 / 11.35",1.666,1.3369,1.3159,1.3109,1.3105
"516.2556 / 17.68",0.74503,0.63617,0.62614,0.6253,0.62519
"516.2651 / 15.71  M-H-",1.6622,1.312,1.2914,1.3008,1.3005
"516.2860 / 9.76",1.283,1.1626,1.1757,1.1713,1.1715
"516.3020 / 13.04",1.1207,1.096,1.0969,1.0955,1.0956
"517.0024 / 1.10",0.74624,1.0991,1.1023,1.0981,1.098
"517.1897 / 13.02",1.6593,1.4213,1.3987,1.3938,1.3941
"517.2033 / 11.05  M-H-",1.2808,1.0789,1.0903,1.0868,1.0866
"517.2313 / 14.35",1.0144,0.92349,0.92824,0.92746,0.92709
"517.2391 / 8.54",0.99016,0.8736,0.85975,0.86547,0.86524
"517.2392 / 21.89",0.16479,0.74229,0.77175,0.77618,0.776
"517.2404 / 12.13",1.0588,0.85926,0.86614,0.87645,0.87615
"517.2612 / 3.39",1.3028,1.2538,1.2481,1.2436,1.2432
"517.2665 / 15.74",1.4184,1.1645,1.146,1.1465,1.1465
"517.9659 / 14.40",0.071927,0.10069,0.10956,0.1105,0.11211
"518.1886 / 14.33  M-H-",1.6896,1.3344,1.3186,1.3136,1.3132
"518.2603 / 13.52",1.5646,1.306,1.2875,1.2837,1.2832
"518.2604 / 7.96  M-2H2-",0.66338,0.64891,0.65236,0.65081,0.65124
"518.2610 / 16.76",1.6409,1.3159,1.2954,1.2917,1.2913
"518.2819 / 9.85",1.0852,0.8696,0.86428,0.90486,0.90652
"518.2970 / 9.06",1.8193,1.4595,1.4386,1.4345,1.4341
"518.9628 / 1.10",0.50722,1.2225,1.2052,1.2006,1.2006
"519.1917 / 14.30",1.2851,1.0132,0.998,0.99679,0.99677
"519.2346 / 20.11  M-2H2-",0.9897,0.85284,0.84324,0.84118,0.84111
"519.2555 / 10.42",0.99339,0.82985,0.82701,0.82714,0.8271
"519.3177 / 18.97",0.90042,0.77201,0.76165,0.763,0.76268
"520.2245 / 3.07",1.5382,1.2391,1.2248,1.2205,1.2202
"520.2260 / 14.75",1.1265,1.07,1.0618,1.0604,1.0602
"520.2555 / 13.87",1.3301,1.0645,1.0537,1.0594,1.0596
"520.2754 / 12.18  M-2H2-",0.88167,0.7373,0.73131,0.73106,0.73145
"520.2768 / 17.45  M-H-",1.3973,1.2643,1.2593,1.2545,1.254
"520.7189 / 16.61",0.68913,0.57088,0.56194,0.56762,0.56756
"520.7384 / 18.44  M-2H2-",0.9391,0.74082,0.84042,0.84874,0.84839
"521.1648 / 23.05",0.038565,0.038184,0.03849,0.041045,0.041096
"521.2241 / 15.39",1.1535,1.0432,1.0333,1.0296,1.0292
"521.2558 / 15.07  M-2H2-",1.2304,1.1136,1.096,1.0918,1.0915
"521.2766 / 12.15",0.66909,0.57553,0.56784,0.57305,0.57294
"522.1490 / 19.04",0.59489,0.56734,0.59548,0.59431,0.59436
"522.2170 / 17.99",0.81369,0.76411,0.79348,0.83112,0.83128
"522.2210 / 17.20  M-2H2-",2.1046,1.7052,1.6795,1.6738,1.6731
"522.2526 / 8.27  MNa-2H-",1.1167,1.0119,0.99701,0.99811,0.99854
"523.0180 / 1.14",0.32071,0.37501,0.38053,0.37913,0.37939
"523.1521 / 22.51",0.47555,0.7562,0.75903,0.75719,0.75708
"523.1914 / 22.26  MAcO-H-",0.36673,0.59799,0.58859,0.58685,0.5866
"523.2119 / 7.93  MNa-2H-",1.9749,1.6333,1.6082,1.6029,1.6023
"523.2275 / 22.71",0.032266,0.29958,0.29486,0.31049,0.31179
"523.2558 / 24.32",0.022469,0.047118,0.047898,0.048199,0.04818
"523.2735 / 15.49  M-H-",1.7113,1.3699,1.3499,1.3468,1.3463
"523.7169 / 17.64  M-2H2-",1.7084,1.3614,1.3487,1.3463,1.346
"524.1299 / 9.67",1.2163,1.0238,1.0103,1.0134,1.0132
"524.2059 / 19.39",1.441,1.1849,1.1694,1.167,1.1668
"524.2107 / 14.52",0.608,0.76448,0.7768,0.77729,0.7775
"524.2959 / 1.01",0.88234,0.69582,0.69427,0.6923,0.69202
"524.7181 / 17.61",1.236,1.0611,1.0543,1.0536,1.0536
"525.0383 / 1.12",0.19018,0.4677,0.46338,0.46338,0.46356
"525.2014 / 11.70  M-H-",1.4166,1.1529,1.1371,1.1345,1.1344
"525.2045 / 22.59",0.11925,0.27756,0.27876,0.27804,0.27821
"525.2168 / 19.10  M-2H2-",1.6141,1.2728,1.256,1.2561,1.2556
"525.2401 / 23.70",0.12777,0.10494,0.10924,0.11043,0.11043
"525.2661 / 1.56",1.4985,1.1809,1.1686,1.1651,1.1646
"525.2679 / 21.21",0.63746,0.60891,0.59967,0.60775,0.60753
"525.2893 / 15.99",0.98328,0.94343,0.94668,0.94331,0.94306
"525.3017 / 9.31",0.81397,0.84652,0.85151,0.85162,0.85203
"525.3019 / 14.51",1.2965,1.104,1.0991,1.0998,1.0996
"525.7472 / 17.70  M-2H2-",0.44189,0.84025,0.83946,0.83781,0.83754
"526.2286 / 15.74",1.073,1.0087,1.0154,1.0145,1.0141
"526.2972 / 10.21",1.1265,0.89117,0.91051,0.92442,0.92468
"527.0798 / 16.02  2MNa-2H-",0.062737,0.26328,0.2743,0.29037,0.29033
"527.1818 / 23.04",0.043652,0.059183,0.059491,0.060569,0.060571
"527.2134 / 14.06  M-H-",1.3585,1.1907,1.1829,1.179,1.1785
"527.2504 / 18.18  M-H-",0.96005,0.95255,0.93746,0.93401,0.93365
"527.2695 / 15.00",1.1746,1.0321,1.0298,1.0284,1.028
"527.2814 / 18.85",0.80074,0.80371,0.79412,0.79883,0.80018
"527.2818 / 9.28  M-H-",0.6832,0.76804,0.77176,0.76991,0.7702
"527.3183 / 15.42",0.92001,0.92881,0.94263,0.93919,0.93919
"527.3448 / 19.47",0.18571,0.40601,0.49819,0.49935,0.49947
"527.3548 / 8.97",0.99452,0.8895,0.8823,0.90106,0.90128
"527.7237 / 4.04",1.8443,1.4551,1.4371,1.4349,1.4347
"528.2072 / 18.98",0.57257,0.9104,0.91055,0.91194,0.913
"528.2437 / 3.56  MNa-2H-",0.91972,0.8017,0.78895,0.79548,0.79534
"528.2649 / 10.76  M-H2O-H-",0.4942,0.79778,0.81612,0.82138,0.82236
"528.2773 / 4.63",0.62587,0.73384,0.73278,0.74115,0.74084
"528.2779 / 1.56",1.2108,1.0611,1.0481,1.0464,1.0465
"528.3017 / 14.03  M-H-",1.2025,0.96567,0.95181,0.97215,0.97193
"528.3021 / 14.63  M-H-",1.5615,1.2479,1.2582,1.2545,1.2541
"528.3027 / 15.55",1.2409,0.98702,0.9715,0.97339,0.97319
"528.3035 / 19.72",0.98077,1.0205,1.0312,1.0302,1.0302
"528.9592 / 1.31  MBr-",0.21753,0.50656,0.50685,0.50492,0.50471
"529.0372 / 1.21  M-H-",0.20832,0.57045,0.56457,0.56291,0.5628
"529.1668 / 8.17",1.5999,1.4197,1.4614,1.4562,1.4557
"529.1927 / 9.85",1.3016,1.1749,1.1653,1.1609,1.1605
"529.2089 / 17.89",0.81686,0.76463,0.75678,0.77235,0.77235
"529.2287 / 12.64",1.1632,1.0228,1.0078,1.0044,1.004
"529.2611 / 8.38",1.4322,1.235,1.2196,1.215,1.2147
"529.2619 / 10.67",1.4429,1.2232,1.2073,1.204,1.2035
"529.2619 / 15.89",1.5514,1.2257,1.2178,1.2165,1.2163
"529.2735 / 24.30",0.015756,0.031663,0.035106,0.035266,0.035276
"529.3335 / 6.41",1.6742,1.3346,1.3154,1.3105,1.31
"530.0429 / 1.15  M-",0.21317,0.57532,0.56939,0.56797,0.56789
"530.2214 / 14.23  M-2H2-",1.9168,1.5118,1.4969,1.4916,1.4911
"530.2257 / 20.11",1.2304,1.0021,0.98623,0.98247,0.98208
"530.2581 / 11.34  M-H-",1.1784,1.0406,1.0244,1.0206,1.0202
"530.2633 / 8.35",1.0857,1.0036,0.98768,0.98612,0.98631
"530.2739 / 3.47",0.72958,0.83431,0.85871,0.85757,0.85723
"530.2743 / 24.29",0.012276,0.026577,0.03223,0.032341,0.03236
"530.2959 / 19.42",1.368,1.1783,1.1977,1.1934,1.1939
"530.3074 / 14.60",1.1909,1.0506,1.0342,1.0321,1.0321
"530.3078 / 22.88",0.36985,0.31109,0.3064,0.35367,0.35365
"531.0390 / 19.05",0.078676,0.062139,0.39587,0.39437,0.39428
"531.0424 / 20.11",0.17246,0.17905,0.1821,0.18187,0.18195
"531.2229 / 6.74",1.2618,1.0757,1.0625,1.0587,1.0585
"531.2421 / 12.57  MFA-H-",1.5976,1.2774,1.288,1.2848,1.2843
"531.2448 / 3.36  2M-H-",0.87757,0.96074,0.96537,0.9627,0.96319
"531.2643 / 12.15",1.1539,0.93727,0.96331,0.96347,0.96382
"531.2958 / 3.91",1.0977,1.0923,1.1087,1.1057,1.1054
"531.3137 / 2.43",1.6752,1.323,1.3043,1.3031,1.3029
"531.7290 / 18.40  M-2H2-",1.2302,1.0146,1.0025,0.99875,0.99834
"532.1648 / 13.77",0.20068,0.60225,0.59376,0.65135,0.65179
"532.1657 / 14.57",0.87611,2.1655,2.1368,2.1308,2.1302
"532.2171 / 20.36",0.93684,1.0087,1.0185,1.015,1.0146
"532.9817 / 1.07",1.1516,2.2563,2.2305,2.222,2.2218
"533.1182 / 1.12",0.24513,1.0699,1.0546,1.0509,1.0506
"533.1348 / 22.13",1.1873,1.0872,1.0743,1.0717,1.0714
"533.2117 / 17.20  M-2H2-",1.8536,1.4625,1.4497,1.4442,1.4436
"533.2208 / 9.63",1.4263,1.1565,1.1382,1.1339,1.1335
"533.2359 / 11.75",1.1738,0.94715,0.93436,0.93179,0.93159
"533.2566 / 1.94",1.7014,1.3444,1.3279,1.3275,1.327
"533.4589 / 23.91  2MNa-2H-",0.064167,0.10129,0.10096,0.10145,0.1014
"533.9850 / 1.10",1.0717,2.1972,2.177,2.1697,2.1696
"534.2217 / 10.86",1.0374,0.94278,0.9286,0.92541,0.92508
"534.2222 / 10.20",1.1883,1.0648,1.0538,1.0505,1.0501
"534.2566 / 12.12",1.2433,1.0131,1.0262,1.0316,1.0313
"534.2677 / 19.00  M-2H2-",0.64053,0.64601,0.66864,0.66611,0.66586
"534.2907 / 16.44",1.5244,1.2248,1.2066,1.2044,1.2041
"534.7081 / 17.64",1.4472,1.1614,1.1545,1.1613,1.1614
"535.1535 / 3.92  2M-H-",0.23055,1.1019,1.105,1.105,1.1046
"535.2089 / 17.61",1.2478,1.0812,1.0723,1.0731,1.0732
"535.2878 / 2.10",1.2298,1.0539,1.0372,1.0365,1.0363
"535.7551 / 10.62",0.63764,0.50794,0.53698,0.53658,0.53635
"536.2080 / 19.10  M-2H2-",1.4663,1.1981,1.1908,1.1875,1.187
"536.2694 / 13.02  MNa-2H-",1.5758,1.286,1.2751,1.2705,1.27
"536.2696 / 15.52  MNa-2H-",1.4581,1.1878,1.179,1.1757,1.1752
"536.2715 / 5.32  M-H-",1.3142,1.1802,1.166,1.1618,1.1615
"536.2842 / 4.56",1.0995,1.0778,1.0961,1.0936,1.0933
"536.3039 / 19.17  MNa-2H-",1.5512,1.2289,1.2158,1.2119,1.2119
"536.7382 / 17.70",0.50205,0.53931,0.55826,0.55669,0.55675
"537.0174 / 1.29",0.090712,0.15397,0.15705,0.17039,0.17089
"537.1923 / 6.60",0.63326,0.59352,0.60348,0.61095,0.61094
"537.2297 / 7.76",1.2533,1.0007,1.0467,1.0434,1.043
"537.2644 / 9.76  MNa-2H-",1.1662,1.1479,1.1515,1.1474,1.1474
"537.2724 / 19.18",1.4217,1.1318,1.1599,1.1589,1.1587
"537.7524 / 10.17",0.63842,0.54074,0.53299,0.53097,0.53081
"537.7825 / 20.89  M-2H2-",1.8601,1.4679,1.4726,1.467,1.4665
"538.2470 / 15.71  MNa-2H-",1.5032,1.2347,1.2151,1.2148,1.2148
"538.2500 / 18.22",0.53122,0.48136,0.48807,0.48623,0.48604
"538.7475 / 19.98",0.70562,0.75724,0.75879,0.75592,0.75621
"538.9976 / 28.06",0.01525,0.014167,0.01895,0.01888,0.018896
"538.9991 / 1.14",0.88486,1.7142,1.692,1.6855,1.6854
"539.1379 / 1.52",0.30259,0.27162,0.27262,0.27936,0.27962
"539.1442 / 13.14  M-H-",0.57198,0.77073,0.76072,0.75782,0.75832
"539.1840 / 21.64",0.037177,0.065315,0.074914,0.074996,0.075024
"539.1855 / 11.02  MNa-2H-",1.1791,1.0153,1.0027,0.99891,0.9986
"539.2171 / 16.12",1.2283,1.0509,1.0385,1.0365,1.0361
"539.2173 / 18.42",0.80925,0.64269,0.64543,0.64556,0.64529
"539.2494 / 21.15  MAcO-H-",0.011962,0.69907,0.6886,0.6889,0.68884
"539.2827 / 1.56",1.1286,0.89439,0.90895,0.90653,0.90662
"539.2890 / 10.54",1.0105,1.1963,1.2065,1.2049,1.2044
"539.4310 / 24.08",0.073898,0.92546,0.91102,0.93071,0.93035
"539.7355 / 15.07",0.53395,0.4241,0.4284,0.42841,0.42827
"540.0542 / 3.49",0.76593,0.60506,0.76602,0.7671,0.77027
"540.1708 / 14.33  MNa-2H-",1.4001,1.1039,1.0883,1.0851,1.0849
"540.2774 / 8.48",1.4584,1.1616,1.1432,1.1396,1.1392
"540.3138 / 13.77  M-H-",1.0586,1.062,1.0748,1.0709,1.071
"540.3391 / 19.20",0.84873,0.93559,0.92715,0.92564,0.9257
"541.1353 / 1.52",0.14943,0.53266,0.52567,0.52928,0.52908
"541.1981 / 23.29",0.055071,0.084381,0.086841,0.087158,0.087133
"541.2136 / 14.23",1.811,1.427,1.4199,1.4146,1.4141
"541.2293 / 15.30  M-H-",1.5572,1.3214,1.3055,1.3016,1.3016
"541.2379 / 21.98",0.32282,0.42099,0.43832,0.44231,0.44227
"541.2607 / 10.53",1.4089,1.2106,1.2253,1.2273,1.2268
"541.2623 / 14.23  M-H-",1.5989,1.2603,1.2417,1.2384,1.2395
"541.2642 / 20.96  MAcO-H-",0.16059,0.9145,0.90045,0.90278,0.90242
"541.2650 / 21.56",0.15997,0.40514,0.41903,0.41902,0.41905
"541.2974 / 8.22  M-H-",1.9397,1.531,1.5187,1.5195,1.5189
"542.2242 / 19.95",0.70031,1.0525,1.0811,1.0781,1.0779
"542.2667 / 21.08",0.15808,0.92602,0.91502,0.91916,0.91895
"542.2809 / 17.42",1.4401,1.2334,1.2147,1.2104,1.2099
"542.2815 / 12.69",1.3033,1.1604,1.1511,1.1471,1.1466
"542.2913 / 11.23",0.89654,0.75234,0.74373,0.74277,0.74249
"542.2931 / 9.50",2.0481,1.6389,1.6188,1.6141,1.6135
"542.3662 / 3.99",1.4434,1.1817,1.1926,1.1923,1.1918
"542.7867 / 17.84  M-2H2-",1.2339,1.0792,1.064,1.0612,1.0614
"543.1432 / 20.07",0.093274,0.22339,0.28237,0.28237,0.28715
"543.1615 / 22.95",0.078543,0.06623,0.070658,0.071069,0.071051
"543.2031 / 3.50",1.1596,0.93675,0.92185,0.92563,0.92572
"543.2391 / 20.17",0.90459,0.73193,0.8714,0.87763,0.87811
"543.2525 / 23.19",0.06232,0.24261,0.23886,0.23931,0.23921
"543.2764 / 11.81",1.7869,1.4193,1.3977,1.3933,1.3927
"543.2766 / 14.82",1.3268,1.0568,1.1252,1.1386,1.1383
"543.2766 / 16.37",0.83433,0.89324,0.89043,0.88736,0.88773
"543.2772 / 16.91",2.2927,1.8267,1.7989,1.7922,1.7915
"543.2799 / 20.77",0.076315,0.96126,0.94951,0.94997,0.94978
"543.3157 / 13.59  M-H-",1.8741,1.4829,1.4935,1.4879,1.4875
"543.3256 / 2.73",1.1229,0.97903,0.97718,0.97356,0.97315
"544.2034 / 17.20  M-2H2-",1.5597,1.2455,1.2285,1.2243,1.2239
"544.2244 / 11.15  M-H-",1.404,1.2799,1.2741,1.2697,1.2692
"544.2507 / 7.32  M-H-",1.0745,0.91404,0.91089,0.93996,0.94043
"544.2746 / 4.64",1.0882,1.0591,1.0566,1.0648,1.0652
"544.2970 / 13.77",1.5191,1.2574,1.2387,1.234,1.2335
"544.7400 / 19.26  M-2H2-",1.6774,1.3236,1.3149,1.3126,1.3122
"544.7536 / 12.96",1.0716,0.93127,0.97626,0.99564,0.99543
"544.7673 / 17.96  M-2H2-",1.1748,0.92723,1.0175,1.0332,1.0328
"545.0131 / 29.68",0.07457,0.15825,0.45262,0.45371,0.45579
"545.0132 / 9.84",0.10455,0.29109,0.29107,0.31893,0.31905
"545.0135 / 19.57",0.2303,1.4173,1.473,1.4763,1.4758
"545.0136 / 18.29",0.60091,0.47574,0.49612,0.51605,0.51993
"545.0145 / 1.19",0.52414,0.98616,0.97324,0.96962,0.96952
"545.0146 / 10.80",0.43039,1.0329,1.0193,1.0193,1.0188
"545.0147 / 9.20",0.64069,0.57304,0.56571,0.56991,0.56972
