"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"120.0808 / 12.98",0.014327,-0.00080763,0.0033542,-0.0059665,0.0083502,-0.00042223,0.0044774,-0.016959
"120.0809 / 2.77  MNH4",0.00070837,-0.0097741,0.0032635,-0.0039974,0.0021859,-0.00013179,0.0008245,-0.004162
"120.0809 / 5.55",0.016011,0.0036877,0.0029541,-0.00364,-0.0050373,0.00010762,0.0096761,-0.0089037
"120.0809 / 6.29",0.0044408,-0.027033,0.0064442,-0.0035127,0.0062909,-0.0058882,-0.012634,-0.0083071
"120.0810 / 3.76",0.014191,-1.148e-05,-0.0019667,-0.00076717,0.0043125,-0.008513,-0.0060559,-0.015403
"120.0811 / 11.13",0.009936,-0.017304,-0.016047,-0.0049917,0.015489,0.01622,0.0016571,-0.0066555
"121.0165 / 1.05",0.00022265,-0.010279,-0.0057581,0.0015204,0.010407,-0.0075317,-0.0025956,-0.00079242
"121.0284 / 6.53",0.00057279,-0.015088,0.017469,-0.016378,0.0058347,-0.0063067,-0.0052306,-0.026994
"121.0286 / 10.06",-0.0076079,-0.015213,0.0068205,0.012498,-0.0012508,-0.011997,0.017521,-0.0096693
"121.0395 / 2.88  MH",-0.00020638,0.0017343,0.0011352,-0.007249,-0.010804,0.00042104,-0.0018457,0.0018485
"121.0650 / 1.86",0.001749,-0.025399,-0.0021448,-0.018919,0.0012205,0.015765,-0.0051631,-0.01434
"121.0841 / 2.80",0.00068293,-0.011564,0.0031981,-0.0042163,0.0035902,-0.00071957,0.001051,-0.0046882
"121.0985 / 2.78",0.0014174,-0.018729,0.00069297,-0.0069234,0.0072309,0.0003699,0.0035608,-0.012706
"121.0986 / 5.39",0.0045696,-0.0028766,0.0085554,0.0053884,-0.018516,0.013599,0.015881,-0.013362
"121.0991 / 10.71",0.0021938,-0.011322,-0.020002,0.011763,-0.0027992,0.022044,0.0040792,-0.014965
"121.1007 / 1.87",0.00085175,0.0025954,-0.00014223,-0.00016615,-0.00061492,0.00031168,-0.0032739,0.0020223
"121.1009 / 9.14",0.0049043,-0.0038374,0.0031116,0.0023761,-0.018462,0.0065099,-0.00072756,0.006174
"121.1010 / 8.57",0.00033182,0.0098924,0.010878,-0.015746,-0.0091151,0.0035438,0.01347,-0.0054432
"121.1012 / 11.25  MH",0.0034576,-0.0082455,-0.013004,-0.0014442,-0.0020182,0.017567,-0.017605,-0.017462
"121.1012 / 6.47  MH",0.002713,0.0041846,-0.0063772,0.015256,-0.010393,-0.0086588,0.0062111,-0.0076491
"121.1013 / 0.36  MH",0.00051519,-0.0009184,-0.012433,0.028224,0.010795,-0.012372,-0.014383,-0.0025311
"121.1014 / 7.38",-0.0006524,-0.0065894,-0.0016346,0.014403,-0.0095987,0.013666,-0.0050365,-0.018357
"121.1015 / 3.65",0.0032478,-0.010068,0.009861,-0.018319,0.0016546,-0.0082444,-0.013587,-0.00066582
"122.0575 / 5.02  MNa",-0.0041062,-0.01519,0.0071675,-0.0016776,-0.0039551,-0.013831,0.0098352,0.0062068
"123.0437 / 6.69",-0.0010639,-0.012011,0.0032003,-0.0038934,0.016728,-0.019645,0.011952,-0.0018728
"123.0445 / 2.10",0.00032649,-0.0097902,0.0021493,-0.0059935,0.0054395,-0.0023846,0.0015227,-0.0011994
"123.0548 / 3.51",0.0046769,0.0021026,-0.015715,0.0024123,-0.027475,-0.016315,0.0089349,0.0072872
"123.0554 / 4.10  MH",0.00066578,-0.0015072,0.0053539,0.003317,0.0029464,0.0096348,-0.0042636,-0.015081
"123.0777 / 19.48",-0.0010741,0.001251,0.00036071,0.00042583,0.0012608,-0.001584,0.0010289,-0.0009643
"124.0244 / 1.08",-0.00017091,-0.0086471,-0.0017119,0.0016699,0.0089882,-0.0021198,-0.0017985,0.00023865
"124.0246 / 0.27",-0.0045127,-0.0068458,-0.001234,0.0056428,0.010603,-0.0041977,-0.0085804,-0.0039892
"124.0389 / 2.77",0.0086079,-0.0023219,0.0012608,-0.0049166,-0.008142,-0.0049228,0.0028332,0.00045774
"124.0465 / 2.09",9.8533e-05,-0.010215,0.002217,-0.0070133,0.0050386,-0.0036922,0.0017403,-0.00072591
"124.0510 / 13.39",-0.0028606,-0.022106,0.007895,0.00055035,0.0097391,0.0072909,0.022247,-0.00020886
"124.0586 / 4.11",0.00076585,-0.0062013,0.010338,0.0051263,0.0059539,0.0093583,0.0029056,-0.018617
"124.0754 / 5.20",-0.0015538,-0.012081,0.0072992,0.0098795,0.0053003,-0.010612,0.013457,-0.011533
"126.0218 / 1.04",-0.0001851,-0.0092159,-0.0023154,0.0010144,0.0097911,-0.0030911,-0.0010332,-0.0016772
"126.0915 / 10.44  MH",-0.00040005,-0.019435,0.0033617,-0.0010946,0.011576,-0.0085746,0.009626,-0.008043
"126.1280 / 13.57",-0.007108,-0.027532,-0.010269,0.0017998,0.0064731,0.0086878,0.011659,0.00032206
"127.0390 / 6.82  MH",-0.0033987,-0.016803,0.0088602,-0.0107,-0.0069273,0.0067692,0.0082117,-0.0069661
"127.0504 / 4.07",-0.0015859,-0.026071,0.0054909,0.00062109,0.0087499,-0.0099982,0.0092325,-0.0065189
"128.9852 / 1.85",0.00065049,0.0066594,-0.00036357,-0.00053949,-0.0022252,0.00056917,0.00079943,0.00079276
"129.0185 / 1.65",-0.00127,-0.022423,-0.026872,-0.0042739,0.011427,-0.010292,-0.0041451,0.0091241
