"","d.value","stdev","rawp","q.value"
"320.1715 / 8.12  MNH4",5.1735,1.6603,6.2613e-06,1.6721e-05
"619.2936 / 18.50",5.1733,1.4559,6.2613e-06,1.6721e-05
"387.7109 / 7.49  M2H2",5.1729,1.5981,6.2613e-06,1.6721e-05
"673.3769 / 19.10  MAcO-H-",5.172,1.4763,6.2613e-06,1.6721e-05
"521.2717 / 10.44  MNH4",5.1713,1.3086,6.2613e-06,1.6721e-05
"316.1865 / 3.67",5.171,1.5247,6.2613e-06,1.6721e-05
"544.7400 / 19.26  M-2H2-",5.1705,1.5257,6.2613e-06,1.6721e-05
"811.3641 / 14.63  MNa-2H-",5.1699,1.4266,6.2613e-06,1.6721e-05
"492.7601 / 15.89",5.1697,1.3464,6.2613e-06,1.6721e-05
"447.2335 / 14.99",5.1694,1.4803,6.2613e-06,1.6721e-05
"785.4201 / 20.04",5.1693,1.3094,6.2613e-06,1.6721e-05
"368.2309 / 11.47",5.1693,1.3507,6.2613e-06,1.6721e-05
"671.3901 / 13.98",5.1692,1.2615,6.2613e-06,1.6721e-05
"317.1119 / 3.21",5.1679,1.0263,6.2613e-06,1.6721e-05
"901.4220 / 17.42",5.1678,1.3696,6.2613e-06,1.6721e-05
"405.8910 / 12.83  M3H3",5.1677,1.5412,6.2613e-06,1.6721e-05
"397.2304 / 7.77",5.1675,1.4297,6.2613e-06,1.6721e-05
"336.7234 / 15.59",5.1664,1.45,6.2613e-06,1.6721e-05
"690.3686 / 16.17",5.166,1.3599,6.2613e-06,1.6721e-05
"596.2996 / 18.75",5.166,1.3134,6.2613e-06,1.6721e-05
"531.3137 / 2.43",5.1659,1.5251,6.2613e-06,1.6721e-05
"543.3149 / 8.23",5.1657,1.8204,6.2613e-06,1.6721e-05
"675.3468 / 15.15  M3H3",5.1652,1.3453,6.2613e-06,1.6721e-05
"586.3021 / 16.75  M-2H2-",5.1633,1.3459,6.2613e-06,1.6721e-05
"419.2359 / 11.69  M3H3",5.1632,1.429,6.2613e-06,1.6721e-05
"552.9798 / 8.16  M3H3",5.1629,1.5104,6.2613e-06,1.6721e-05
"508.2960 / 16.61",5.1624,1.3751,6.2613e-06,1.6721e-05
"592.2774 / 19.07",5.1613,1.3511,6.2613e-06,1.6721e-05
"624.3723 / 19.28",5.1596,1.5473,6.2613e-06,1.6721e-05
"663.3708 / 18.11",5.1594,1.6255,6.2613e-06,1.6721e-05
"274.1193 / 4.82",5.1577,1.433,6.2613e-06,1.6721e-05
"331.1969 / 2.12",5.1576,1.5194,6.2613e-06,1.6721e-05
"613.3307 / 3.58",5.1573,1.5696,6.2613e-06,1.6721e-05
"347.7177 / 8.36  M2H2",5.1572,1.4589,6.2613e-06,1.6721e-05
"490.2621 / 3.51",5.1556,1.4577,6.2613e-06,1.6721e-05
"629.2894 / 15.93  MNa-2H-",5.1547,1.2735,6.2613e-06,1.6721e-05
"339.5226 / 10.62",5.1545,1.5271,6.2613e-06,1.6721e-05
"833.4296 / 19.17",5.1535,1.4213,6.2613e-06,1.6721e-05
"527.2602 / 15.44",5.1529,1.4888,6.2613e-06,1.6721e-05
"459.2150 / 12.42  M-H-",5.1519,1.5312,6.2613e-06,1.6721e-05
"437.2393 / 11.40",5.1515,1.5355,6.2613e-06,1.6721e-05
"501.7374 / 17.23",5.1505,1.248,6.2613e-06,1.6721e-05
"522.7556 / 18.43  M2H2",5.1499,1.499,6.2613e-06,1.6721e-05
"510.5103 / 16.36  M4H4",5.1493,1.3857,6.2613e-06,1.6721e-05
"695.3643 / 13.56  M2H2",5.1491,1.4727,6.2613e-06,1.6721e-05
"354.1739 / 8.46  M2H2",5.148,1.4226,6.2613e-06,1.6721e-05
"277.1444 / 22.51",5.1478,0.40994,6.2613e-06,1.6721e-05
"373.7257 / 4.56",5.1475,1.5365,6.2613e-06,1.6721e-05
"513.7706 / 13.40",5.1474,1.3316,6.2613e-06,1.6721e-05
"417.2452 / 2.71  MNH4",5.1474,1.5278,6.2613e-06,1.6721e-05
"319.1413 / 4.61  MNH4",5.1473,1.5925,6.2613e-06,1.6721e-05
"423.5944 / 15.21  M3H3",5.1456,1.6597,6.2613e-06,1.6721e-05
"345.2241 / 10.12",5.1444,1.4674,6.2613e-06,1.6721e-05
"538.2970 / 13.94  MH",5.1441,1.4878,6.2613e-06,1.6721e-05
"469.2245 / 10.64",5.1438,1.3203,6.2613e-06,1.6721e-05
"460.2518 / 10.20  M2HNa3",5.1433,1.5602,6.2613e-06,1.6721e-05
"423.2345 / 6.92",5.1428,1.4492,7.0439e-06,1.7395e-05
"533.2208 / 9.63",5.1421,1.3045,7.0439e-06,1.7395e-05
"496.7836 / 18.79  M2H2",5.1417,1.4429,7.0439e-06,1.7395e-05
"414.2339 / 12.59",5.1416,1.3444,7.0439e-06,1.7395e-05
"460.7608 / 10.35",5.1416,1.5159,7.0439e-06,1.7395e-05
"710.4174 / 19.46  2M",5.1412,1.3311,7.0439e-06,1.7395e-05
"734.3422 / 16.52  M2H2",5.1411,1.6558,7.0439e-06,1.7395e-05
"756.3885 / 18.36  MNa",5.1407,1.4062,7.0439e-06,1.7395e-05
"599.7682 / 10.37  M2H2",5.1406,1.5456,7.0439e-06,1.7395e-05
"667.3409 / 7.89  M-H-",5.1404,1.5854,7.0439e-06,1.7395e-05
"759.3664 / 19.67  MNa-2H-",5.1395,1.2168,7.0439e-06,1.7395e-05
"992.5265 / 19.51",5.1393,1.2898,7.0439e-06,1.7395e-05
"444.2449 / 9.71",5.139,1.4802,7.0439e-06,1.7395e-05
"259.0757 / 7.57",5.1386,1.5846,7.0439e-06,1.7395e-05
"516.3009 / 13.81",5.1358,1.4016,7.8266e-06,1.7395e-05
"548.2729 / 13.82",5.1354,1.4278,7.8266e-06,1.7395e-05
"619.3039 / 2.74",5.1345,1.5299,7.8266e-06,1.7395e-05
"770.3923 / 20.01  M-H-",5.1344,1.3761,7.8266e-06,1.7395e-05
"644.2792 / 10.04",5.1344,1.2327,7.8266e-06,1.7395e-05
"399.2257 / 17.17",5.1343,1.3635,7.8266e-06,1.7395e-05
"639.9383 / 18.05",5.1341,1.3226,7.8266e-06,1.7395e-05
"579.2627 / 19.31  M3H3",5.134,1.4322,7.8266e-06,1.7395e-05
"242.1231 / 11.72",5.1339,1.7291,7.8266e-06,1.7395e-05
"382.2223 / 2.12",5.1338,1.6896,7.8266e-06,1.7395e-05
"601.3185 / 8.06",5.1337,1.4514,7.8266e-06,1.7395e-05
"333.2132 / 2.45",5.1331,1.6095,7.8266e-06,1.7395e-05
"378.2082 / 11.00",5.1321,1.6983,7.8266e-06,1.7395e-05
"463.2548 / 14.34",5.1301,1.4696,7.8266e-06,1.7395e-05
"305.1675 / 8.76  MH",5.1301,1.4776,7.8266e-06,1.7395e-05
"509.2575 / 12.52",5.1298,1.6199,7.8266e-06,1.7395e-05
"695.8538 / 15.97",5.1294,1.3835,7.8266e-06,1.7395e-05
"421.2082 / 2.10",5.1289,1.5568,7.8266e-06,1.7395e-05
"395.2157 / 9.41",5.1288,1.4855,7.8266e-06,1.7395e-05
"485.1712 / 8.36",5.1288,1.4058,7.8266e-06,1.7395e-05
"432.1476 / 11.79",5.1288,1.4388,7.8266e-06,1.7395e-05
"251.1033 / 2.89",5.1283,1.5796,7.8266e-06,1.7395e-05
"379.1975 / 9.80",5.128,1.4737,7.8266e-06,1.7395e-05
"520.8048 / 15.77  M2H2",5.1279,1.452,7.8266e-06,1.7395e-05
"585.2532 / 9.39",5.1268,1.354,7.8266e-06,1.7395e-05
"332.1240 / 4.51",5.126,1.6004,7.8266e-06,1.7395e-05
"387.2587 / 12.33",5.1245,1.4646,7.8266e-06,1.7395e-05
"614.3496 / 15.20",5.1224,1.363,7.8266e-06,1.7395e-05
"674.3147 / 16.85  M-H-",5.1214,1.6035,7.8266e-06,1.7395e-05
"563.8000 / 18.31  M2H2",5.1211,1.361,7.8266e-06,1.7395e-05
"742.3965 / 19.29",5.1203,1.3575,7.8266e-06,1.7395e-05
"364.1502 / 5.83",5.1191,1.5804,7.8266e-06,1.7395e-05
"472.2587 / 7.05",5.1179,1.539,7.8266e-06,1.7395e-05
"567.2762 / 11.78  MNa",5.1173,1.4016,7.8266e-06,1.7395e-05
"500.2720 / 8.38",5.1167,1.6104,7.8266e-06,1.7395e-05
"316.1504 / 3.80",5.1163,1.7543,7.8266e-06,1.7395e-05
"335.1351 / 3.70  M-H-",5.1153,1.7554,7.8266e-06,1.7395e-05
"748.3898 / 17.59",5.1148,1.4561,7.8266e-06,1.7395e-05
"556.8076 / 19.07",5.1146,1.4222,7.8266e-06,1.7395e-05
"518.2970 / 9.06",5.1128,1.6735,7.8266e-06,1.7395e-05
"629.3134 / 16.03",5.1128,1.4323,7.8266e-06,1.7395e-05
"444.7586 / 13.12  M2H2",5.1127,1.3761,7.8266e-06,1.7395e-05
"454.2342 / 9.65",5.1124,1.4458,7.8266e-06,1.7395e-05
"717.8270 / 14.55  M-2H2-",5.1122,1.4018,7.8266e-06,1.7395e-05
"550.2543 / 11.09",5.1121,1.5531,7.8266e-06,1.7395e-05
"622.3115 / 11.14",5.1116,1.6142,7.8266e-06,1.7395e-05
"406.2327 / 19.03  MH",5.1112,1.4595,7.8266e-06,1.7395e-05
"694.3032 / 12.29  M-H-",5.1109,1.4903,7.8266e-06,1.7395e-05
"315.1319 / 6.08",5.1108,1.4448,7.8266e-06,1.7395e-05
"590.2816 / 19.01  M-H-",5.1108,1.4616,7.8266e-06,1.7395e-05
"858.4488 / 12.85",5.1105,1.3696,7.8266e-06,1.7395e-05
"516.2297 / 11.35",5.1095,1.5335,7.8266e-06,1.7395e-05
"591.2329 / 13.56",5.1092,1.5547,7.8266e-06,1.7395e-05
"401.2391 / 8.50  MH",5.1087,1.4649,7.8266e-06,1.7395e-05
"408.7358 / 19.76  M2H2",5.1086,1.6453,7.8266e-06,1.7395e-05
"289.0593 / 8.27",5.1083,0.56481,7.8266e-06,1.7395e-05
"316.1871 / 6.14",5.108,1.6454,7.8266e-06,1.7395e-05
"615.3717 / 18.76",5.1079,1.4006,7.8266e-06,1.7395e-05
"430.2663 / 8.09",5.1064,1.7675,7.8266e-06,1.7395e-05
"696.2976 / 16.85  MNa-2H-",5.1063,1.4443,7.8266e-06,1.7395e-05
"652.3362 / 16.65  M2H2",5.1044,1.4494,7.8266e-06,1.7395e-05
"579.2779 / 18.44",5.104,1.3799,7.8266e-06,1.7395e-05
"626.2920 / 17.92",5.1038,1.4779,7.8266e-06,1.7395e-05
"469.2283 / 17.77",5.1038,1.4676,7.8266e-06,1.7395e-05
"681.3233 / 15.17",5.1037,1.5152,7.8266e-06,1.7395e-05
"719.3736 / 19.00",5.1036,1.4026,7.8266e-06,1.7395e-05
"653.3101 / 19.42  M-H-",5.1033,1.3597,7.8266e-06,1.7395e-05
"614.3137 / 19.83",5.103,0.6372,7.8266e-06,1.7395e-05
"548.2378 / 11.08  M-H-",5.1027,1.4396,7.8266e-06,1.7395e-05
"311.1858 / 12.32  M2H2",5.1021,1.5003,7.8266e-06,1.7395e-05
"334.1979 / 3.69",5.1018,1.5808,7.8266e-06,1.7395e-05
"725.3599 / 19.50",5.1013,1.5654,7.8266e-06,1.7395e-05
"404.2353 / 13.61  M2H2",5.1009,1.6288,7.8266e-06,1.7395e-05
"632.7919 / 17.55",5.0998,1.4553,7.8266e-06,1.7395e-05
"613.2413 / 12.45",5.0985,1.3882,7.8266e-06,1.7395e-05
"723.2752 / 19.45  MNa-2H-",5.0976,1.3425,7.8266e-06,1.7395e-05
"457.2179 / 13.04",5.0968,1.3365,7.8266e-06,1.7395e-05
"345.1421 / 5.54",5.0965,1.5567,7.8266e-06,1.7395e-05
"438.7677 / 18.91  MH",5.0964,1.4162,7.8266e-06,1.7395e-05
"485.2738 / 14.82  M2H2",5.0955,1.6313,7.8266e-06,1.7395e-05
"451.2183 / 9.63",5.0954,1.5651,7.8266e-06,1.7395e-05
"837.4005 / 14.98",5.0953,1.391,7.8266e-06,1.7395e-05
"629.3143 / 13.68",5.095,1.3729,7.8266e-06,1.7395e-05
"392.1806 / 16.47",5.0938,1.5242,7.8266e-06,1.7395e-05
"413.1921 / 11.83",5.0936,1.3934,7.8266e-06,1.7395e-05
"674.3315 / 17.33",5.0934,1.2958,7.8266e-06,1.7395e-05
"493.7173 / 8.72",5.0924,1.2298,7.8266e-06,1.7395e-05
"544.2034 / 17.20  M-2H2-",5.0921,1.4405,7.8266e-06,1.7395e-05
"382.1983 / 8.56  MCH3OHH",5.0921,1.5551,7.8266e-06,1.7395e-05
"388.1507 / 15.03  M-H-",5.092,1.4252,7.8266e-06,1.7395e-05
"666.3289 / 17.26  M-",5.0919,1.5491,7.8266e-06,1.7395e-05
"419.7267 / 19.79  MHNa2",5.0918,1.6309,7.8266e-06,1.7395e-05
"435.7371 / 18.59",5.0896,1.4818,7.8266e-06,1.7395e-05
"686.0071 / 17.87  M3H3",5.0895,1.5817,7.8266e-06,1.7395e-05
"378.1700 / 9.76",5.0895,1.5587,7.8266e-06,1.7395e-05
"625.3302 / 12.24  M-H2O-H-",5.089,1.4933,7.8266e-06,1.7395e-05
"596.3086 / 18.75  MH",5.0877,1.7289,7.8266e-06,1.7395e-05
"392.7501 / 14.82  M2H2",5.087,1.5624,7.8266e-06,1.7395e-05
"639.3460 / 14.54  M-H2O-H-",5.0862,1.6813,7.8266e-06,1.7395e-05
"413.1919 / 12.81  MH",5.085,1.2714,7.8266e-06,1.7395e-05
"525.2168 / 19.10  M-2H2-",5.085,1.4929,7.8266e-06,1.7395e-05
"402.7009 / 10.84  M2H2",5.0841,1.6349,7.8266e-06,1.7395e-05
"721.3484 / 14.51  M-H2O-H-",5.084,1.4165,7.8266e-06,1.7395e-05
"401.2032 / 8.05  M-H-",5.0839,1.5327,7.8266e-06,1.7395e-05
"458.6897 / 17.21",5.0826,1.3553,7.8266e-06,1.7395e-05
"413.2756 / 16.75",5.081,1.4972,7.8266e-06,1.7395e-05
"471.2570 / 7.04  MNH4",5.0808,1.6858,7.8266e-06,1.7395e-05
"695.3728 / 11.53",5.0807,1.449,7.8266e-06,1.7395e-05
"803.3707 / 15.46",5.0807,1.3874,7.8266e-06,1.7395e-05
"519.2203 / 11.03",5.0796,1.4396,7.8266e-06,1.7395e-05
"629.3690 / 16.59",5.0795,1.3757,7.8266e-06,1.7395e-05
"518.2610 / 16.76",5.0786,1.5196,7.8266e-06,1.7395e-05
"619.3097 / 14.88",5.0784,1.4079,7.8266e-06,1.7395e-05
"428.1468 / 16.27  MNa",5.0781,1.4896,7.8266e-06,1.7395e-05
"472.1667 / 4.10",5.0777,1.7198,7.8266e-06,1.7395e-05
"502.3010 / 13.83",5.0763,1.4386,7.8266e-06,1.7395e-05
"540.1708 / 14.33  MNa-2H-",5.076,1.2973,7.8266e-06,1.7395e-05
"471.7727 / 13.95  M2H2",5.0748,1.4239,7.8266e-06,1.7395e-05
"673.3589 / 18.85",5.0729,1.5906,7.8266e-06,1.7395e-05
"904.4501 / 17.61",5.0727,1.3622,7.8266e-06,1.7395e-05
"355.1612 / 8.89",5.0715,1.57,7.8266e-06,1.7395e-05
"346.1609 / 3.20",5.0711,1.5571,7.8266e-06,1.7395e-05
"589.2092 / 2.29",5.0709,1.5592,7.8266e-06,1.7395e-05
"486.2737 / 14.85",5.0704,1.4759,7.8266e-06,1.7395e-05
"243.1347 / 11.75  MH",5.0696,1.3006,7.8266e-06,1.7395e-05
"231.0552 / 8.32",5.0696,0.5901,7.8266e-06,1.7395e-05
"243.1346 / 11.23",5.0694,1.4745,7.8266e-06,1.7395e-05
"574.2404 / 17.55  M-2H2-",5.0689,1.4519,7.8266e-06,1.7395e-05
"446.1892 / 14.15",5.0679,1.3652,7.8266e-06,1.7395e-05
"581.2920 / 12.48  MCH3OHH",5.0674,1.4525,7.8266e-06,1.7395e-05
"422.2431 / 11.59",5.0662,1.3817,7.8266e-06,1.7395e-05
"386.7106 / 19.99",5.0652,1.2963,7.8266e-06,1.7395e-05
"536.2694 / 13.02  MNa-2H-",5.0648,1.4632,7.8266e-06,1.7395e-05
"330.2019 / 4.38",5.0647,1.4123,7.8266e-06,1.7395e-05
"483.9264 / 19.65  M3H3",5.0645,1.3577,7.8266e-06,1.7395e-05
"435.2093 / 3.68  MH",5.0644,1.6884,7.8266e-06,1.7395e-05
"201.1239 / 10.77",5.0641,1.5871,7.8266e-06,1.7395e-05
"683.3731 / 11.24",5.0639,1.2863,7.8266e-06,1.7395e-05
"508.2582 / 14.35  M2H2",5.0633,1.363,7.8266e-06,1.7395e-05
"369.1774 / 12.57",5.0616,1.6592,7.8266e-06,1.7395e-05
"841.3779 / 19.31",5.06,1.2705,7.8266e-06,1.7395e-05
"346.1964 / 5.82",5.0595,1.5508,7.8266e-06,1.7395e-05
"659.2999 / 18.69  M2H2",5.0589,1.4736,7.8266e-06,1.7395e-05
"486.2580 / 9.77",5.058,1.4226,7.8266e-06,1.7395e-05
"301.1172 / 3.32",5.0571,1.5108,7.8266e-06,1.7395e-05
"642.3452 / 15.87  M-H-",5.0544,1.6651,7.8266e-06,1.7395e-05
"299.1439 / 8.89",5.053,1.5587,7.8266e-06,1.7395e-05
"663.3210 / 15.20",5.0512,1.4326,7.8266e-06,1.7395e-05
"375.1536 / 5.13",5.0496,1.3602,7.8266e-06,1.7395e-05
"598.2978 / 10.03",5.0495,1.4856,7.8266e-06,1.7395e-05
"517.2990 / 9.73  MH",5.0494,1.6853,7.8266e-06,1.7395e-05
"827.3518 / 6.63",5.0493,1.3633,7.8266e-06,1.7395e-05
"472.2040 / 9.09",5.0492,1.4473,7.8266e-06,1.7395e-05
"541.2974 / 8.22  M-H-",5.0485,1.8069,7.8266e-06,1.7395e-05
"489.2936 / 19.20  M-2H2-",5.0485,1.5217,7.8266e-06,1.7395e-05
"630.2728 / 16.91",5.0482,1.2168,7.8266e-06,1.7395e-05
"302.1502 / 8.09  M-H-",5.0481,1.4607,7.8266e-06,1.7395e-05
"788.3734 / 16.73",5.0468,1.3491,7.8266e-06,1.7395e-05
"523.7169 / 17.64  M-2H2-",5.0461,1.5922,7.8266e-06,1.7395e-05
"546.7846 / 17.95  M2H2",5.0451,1.6361,7.8266e-06,1.7395e-05
"424.7166 / 18.31",5.0449,1.2611,7.8266e-06,1.7395e-05
"521.2450 / 15.67  M3H3",5.0448,1.4448,7.8266e-06,1.7395e-05
"799.3724 / 15.42",5.0446,1.3735,7.8266e-06,1.7395e-05
"712.3395 / 8.10  MNa-2H-",5.0442,1.4214,7.8266e-06,1.7395e-05
"300.1925 / 7.26",5.0437,1.6673,7.8266e-06,1.7395e-05
"522.2558 / 15.66",5.0434,1.4432,7.8266e-06,1.7395e-05
"600.3136 / 10.07",5.0428,1.4015,7.8266e-06,1.7395e-05
"473.7540 / 13.50  M2H2",5.0427,1.4514,7.8266e-06,1.7395e-05
"443.2499 / 12.50  MFA-H-",5.0414,1.679,7.8266e-06,1.7395e-05
"447.2085 / 4.59  M-H-",5.0402,1.5698,7.8266e-06,1.7395e-05
"457.7336 / 10.67  M-2H2-",5.0399,1.4192,7.8266e-06,1.7395e-05
"463.2120 / 16.63  MH",5.0397,1.4558,7.8266e-06,1.7395e-05
"536.2080 / 19.10  M-2H2-",5.0391,1.3685,7.8266e-06,1.7395e-05
"407.2107 / 9.42  M3H3",5.0384,1.4595,7.8266e-06,1.7395e-05
"486.7472 / 21.49",5.0377,1.5734,7.8266e-06,1.7395e-05
"413.1551 / 3.34",5.0373,1.2161,7.8266e-06,1.7395e-05
"601.3180 / 13.93  M-H-",5.0351,1.3827,7.8266e-06,1.7395e-05
"373.2825 / 3.69",5.0324,1.6244,7.8266e-06,1.7395e-05
"641.8145 / 14.63  M-2H2-",5.0318,1.2382,7.8266e-06,1.7395e-05
"437.5641 / 11.56  M3H3",5.0311,1.4526,7.8266e-06,1.7395e-05
"344.1816 / 8.93  M-H-",5.0309,1.6497,7.8266e-06,1.7395e-05
"429.7051 / 14.59  M2H2",5.0303,1.4558,7.8266e-06,1.7395e-05
"449.7179 / 12.50",5.0303,1.281,7.8266e-06,1.7395e-05
"515.9557 / 16.23  M3H3",5.0302,1.4077,7.8266e-06,1.7395e-05
"536.2696 / 15.52  MNa-2H-",5.0292,1.3635,7.8266e-06,1.7395e-05
"747.4083 / 11.89",5.0288,1.4421,7.8266e-06,1.7395e-05
"321.1561 / 3.76",5.0255,1.5856,7.8266e-06,1.7395e-05
"823.3442 / 15.49  MNa-2H-",5.024,1.5818,7.8266e-06,1.7395e-05
"343.1986 / 8.01",5.0238,1.5957,7.8266e-06,1.7395e-05
"536.3039 / 19.17  MNa-2H-",5.0225,1.4526,7.8266e-06,1.7395e-05
"391.7027 / 6.99  MH",5.0225,1.4444,7.8266e-06,1.7395e-05
"520.2977 / 9.86  MCH3OHH",5.0219,1.4095,7.8266e-06,1.7395e-05
"253.1524 / 3.08",5.0214,1.5313,7.8266e-06,1.7395e-05
"401.2034 / 4.46",5.0202,1.6639,7.8266e-06,1.7395e-05
"660.3720 / 19.47",5.0196,1.5171,7.8266e-06,1.7395e-05
"428.7371 / 11.15",5.0187,1.5231,7.8266e-06,1.7395e-05
"293.1900 / 9.95  M2H2",5.0165,1.566,7.8266e-06,1.7395e-05
"399.2598 / 13.87",5.0164,1.6307,7.8266e-06,1.7395e-05
"573.8207 / 12.29  M2H2",5.0157,1.4857,7.8266e-06,1.7395e-05
"465.2028 / 9.41",5.0151,1.4365,7.8266e-06,1.7395e-05
"379.2149 / 11.25  M3H3",5.0145,1.6479,7.8266e-06,1.7395e-05
"494.2704 / 3.92",5.0098,1.5823,7.8266e-06,1.7395e-05
"354.1665 / 3.98  MNa",5.0097,1.6483,7.8266e-06,1.7395e-05
"555.2818 / 13.61",5.0088,1.6343,7.8266e-06,1.7395e-05
"531.2421 / 12.57  MFA-H-",5.0085,1.5002,7.8266e-06,1.7395e-05
"505.3393 / 20.01",5.0085,1.3365,7.8266e-06,1.7395e-05
"580.7930 / 16.88  M2H2",5.0074,1.5044,7.8266e-06,1.7395e-05
"409.2088 / 3.47  M2H2",5.0067,1.461,7.8266e-06,1.7395e-05
"570.7836 / 12.15  M2H2",5.0058,1.3324,7.8266e-06,1.7395e-05
"132.0737 / 8.30",5.005,0.69473,7.8266e-06,1.7395e-05
"554.2923 / 11.49",5.0013,1.513,7.8266e-06,1.7395e-05
"300.1922 / 8.15",5.001,1.5522,7.8266e-06,1.7395e-05
"407.2301 / 10.78",4.9999,1.5406,7.8266e-06,1.7395e-05
"402.1985 / 1.86  MH",4.9997,1.6277,7.8266e-06,1.7395e-05
"539.6301 / 19.42  M3H3",4.999,1.3685,7.8266e-06,1.7395e-05
"332.1249 / 6.11",4.9986,1.4512,7.8266e-06,1.7395e-05
"601.7981 / 15.86",4.9982,1.4985,7.8266e-06,1.7395e-05
"617.7358 / 20.11",4.9979,1.3798,7.8266e-06,1.7395e-05
"735.3169 / 18.94  M-2H2-",4.9968,1.4755,7.8266e-06,1.7395e-05
"420.1800 / 19.05  MH",4.9958,1.3825,7.8266e-06,1.7395e-05
"348.1557 / 8.33  MFA-H-",4.9933,1.4772,7.8266e-06,1.7395e-05
"595.3062 / 19.40  MNa",4.991,1.5309,7.8266e-06,1.7395e-05
"493.2103 / 10.49  2MH",4.989,1.5918,7.8266e-06,1.7395e-05
"464.2187 / 7.33",4.989,1.4677,7.8266e-06,1.7395e-05
"425.2388 / 20.11  M-H-",4.9888,1.516,7.8266e-06,1.7395e-05
"419.1552 / 10.46",4.9848,1.4387,7.8266e-06,1.7395e-05
"599.3534 / 9.69  M-H-",4.9822,1.4984,7.8266e-06,1.7395e-05
"714.3449 / 19.99  M3H3",4.9814,1.3862,7.8266e-06,1.7395e-05
"425.7245 / 12.95",4.9814,1.4787,7.8266e-06,1.7395e-05
"642.3452 / 1.96",4.9808,1.3936,7.8266e-06,1.7395e-05
"357.2126 / 9.66",4.98,1.3774,7.8266e-06,1.7395e-05
"571.6128 / 14.92  M3H3",4.9778,1.6163,7.8266e-06,1.7395e-05
"675.2903 / 19.42  MNa-2H-",4.9759,1.329,7.8266e-06,1.7395e-05
"183.1140 / 6.85  M-H-",4.9726,1.5482,7.8266e-06,1.7395e-05
"258.1454 / 1.88  M-H-",4.9726,1.5129,7.8266e-06,1.7395e-05
"719.6715 / 19.66  M3H3",4.9724,1.2383,7.8266e-06,1.7395e-05
"605.1546 / 22.51",4.9695,0.43743,7.8266e-06,1.7395e-05
"470.2707 / 1.94",4.9638,1.3497,7.8266e-06,1.7395e-05
"630.3131 / 15.43  MH",4.9637,1.4679,7.8266e-06,1.7395e-05
"674.3706 / 12.82",4.9626,1.5558,7.8266e-06,1.7395e-05
"455.1763 / 8.61",4.962,1.3484,7.8266e-06,1.7395e-05
"407.0977 / 8.29",4.961,1.4777,7.8266e-06,1.7395e-05
"443.2497 / 14.03  M-H-",4.9592,1.6793,7.8266e-06,1.7395e-05
"644.7694 / 17.70",4.9576,1.4099,7.8266e-06,1.7395e-05
"152.0569 / 12.00",4.9558,1.3773,7.8266e-06,1.7395e-05
"398.2026 / 13.21",4.9558,1.5466,7.8266e-06,1.7395e-05
"575.3034 / 2.12",4.953,1.4343,7.8266e-06,1.7395e-05
"372.1669 / 15.31",4.9506,1.2916,7.8266e-06,1.7395e-05
"399.2082 / 8.85  M2H2",4.9495,1.5772,7.8266e-06,1.7395e-05
"339.1670 / 2.25",4.9494,1.5848,7.8266e-06,1.7395e-05
"417.2047 / 1.99",4.9484,1.6844,7.8266e-06,1.7395e-05
"839.4036 / 12.80",4.9478,1.3371,7.8266e-06,1.7395e-05
"485.2716 / 11.23",4.9471,1.5096,7.8266e-06,1.7395e-05
"707.3349 / 18.05  MNa-2H-",4.9466,1.5396,7.8266e-06,1.7395e-05
"203.1402 / 2.35  MNH4",4.9459,1.8033,7.8266e-06,1.7395e-05
"374.2294 / 7.59",4.9451,1.5804,7.8266e-06,1.7395e-05
"790.8568 / 15.55  M-2H2-",4.9437,1.5638,7.8266e-06,1.7395e-05
"493.2299 / 10.76",4.9401,1.5622,7.8266e-06,1.7395e-05
"748.3196 / 10.68  M-H-",4.9389,1.3087,7.8266e-06,1.7395e-05
"485.2373 / 12.08  M-H-",4.9383,1.4708,7.8266e-06,1.7395e-05
"263.1432 / 4.51",4.9373,1.6285,7.8266e-06,1.7395e-05
"564.2857 / 17.13",4.9361,1.5715,7.8266e-06,1.7395e-05
"513.3040 / 14.98",4.9356,1.5796,7.8266e-06,1.7395e-05
"547.2842 / 1.93",4.9339,1.7345,7.8266e-06,1.7395e-05
"690.3837 / 18.93",4.9322,1.2395,7.8266e-06,1.7395e-05
"493.2671 / 12.31",4.9319,1.436,7.8266e-06,1.7395e-05
"369.1762 / 10.14",4.9308,1.4528,7.8266e-06,1.7395e-05
"477.2701 / 14.91",4.9251,1.4382,8.6092e-06,1.8984e-05
"705.8567 / 19.59  M-2H2-",4.922,1.4342,8.6092e-06,1.8984e-05
"273.1570 / 1.81",4.9212,1.4616,8.6092e-06,1.8984e-05
"527.2790 / 15.36",4.9207,1.4773,8.6092e-06,1.8984e-05
"391.1881 / 10.50",4.9201,1.6986,8.6092e-06,1.8984e-05
"446.2628 / 1.83",4.9201,1.5905,8.6092e-06,1.8984e-05
"426.2056 / 15.17",4.9196,1.4429,8.6092e-06,1.8984e-05
"705.3661 / 9.94",4.9186,1.3669,8.6092e-06,1.8984e-05
"549.1954 / 14.09  MNa-2H-",4.9141,1.4566,8.6092e-06,1.8984e-05
"584.2492 / 8.32",4.9138,1.3764,8.6092e-06,1.8984e-05
"428.9070 / 13.11  M3H3",4.9114,1.6016,8.6092e-06,1.8984e-05
"634.3441 / 18.82",4.9095,1.4159,8.6092e-06,1.8984e-05
