"","MeanDecreaseAccuracy"
"692.3969 / 18.91",0.00036364
"665.3892 / 20.20",0.00036364
"664.3280 / 16.23",0.00036364
"652.0310 / 18.64  M3H3",0.00036364
"639.2694 / 18.08  M3H3",0.00036364
"582.7758 / 20.24",0.00036364
"580.6262 / 19.02  M3H3",0.00036364
"527.2250 / 12.43",0.00036364
"521.2450 / 15.67  M3H3",0.00036364
"515.0424 / 2.08",0.00036364
"471.2557 / 6.34",0.00036364
"443.1884 / 12.81",0.00036364
"410.9300 / 1.29  2MK",0.00036364
"376.1727 / 3.76",0.00036364
"343.2267 / 22.96  MH",0.00036364
"299.0994 / 14.04",0.00036364
"295.1285 / 3.97",0.00036364
"292.1309 / 4.36",0.00036364
"288.2027 / 5.85",0.00036364
"181.0089 / 1.43",0.00036364
"174.1121 / 1.74  M",0.00036364
"138.0666 / 17.46  M",0.00036364
"814.3984 / 10.80  M-H-",0.00033333
"774.4356 / 3.74  M-H-",0.00033333
"714.2741 / 13.26  M-2H2-",0.00033333
"630.7752 / 17.54  M-2H2-",0.00033333
"585.0484 / 1.07",0.00033333
"536.2080 / 19.10  M-2H2-",0.00033333
"514.0833 / 2.85",0.00033333
"472.2769 / 3.23",0.00033333
"336.1685 / 1.57",0.00033333
"321.0050 / 15.21",0.00033333
"309.1062 / 6.82",0.00033333
"293.1129 / 3.92",0.00033333
"260.1328 / 5.04",0.00033333
"251.1030 / 2.29",0.00033333
"151.0402 / 15.05",0.00033333
"93.0693 / 0.40",0.00033333
"772.4102 / 19.99  MH",0.00033333
"732.2752 / 20.53",0.00033333
"675.3468 / 15.15  M3H3",0.00033333
"591.2715 / 13.64",0.00033333
"544.8031 / 17.84  MHNa2",0.00033333
"542.7964 / 18.84",0.00033333
"522.2608 / 20.78",0.00033333
"517.0101 / 1.21",0.00033333
"488.7299 / 11.10  M2H2",0.00033333
"457.1917 / 2.71",0.00033333
"406.1946 / 17.93",0.00033333
"404.2588 / 14.94",0.00033333
"402.2360 / 6.78",0.00033333
"390.9837 / 2.88",0.00033333
"376.1726 / 2.73  MCH3OHH",0.00033333
"314.1716 / 11.98  MH",0.00033333
"205.1265 / 3.57",0.00033333
"201.1241 / 7.04",0.00033333
"170.0383 / 2.89",0.00033333
"144.1021 / 1.61  MH",0.00033333
"138.0480 / 3.92",0.00033333
"738.9445 / 1.29",0.00032468
"302.3069 / 21.17  MH",0.00032051
"965.4461 / 12.47  2MFA-H-",0.00030769
"841.4803 / 12.64  M-H-",0.00030769
"772.9732 / 1.13  2MNa-2H-",0.00030769
"656.2601 / 18.95  MNa-2H-",0.00030769
"485.2721 / 12.86  M-H-",0.00030769
"448.9943 / 1.80",0.00030769
"446.1892 / 14.15",0.00030769
"362.0304 / 5.77",0.00030769
"324.0201 / 21.91",0.00030769
"247.1715 / 21.38  M-H2O-H-",0.00030769
"116.9288 / 3.86",0.00030769
"91.0543 / 2.10  MH",0.00030769
"746.3326 / 19.71  M3H3",0.00030769
"739.0213 / 1.18",0.00030769
"687.3696 / 18.04  MH",0.00030769
"672.9796 / 24.50",0.00030769
"662.3099 / 19.05",0.00030769
"594.2398 / 9.47",0.00030769
"550.2634 / 17.13",0.00030769
"519.1887 / 23.51  M",0.00030769
"500.2720 / 8.38",0.00030769
"488.2731 / 9.78  MH",0.00030769
"466.3166 / 23.64",0.00030769
"432.3116 / 22.89",0.00030769
"356.7053 / 10.66",0.00030769
"345.2137 / 3.57",0.00030769
"334.1397 / 6.13  MH",0.00030769
"323.1721 / 3.76  MNH4",0.00030769
"189.1237 / 11.44",0.00030769
"164.9207 / 3.48",0.00030769
"156.0655 / 3.60  MH",0.00030769
"246.2365 / 1.04",3e-04
"791.0293 / 24.20",0.0002967
"673.3769 / 19.10  MAcO-H-",0.00028571
"610.3040 / 14.03  M-H-",0.00028571
"469.0281 / 8.94",0.00028571
"457.7336 / 10.67  M-2H2-",0.00028571
"381.0095 / 29.17",0.00028571
"232.9844 / 1.65",0.00028571
"754.4119 / 19.83  MNa",0.00028571
"506.5114 / 18.44  M4H4",0.00028571
"488.3116 / 23.62  MH",0.00028571
"425.8768 / 3.08  M3H3",0.00028571
"414.9546 / 1.10",0.00028571
"358.1127 / 9.67",0.00028571
"272.1109 / 7.31  MNa",0.00028571
"266.1039 / 3.19  M-H-",0.00026667
"505.3393 / 20.01",0.00026667
"416.2495 / 4.63",0.00026667
"466.6957 / 15.70  M-2H2-",0.00025
"427.1974 / 20.11",0.00025
"263.1010 / 11.72  MNa-2H-",0.00025
"241.0824 / 6.64",0.00025
"210.0451 / 2.41",0.00025
"201.0375 / 2.18  2MNa-2H-",0.00025
"86.0960 / 5.11",0.00025
"825.3617 / 15.50  MNa",0.00025
"536.2383 / 10.22",0.00025
"494.2857 / 22.87  MNa",0.00025
"494.2758 / 18.47  M2H2",0.00025
"475.7705 / 10.98  M2H2",0.00025
"388.1451 / 2.09",0.00025
"284.1861 / 12.11",0.00025
"941.4254 / 18.46",0.00022222
"665.2926 / 15.33",0.00022222
"597.2925 / 18.56  M-2H2-",0.00022222
"593.2196 / 8.42",0.00022222
"544.2970 / 13.77",0.00022222
"541.2642 / 20.96  MAcO-H-",0.00022222
"435.9619 / 6.81",0.00022222
"433.2045 / 17.93  MNa-2H-",0.00022222
"411.2385 / 21.94  M-H-",0.00022222
"405.1758 / 19.81  M-H-",0.00022222
"371.0975 / 12.38  M-H-",0.00022222
"358.1957 / 7.71",0.00022222
"270.2087 / 22.44",0.00022222
"126.9036 / 3.24",0.00022222
"579.2913 / 22.73",0.00022222
"483.2059 / 20.44",0.00022222
"423.5944 / 15.21  M3H3",0.00022222
"403.2302 / 8.44",0.00022222
"389.2021 / 2.51  MCH3OHH",0.00022222
"373.2456 / 13.11  MH",0.00022222
"372.1669 / 15.31",0.00022222
"364.8746 / 3.94",0.00022222
"333.1982 / 10.88",0.00022222
"247.0045 / 24.99",0.00022222
"174.9700 / 11.03",0.00022222
"149.0236 / 3.08",0.00022222
"101.0222 / 2.67",0.00022222
"93.0346 / 10.08",2e-04
"919.4394 / 19.45  2M-H-",2e-04
"910.4889 / 19.34",2e-04
"901.3610 / 18.75",2e-04
"759.1488 / 1.56",2e-04
"752.3483 / 13.53",2e-04
