"","MeanDecreaseAccuracy"
"413.8867 / 14.40  M3H3",0
"413.8823 / 13.33",0
"413.8720 / 3.14",0
"413.7637 / 9.37  M2H2",0
"413.5694 / 10.02  M3H3",0
"413.3038 / 24.48  MH",0
"413.2671 / 24.12",0
"413.2471 / 10.66",0
"413.2398 / 7.26",0
"413.2271 / 20.47",0
"413.2135 / 12.11",0
"413.2078 / 14.54  M2H2",0
"413.2034 / 2.58  MH",0
"413.1921 / 11.83",0
"413.1840 / 15.46",0
"413.1551 / 3.34",0
"413.1422 / 13.52  MH",0
"412.7115 / 19.97",0
"412.6955 / 7.15",0
"412.6937 / 5.72",0
"412.2857 / 22.49",0
"412.2546 / 1.80",0
"412.1907 / 10.58",0
"412.1902 / 11.80",0
"412.1719 / 3.67",0
"412.1695 / 9.71  MHK2",0
"411.7209 / 14.70  M2Na2",0
"411.5566 / 9.06",0
"411.2466 / 24.31",0
"411.2359 / 24.34",0
"411.2235 / 16.53  MNH4",0
"411.2227 / 6.29  MNa",0
"411.2152 / 17.29",0
"411.0954 / 22.91",0
"411.0104 / 1.21  MH",0
"410.9092 / 10.02  M3H3",0
"410.7331 / 13.00",0
"410.7220 / 18.65",0
"410.7028 / 3.86  M2H2",0
"410.3446 / 23.15",0
"410.2267 / 13.43",0
"410.2221 / 18.20",0
"410.2091 / 15.82",0
"410.2084 / 8.84",0
"410.1969 / 12.71  M2H2",0
"410.1929 / 11.48",0
"410.1563 / 6.00",0
"410.1544 / 7.02",0
"409.7268 / 13.18  M2H2",0
"409.6923 / 10.13",0
"409.3271 / 24.42",0
"409.3106 / 24.25  MNH4",0
"409.2378 / 11.75",0
"409.2309 / 23.96",0
"409.2209 / 8.67",0
"409.2205 / 10.90",0
"409.2168 / 7.52  M2H2",0
"409.2098 / 8.76",0
"409.2094 / 10.45  MNH4",0
"409.2090 / 9.55  MH",0
"409.2089 / 2.28",0
"409.2088 / 3.47  M2H2",0
"409.2084 / 6.65  MH",0
"409.1814 / 16.27",0
"409.1749 / 22.10  MNa",0
"409.1718 / 5.44",0
"409.1630 / 21.33",0
"409.1609 / 3.81",0
"409.1586 / 1.86",0
"409.1561 / 23.06",0
"409.1456 / 23.06",0
"409.1161 / 14.20",0
"409.1110 / 2.08  MNa",0
"408.9600 / 1.34",0
"408.7460 / 9.41  M2Na2",0
"408.7358 / 19.76  M2H2",0
"408.7353 / 9.13",0
"408.7092 / 10.81  M2H2",0
"408.3087 / 24.14  MNH4",0
"408.2984 / 24.15  MNH4",0
"408.2372 / 7.69",0
"408.2079 / 14.08  M2H2",0
"408.1817 / 8.28",0
"408.0849 / 20.50",0
"407.7196 / 13.52",0
"407.2415 / 7.99",0
"407.2381 / 9.05",0
"407.2301 / 10.78",0
"407.2269 / 13.56",0
"407.2156 / 5.59",0
"407.2135 / 2.83  MCH3OHH",0
"407.2107 / 9.42  M3H3",0
"407.1889 / 16.21",0
"407.1760 / 14.40  M2H2",0
"407.1513 / 11.28",0
"407.0977 / 8.29",0
"407.0302 / 2.05",0
"406.9893 / 1.80",0
"406.7181 / 3.24  M2H2",0
"406.6628 / 13.50",0
"406.6561 / 20.14",0
"406.3185 / 24.44",0
"406.2368 / 14.44",0
"406.1821 / 9.26",0
"406.1758 / 2.25",0
"406.1654 / 16.27  MH",0
"405.8910 / 12.83  M3H3",0
"405.8823 / 9.45  M3H3",0
"405.5833 / 9.76  M3H3",0
"405.5278 / 17.10",0
"405.2290 / 5.29",0
"405.2289 / 24.29  MNa",0
"405.2144 / 10.22  M",0
"405.2130 / 8.45",0
"405.1998 / 7.96",0
"405.1981 / 3.82",0
"405.1978 / 5.29",0
"405.1631 / 22.25  M",0
"405.1157 / 22.50",0
"404.9920 / 27.97",0
"404.7305 / 19.97  MHNa2",0
"404.7006 / 8.28",0
"404.2475 / 4.99",0
"404.2353 / 13.61  M2H2",0
"404.2208 / 8.05",0
"404.2140 / 2.25",0
"404.1931 / 2.15",0
"403.8919 / 11.29  M3H3",0
"403.7072 / 9.55  MH",0
"403.3018 / 1.00",0
"403.2558 / 10.33",0
"403.2512 / 6.74",0
"403.2441 / 11.94",0
"403.2317 / 12.98  M3H3",0
"403.2317 / 11.47",0
"403.2307 / 10.70",0
"403.2300 / 2.63  MNH4",0
"403.2290 / 2.12",0
"403.2215 / 12.25",0
"403.2193 / 3.67",0
"403.2182 / 5.01",0
"403.2136 / 11.49  M2H2",0
"403.2018 / 21.56",0
"403.1741 / 10.59",0
"403.1575 / 17.69",0
"402.7009 / 10.84  M2H2",0
"402.6980 / 9.87  M",0
"402.3590 / 21.78",0
"402.2699 / 8.03",0
"402.2342 / 5.47",0
"402.2137 / 3.79  M2H2",0
"402.2136 / 7.31",0
"402.2128 / 11.15",0
"402.1985 / 1.86  MH",0
"402.1951 / 15.50",0
"402.1901 / 7.47  M2H2",0
"402.1834 / 18.11",0
"402.0768 / 9.67  MNa",0
"401.7394 / 17.16",0
"401.7271 / 11.45",0
"401.6627 / 5.25",0
"401.3365 / 21.65",0
"401.2882 / 4.93",0
"401.2868 / 15.20",0
"401.2864 / 8.62",0
"401.2848 / 22.92",0
"401.2760 / 13.85",0
"401.2648 / 14.48  MHNH42",0
"401.2391 / 8.50  MH",0
"401.2391 / 10.38",0
"401.2370 / 4.27",0
"401.2042 / 15.08",0
"401.2041 / 10.60",0
"401.2034 / 4.46",0
"401.2029 / 12.61",0
"401.1578 / 21.27",0
"400.7356 / 13.16",0
"400.7156 / 9.35",0
"400.7136 / 10.30  M2H2",0
"400.6744 / 6.84",0
"400.5612 / 9.49",0
"400.4688 / 9.28  M4H4",0
"400.2526 / 22.93",0
"400.2423 / 16.06  M3H3",0
"400.2202 / 13.17",0
"400.2191 / 11.88",0
"400.2060 / 11.83  M2Na2",0
"400.1873 / 8.67",0
"399.9928 / 22.27",0
"399.8714 / 9.36  M3H3",0
"399.7055 / 15.17",0
"399.7032 / 10.81",0
"399.5601 / 8.06  M3H3",0
"399.3104 / 23.63",0
"399.2980 / 23.64",0
"399.2595 / 16.45",0
"399.2586 / 18.69",0
"399.2583 / 19.82",0
"399.2352 / 6.58",0
"399.2351 / 8.45",0
"399.2349 / 9.68",0
"399.2348 / 7.32",0
"399.2323 / 18.20  M2H2",0
"399.2257 / 17.17",0
"399.2082 / 8.85  M2H2",0
"399.1939 / 5.46",0
"399.1879 / 2.31",0
"399.1783 / 20.92",0
"399.1655 / 21.52",0
"398.9770 / 1.10",0
"398.6634 / 14.43",0
"398.5762 / 9.00",0
"398.2418 / 21.88",0
"398.2217 / 11.12",0
"398.2040 / 1.87",0
"397.9951 / 22.27",0
"397.8831 / 11.34  M3H3",0
"397.6993 / 20.02",0
"397.3052 / 10.12",0
"397.2549 / 23.09",0
"397.2288 / 13.53  M2H2",0
"397.1967 / 11.44",0
"397.1730 / 3.24",0
"397.1608 / 5.43",0
"397.1252 / 22.09  MNa",0
"397.1132 / 22.09  MNa",0
"397.1103 / 6.99",0
"396.8757 / 12.63  M3H3",0
"396.8684 / 3.50",0
"396.7291 / 7.28",0
"396.5299 / 12.81",0
"396.4712 / 10.09",0
"396.2314 / 7.18  M2H2",0
"396.2250 / 4.17",0
"396.2112 / 11.46  MNa",0
"396.2002 / 18.11",0
"396.1783 / 5.87",0
"396.1403 / 5.53",0
"395.7107 / 7.26",0
"395.6791 / 5.29  M2H2",0
"395.6734 / 13.50  M2H2",0
"395.2781 / 23.21",0
"395.2778 / 23.91  MH",0
"395.2670 / 23.96",0
"395.2276 / 13.11  MNa",0
"395.2157 / 9.41",0
"395.2156 / 19.56  MNa",0
"395.2045 / 10.45",0
"395.1943 / 5.06",0
"395.0591 / 23.15",0
"394.8799 / 14.27  M3H3",0
"394.5577 / 14.38",0
"394.5574 / 13.83",0
"394.2313 / 13.30",0
"394.2154 / 7.29  M2H2",0
"394.1987 / 16.45  MH",0
"394.1981 / 15.73",0
"394.1102 / 9.89",0
"394.1102 / 13.22  MNa",0
"394.0055 / 21.56  MNa",0
"393.7399 / 19.97  M2H2",0
"393.7191 / 3.76",0
"393.3077 / 22.97",0
"393.2977 / 24.21",0
"393.2492 / 5.44",0
"393.2296 / 4.76  M2H2",0
"393.2274 / 21.24",0
"393.2242 / 7.10",0
"393.2242 / 5.29",0
"393.2241 / 8.40",0
"393.2140 / 12.28",0
"393.2127 / 13.10",0
"393.2098 / 16.27",0
"393.1418 / 3.98",0
"393.0794 / 13.72",0
"392.7501 / 14.82  M2H2",0
"392.7148 / 8.63  MHNH42",0
"392.6966 / 9.41",0
"392.2536 / 18.05",0
"392.2332 / 9.33",0
"392.2184 / 13.12",0
"392.2110 / 8.27",0
"392.2031 / 7.38",0
"392.1849 / 6.03",0
"392.1844 / 9.55  M2",0
"392.0074 / 21.56  MNa",0
"391.7199 / 4.89",0
"391.7048 / 6.30",0
"391.7027 / 6.99  MH",0
"391.5614 / 9.33",0
"391.5371 / 15.27",0
"391.2849 / 24.12",0
"391.2746 / 24.12  M",0
"391.2358 / 11.38",0
"391.2316 / 10.37  2MNa",0
"391.2314 / 9.29  M3H3",0
"391.2216 / 4.98  M2H2",0
"391.2200 / 19.93",0
"391.2114 / 21.05",0
"391.2022 / 10.32",0
"391.1977 / 11.06",0
"391.1881 / 10.50",0
"391.1839 / 3.56",0
"391.1609 / 5.82",0
"390.9590 / 8.08",0
"390.7100 / 8.11",0
"390.6973 / 4.76",0
"390.6943 / 6.92  M",0
"390.2438 / 21.38",0
"390.2157 / 3.49",0
"390.2116 / 2.32",0
"390.2112 / 10.51",0
"390.2066 / 7.41  M2H2",0
"390.2034 / 8.85",0
"390.1884 / 4.58  MCH3OHH",0
"390.1664 / 15.02",0
"390.1643 / 5.42  MNa",0
"390.0692 / 20.91  MNa",0
"389.7308 / 3.72",0
"389.7012 / 9.03",0
"389.6920 / 6.89  M2H2",0
"389.2522 / 21.42",0
"389.2518 / 22.54",0
"389.2455 / 3.83",0
"389.2417 / 22.54",0
"389.2411 / 21.41",0
"389.2410 / 6.29  MH",0
"389.2405 / 1.57",0
"389.2404 / 10.45",0
"389.2396 / 6.92",0
"389.2389 / 18.88",0
"389.2388 / 5.57  MNH4",0
"389.2192 / 9.07",0
"389.2155 / 11.80  MHNa2",0
"389.2098 / 7.50  MHNa2",0
"389.2082 / 23.00  MH",0
"389.2049 / 19.97",0
"389.1953 / 21.28",0
"389.1791 / 20.05",0
"389.1689 / 20.06",0
"389.1497 / 9.02",0
"389.1496 / 5.17  MNH4",0
"389.1316 / 2.59  MNa",0
"389.0151 / 1.15",0
"388.7304 / 14.53  M2",0
"388.7287 / 3.76  M2H2",0
"388.3548 / 25.07",0
"388.2542 / 16.27  MNH4",0
"388.2172 / 2.02",0
"388.2011 / 7.12",0
"388.1788 / 11.28",0
"388.1543 / 16.27",0
"388.1354 / 5.49",0
"388.1005 / 2.61",0
"387.7209 / 10.67",0
"387.7109 / 7.49  M2H2",0
"387.6990 / 6.21",0
"387.2962 / 2.45",0
"387.2733 / 1.90",0
"387.2587 / 12.33",0
"387.2235 / 7.77  MH",0
"387.2206 / 11.62",0
"387.2096 / 8.15",0
"387.1940 / 22.10  MH",0
"387.1891 / 7.99",0
"387.1821 / 21.35",0
"387.1510 / 8.28",0
"387.1507 / 4.75",0
"387.1407 / 2.15  MNH4",0
"387.1297 / 2.17  MH",0
"386.8796 / 12.26",0
"386.7212 / 12.29  MHNH42",0
"386.7106 / 19.99",0
"386.2565 / 9.95",0
"386.2046 / 11.84",0
"385.8862 / 9.09",0
"385.7552 / 9.47  M2",0
"385.7002 / 10.68",0
"385.2931 / 23.54  MCH3OHH",0
"385.2827 / 23.54",0
"385.2543 / 9.92",0
"385.2325 / 10.49",0
"385.2200 / 8.25",0
"385.2189 / 4.81",0
"385.2185 / 5.46",0
"385.2182 / 9.26",0
"385.2082 / 14.23",0
"385.1989 / 9.84",0
"385.1904 / 21.56",0
"385.1584 / 22.62",0
"385.1469 / 20.25",0
"385.1438 / 14.47",0
"385.1286 / 5.88",0
"384.7162 / 7.12",0
"384.6814 / 5.29  M2H2",0
"384.2154 / 23.92",0
"384.1888 / 2.37",0
"384.1834 / 4.79  M2H2",0
"384.1830 / 4.15",0
"384.1809 / 6.21",0
"384.1572 / 5.40",0
"384.1399 / 3.18",0
"384.1159 / 9.80",0
"384.0811 / 20.85",0
"383.8995 / 13.80  M3H3",0
"383.8850 / 10.06",0
"383.6818 / 14.73",0
"383.3055 / 24.76",0
"383.3033 / 24.04  MCH3OHH",0
"383.2773 / 14.66",0
"383.2481 / 24.31  MH",0
"383.2370 / 24.34",0
"383.2210 / 22.71",0
"383.2153 / 23.91",0
"383.2051 / 23.92",0
"383.1895 / 3.47  MNa",0
"383.1685 / 21.71",0
"383.1652 / 4.93",0
"383.1582 / 21.71",0
"383.1160 / 1.46",0
"382.9952 / 1.09",0
"382.8844 / 12.29",0
"382.3002 / 24.06",0
"382.2450 / 4.91",0
"382.2223 / 2.12",0
"382.1985 / 9.50",0
"382.1983 / 8.56  MCH3OHH",0
"382.1762 / 18.75",0
"382.1620 / 3.11  MCH3OHH",0
"382.1356 / 13.69",0
"382.0215 / 5.71",0
"381.2032 / 22.68",0
"381.1776 / 3.86",0
"381.1455 / 14.79  MNa",0
"381.1255 / 22.43",0
"381.1152 / 22.44",0
"381.0789 / 9.39",0
"381.0787 / 6.36",0
"380.2784 / 9.41",0
"380.2347 / 14.55  M2NH42",0
"380.2201 / 12.88",0
"380.2175 / 13.98",0
"380.2172 / 10.44",0
"380.1991 / 10.50  M2H2",0
"380.1955 / 11.40",0
"380.1949 / 2.51",0
"380.1917 / 7.58",0
"380.1914 / 6.34",0
"380.1836 / 5.43",0
"380.1824 / 16.43  MNa",0
"380.1816 / 11.59",0
"380.0955 / 9.67  MH",0
"379.7229 / 10.83",0
"379.7088 / 10.72",0
"379.5391 / 17.03",0
"379.2274 / 11.80",0
"379.2149 / 11.25  M3H3",0
"379.2120 / 9.45  M3H3",0
"379.2100 / 16.21",0
"379.2073 / 8.66",0
"379.1975 / 9.80",0
"379.1077 / 17.76",0
"378.7070 / 14.26  M2H2",0
"378.6987 / 18.33",0
"378.3354 / 23.88",0
"378.3253 / 23.92",0
"378.2896 / 24.04",0
"378.2676 / 7.31",0
"378.2391 / 15.46",0
"378.2259 / 11.73  M2H2",0
"378.2203 / 7.50  M2H2",0
"378.2082 / 11.00",0
"378.2062 / 12.14  M2H2",0
"378.1790 / 10.64",0
"378.1754 / 13.05",0
"378.1748 / 2.74",0
"378.1695 / 6.31",0
"378.1321 / 3.82",0
"378.0096 / 22.27  MNa",0
"377.2668 / 23.49",0
"377.2654 / 7.17",0
"377.2566 / 23.51",0
"377.1996 / 2.31",0
"377.1985 / 23.91",0
"377.1754 / 2.68",0
"377.1653 / 9.33  M2H2",0
"377.1650 / 22.27",0
"377.1414 / 14.41",0
"377.1248 / 22.73",0
"376.9806 / 1.83",0
"376.7384 / 10.66",0
"376.2796 / 4.67",0
"376.2236 / 16.46",0
"376.2116 / 15.33",0
"376.2112 / 14.66  M2H2",0
"376.2108 / 13.11",0
"376.2034 / 7.31  MHNa2",0
"376.1817 / 1.55",0
"376.1722 / 4.49",0
"376.0133 / 22.27  MNa",0
"375.7106 / 10.92",0
"375.6898 / 9.55",0
"375.6866 / 7.29  M2Na2",0
"375.6728 / 10.64  M2H2",0
"375.5323 / 11.05  M3H3",0
"375.2531 / 23.19",0
"375.2420 / 23.19",0
"375.2326 / 5.65",0
"375.2273 / 9.13",0
"375.2240 / 6.86",0
"375.2237 / 1.57",0
"375.2210 / 3.76",0
"375.2171 / 11.84  M2H2",0
"375.2159 / 21.40",0
"375.2034 / 10.35",0
"375.1888 / 3.21  MH",0
"375.1880 / 1.97",0
"375.1877 / 4.20  MNH4",0
"375.1545 / 20.37",0
"375.1320 / 22.09  MH",0
"375.1145 / 3.67",0
"374.8549 / 7.16",0
"374.7150 / 1.86",0
"374.6991 / 14.85",0
"374.3633 / 21.69",0
"374.3055 / 23.92",0
"374.2936 / 23.92",0
"374.2402 / 2.12  MNH4",0
"374.2366 / 19.59",0
"374.2294 / 7.59",0
"374.2289 / 13.56",0
"374.2281 / 11.06",0
"374.2095 / 9.70",0
"374.2054 / 7.80  M2H2",0
"374.2018 / 2.67  MNH4",0
"374.1895 / 7.19  M3H3",0
"373.7257 / 4.56",0
"373.3063 / 21.14",0
"373.2825 / 3.69",0
"373.2547 / 1.87",0
"373.2341 / 19.56  MH",0
"373.2274 / 14.16",0
"373.2273 / 7.43",0
"373.2211 / 21.62",0
"373.2147 / 23.64",0
"373.2103 / 21.61",0
"373.2087 / 8.09  MCH3OHH",0
"373.2081 / 2.74",0
"373.1966 / 7.80  M2",0
"373.1706 / 10.37",0
"373.1267 / 4.93",0
"372.6858 / 12.82",0
"372.2781 / 23.15",0
"372.2606 / 1.03",0
"372.2243 / 11.65",0
"372.2198 / 10.26",0
"372.1776 / 13.68",0
"372.1663 / 7.60",0
"372.1294 / 13.21  MH",0
"372.1240 / 4.87  MH",0
"372.0638 / 5.94",0
"372.0235 / 21.56  MH",0
"372.0121 / 21.58",0
"371.4970 / 5.57",0
"371.2750 / 23.08",0
"371.2372 / 8.12",0
"371.2303 / 9.71",0
"371.2291 / 6.50",0
"371.2285 / 4.12",0
"371.2282 / 16.31  MH",0
"371.2043 / 5.55  M",0
"371.1645 / 5.47",0
"371.1639 / 26.00",0
"370.1599 / 2.62  MNa",0
"370.1493 / 21.74",0
"370.1139 / 2.12  MH",0
"370.0890 / 5.63",0
"370.0262 / 21.56  MH",0
"370.0156 / 21.58",0
"369.6892 / 1.80",0
"369.3523 / 26.22",0
"369.2602 / 9.94",0
"369.2255 / 22.58",0
"369.2137 / 7.50",0
"369.2129 / 5.81",0
"369.2024 / 12.47",0
"368.2653 / 3.64",0
"368.2309 / 11.47",0
"368.2301 / 3.21",0
"368.2291 / 2.54",0
"368.2042 / 8.56  MNa",0
"368.1835 / 5.39  MH",0
"368.1808 / 6.08",0
"368.1788 / 9.31  MNa",0
"368.1048 / 20.78",0
"368.0870 / 20.91  MH",0
"367.7266 / 14.59  M2H2",0
"367.7088 / 18.33",0
"367.7075 / 7.26  M4H4",0
"367.6824 / 9.49",0
"367.2268 / 23.00  MH",0
"367.1961 / 23.64",0
"367.1703 / 21.21",0
"367.1619 / 3.27  MNH4",0
"367.1508 / 2.62  MH",0
"367.1504 / 5.08",0
"367.1085 / 22.04",0
"366.3745 / 25.10",0
"366.2979 / 23.51",0
"366.2032 / 9.02",0
"366.2029 / 14.17",0
"366.2020 / 9.84",0
"366.2015 / 7.07",0
"366.2013 / 13.13",0
"366.1909 / 9.36",0
"366.1776 / 8.49",0
"366.1671 / 5.84  MCH3OHH",0
"366.1656 / 4.92  MNH4",0
"366.1656 / 18.33",0
"366.1093 / 1.49",0
"366.0547 / 5.69",0
"365.7489 / 18.60",0
"365.7104 / 5.55",0
"365.6913 / 7.07",0
"365.6734 / 3.80",0
"365.5436 / 3.81",0
"365.2747 / 22.31",0
"365.2138 / 7.34  M2H2",0
"365.2084 / 22.96  MNa",0
"365.1557 / 14.57  MK",0
"365.1371 / 22.69",0
"365.1282 / 17.53",0
"365.1269 / 22.70",0
"365.1267 / 15.51",0
"365.1057 / 1.46",0
"364.7366 / 15.75",0
"364.7155 / 7.94",0
"364.2112 / 19.76",0
"364.1720 / 6.03  M2H2",0
"364.1620 / 3.65",0
"364.0654 / 2.35",0
"363.6337 / 20.53",0
"363.2168 / 21.30",0
"363.2074 / 14.77  M2H2",0
"363.2008 / 8.74",0
"363.1945 / 2.67",0
"363.1657 / 5.72  M2",0
"363.1616 / 14.47  MNa",0
"362.8852 / 12.00  M3H3",0
"362.3308 / 24.58",0
"362.3027 / 24.25",0
"362.2424 / 17.80",0
"362.2111 / 3.50",0
"362.1925 / 4.23",0
"362.1681 / 17.34  MNa",0
"362.1561 / 3.55",0
"362.1500 / 13.85",0
"362.1166 / 20.94",0
"361.7093 / 13.87  M2H2",0
"361.3288 / 24.61  MNa",0
"361.2087 / 3.47  MH",0
"361.2081 / 2.76",0
"361.2079 / 6.01",0
"361.2076 / 12.32",0
"361.2053 / 2.18",0
"361.1727 / 3.05  MNH4",0
"361.1716 / 1.61",0
"361.1593 / 3.37",0
"361.1403 / 20.84",0
"361.1401 / 19.21",0
"360.9588 / 26.05",0
"360.9582 / 24.85",0
"360.9581 / 15.04",0
"360.9581 / 12.92",0
"360.9580 / 21.48",0
"360.9580 / 19.33",0
"360.9580 / 16.70",0
"360.9578 / 9.25",0
"360.9578 / 14.29",0
"360.9578 / 12.15",0
"360.9578 / 10.85",0
"360.9576 / 17.35",0
"360.9568 / 27.21",0
"360.9567 / 1.25",0
"360.9566 / 27.90",0
"360.9483 / 26.13  MNa",0
"360.3249 / 24.58",0
"360.3241 / 27.27",0
"360.3241 / 25.66",0
"360.3236 / 27.82  MNa",0
"360.3219 / 26.67",0
"360.2421 / 22.47",0
"360.2388 / 12.73",0
"360.2148 / 13.04",0
"360.2144 / 4.45",0
"360.2140 / 13.63",0
"360.2135 / 9.76",0
"360.2130 / 7.75  MCH3OHH",0
"360.2038 / 6.71",0
"360.1948 / 8.54",0
"360.1834 / 10.10  M3H3",0
"360.1393 / 12.13",0
"359.7035 / 9.16",0
"359.6583 / 16.72",0
"359.3167 / 24.04  M",0
"359.2902 / 21.30",0
"359.2653 / 2.05",0
"359.2418 / 22.50",0
"359.2406 / 4.94",0
"359.2384 / 2.45",0
"359.2317 / 22.47",0
"359.2280 / 10.71",0
"359.1744 / 22.25",0
"359.1648 / 14.76  MH",0
"359.1338 / 3.72  MNa",0
"359.0183 / 2.59",0
"358.8517 / 10.64",0
"358.7075 / 2.56  M2NH42",0
"358.7031 / 12.21",0
"358.7017 / 8.33",0
"358.3673 / 22.06",0
"358.3087 / 24.28",0
"358.2714 / 16.70",0
"358.2584 / 20.33",0
"358.2203 / 7.43  M3H3",0
"358.2022 / 16.43  MH",0
"358.1970 / 5.78",0
"358.1702 / 14.85",0
"358.1603 / 2.68",0
"358.1541 / 8.30",0
"357.6762 / 5.81",0
"357.2805 / 23.21",0
"357.2587 / 22.89",0
"357.2496 / 1.86",0
"357.2449 / 5.33",0
"357.2226 / 9.95",0
"357.2143 / 2.12  MH",0
"357.2140 / 3.47",0
"357.1909 / 10.10",0
"357.1874 / 11.51",0
"357.1585 / 22.62",0
"357.1482 / 24.41",0
"356.6872 / 11.81",0
"356.6859 / 3.96  M2H2",0
"356.3534 / 21.76",0
"356.2175 / 19.60  MH",0
"356.0279 / 22.27  MH",0
"355.2740 / 23.66  MCH3OHH",0
"355.2069 / 23.92",0
"355.2017 / 11.49",0
"355.1975 / 3.34",0
"355.1749 / 23.51",0
"355.1702 / 6.32  M2H2",0
"355.1620 / 7.80",0
"355.1574 / 1.89  MNa",0
"355.0835 / 1.22",0
"355.0692 / 23.16",0
"354.9413 / 12.10  2MK",0
"354.9408 / 10.72",0
"354.9407 / 8.91",0
"354.9406 / 28.11  2MK",0
"354.9404 / 7.68",0
"354.9404 / 11.43",0
"354.7017 / 9.26  M2H2",0
"354.7007 / 11.45",0
"354.2873 / 22.49",0
"354.2766 / 22.50",0
"354.2714 / 23.66",0
"354.2119 / 0.47",0
"354.2002 / 9.24  MNa",0
"354.1995 / 7.07  MNa",0
"354.1739 / 8.46  M2H2",0
"354.1735 / 10.13  M2H2",0
"354.1730 / 6.89",0
"354.1665 / 3.98  MNa",0
"354.1285 / 3.90",0
"354.1215 / 14.14  MNa",0
"354.0313 / 22.27  MH",0
"353.6964 / 7.35",0
"353.2673 / 23.66  MH",0
"353.2294 / 22.26",0
"353.1624 / 5.75",0
"353.1578 / 21.16",0
"353.1552 / 8.80",0
"353.1546 / 20.57",0
"353.1475 / 21.16",0
"353.0938 / 21.53",0
"353.0832 / 21.54",0
"352.8620 / 13.29  M3H3",0
"352.6968 / 7.31  M2",0
"352.6958 / 6.58  M2H2",0
"352.6620 / 5.88",0
"352.6140 / 8.28",0
"352.3189 / 21.65  MNa",0
"352.2211 / 7.69",0
"352.2118 / 4.12",0
"352.2022 / 8.98",0
"352.1932 / 11.04",0
"352.1880 / 10.11",0
"352.1863 / 9.13",0
"352.1824 / 4.75  M2H2",0
"352.1666 / 14.83",0
"352.1485 / 6.05",0
"352.1320 / 6.26",0
"352.0632 / 3.31",0
"351.7114 / 4.15  MH",0
"351.7066 / 7.79",0
"351.7022 / 11.42",0
"351.6957 / 7.93  M2H2",0
"351.6723 / 4.78",0
"351.2778 / 23.99  MH",0
"351.2320 / 23.64  MK",0
"351.2014 / 1.80",0
"351.1860 / 11.00  M2H2",0
"351.1658 / 2.32",0
"351.0029 / 24.77",0
"351.0018 / 23.55",0
"351.0015 / 26.74",0
"351.0010 / 27.39",0
"351.0007 / 26.00",0
"350.9998 / 22.63",0
"350.9927 / 24.95",0
"350.9927 / 1.29",0
"350.2583 / 23.66",0
"350.2183 / 7.95  MNH4",0
"350.2043 / 10.06",0
"350.1709 / 8.34  MH",0
"349.7144 / 12.98",0
"349.2933 / 23.08",0
"349.2337 / 13.98  M2H2",0
"349.2145 / 23.64  MNa",0
"349.1834 / 14.57",0
"349.1335 / 19.95",0
"349.1079 / 1.59",0
"349.0605 / 22.41",0
"348.1779 / 3.21",0
"348.1771 / 2.48  MH",0
"348.0714 / 5.81",0
"348.0713 / 4.68",0
"348.0706 / 2.86",0
"348.0685 / 7.79",0
"347.7177 / 8.36  M2H2",0
"347.6944 / 8.11",0
"347.6800 / 6.82",0
"347.2431 / 22.58",0
"347.2290 / 7.31",0
"347.2283 / 5.72",0
"347.2283 / 15.86",0
"347.2217 / 21.14",0
"347.1930 / 2.70  MNH4",0
"347.1883 / 7.98  M3H3",0
"347.1843 / 12.00",0
"346.3326 / 21.24",0
"346.2436 / 1.00",0
"346.2333 / 11.14",0
"346.2313 / 13.27",0
"346.2231 / 8.56  MH",0
"346.2228 / 9.12",0
"346.2219 / 17.11",0
"346.2172 / 8.04",0
"346.1975 / 9.31  MH",0
"346.1964 / 5.82",0
"346.1244 / 2.05",0
"346.1205 / 20.78",0
"346.0556 / 6.88",0
"345.9886 / 25.58",0
"345.9886 / 24.10",0
"345.9884 / 24.77",0
"345.9882 / 27.35",0
"345.9882 / 23.52",0
"345.9879 / 27.99",0
"345.9856 / 22.57",0
"345.2423 / 23.13",0
"345.2241 / 10.12",0
"345.2234 / 1.80",0
"345.2200 / 4.64",0
"345.2142 / 8.01  MNH4",0
"345.2139 / 2.44",0
"345.2135 / 6.23",0
"345.2033 / 22.29",0
"345.1879 / 8.50  M3H3",0
"345.1861 / 11.63",0
"345.1771 / 1.80",0
"345.1511 / 19.60",0
"345.1462 / 5.81",0
"345.0134 / 1.88",0
"344.9858 / 27.92",0
"344.9854 / 21.68",0
"344.9853 / 20.50",0
"344.9852 / 22.30",0
"344.9851 / 1.20",0
"344.9850 / 7.72",0
"344.9850 / 12.58",0
"344.9848 / 14.73",0
"344.9848 / 13.23",0
"344.9846 / 10.67",0
"344.9845 / 17.01",0
"344.9844 / 9.95",0
"344.9843 / 15.77",0
"344.9842 / 8.81",0
"344.9841 / 18.56",0
"344.9840 / 31.37",0
"344.9837 / 19.33",0
"344.9829 / 0.11",0
"344.9827 / 29.56",0
"344.9826 / 6.33",0
"344.3162 / 21.84",0
"344.3155 / 23.51",0
"344.2806 / 21.33",0
"344.2540 / 13.97",0
"344.2524 / 14.66",0
"344.2270 / 14.57  MNH4",0
"344.1903 / 3.31",0
"344.0589 / 2.55  MNa",0
"344.0282 / 21.23",0
"343.7335 / 2.48",0
"343.7203 / 4.76",0
"343.6915 / 7.31  M2H2",0
"343.2971 / 22.30",0
"343.2867 / 22.28",0
"343.2087 / 5.01",0
"343.1884 / 13.90  M2H2",0
