"","Overall"
"191.1078 / 20.52",5.6427
"297.0840 / 0.04",5.6419
"645.5691 / 20.35",5.6413
"175.9718 / 31.38",5.6287
"987.0146 / 18.62",5.6254
"582.3345 / 21.40  M2H2",5.6232
"665.9277 / 21.62",5.6228
"444.6711 / 1.44",5.6199
"208.9220 / 5.56",5.6162
"207.9679 / 12.38  MAcO-H-",5.6115
"187.0060 / 3.98",5.5925
"116.9864 / 9.46",5.591
"297.1353 / 16.09",5.5865
"297.1484 / 24.21",5.585
"696.1672 / 21.69  MNa-2H-",5.5799
"247.0137 / 3.36",5.5715
"201.0269 / 24.92",5.5613
"149.0237 / 0.04",5.5519
"347.1527 / 22.21",5.5439
"321.1318 / 16.60",5.542
"292.0896 / 13.45",5.5397
"879.0482 / 20.52",5.5333
"307.9850 / 3.83",5.5316
"160.9977 / 2.46",5.5302
"267.1244 / 22.13  M-H-",5.529
"493.0141 / 26.78",5.5282
"278.9551 / 21.61",5.5217
"89.0238 / 1.84  M-H-",5.5147
"279.0817 / 13.96  MNa",5.5099
"141.0164 / 3.50",5.5083
"689.3983 / 22.26  M3H3",5.5073
"511.5108 / 15.54  M4H4",5.4983
"171.0127 / 6.69",5.48
"173.0817 / 15.13",5.47
"119.0855 / 22.10",5.469
"161.0295 / 5.50",5.461
"215.1258 / 15.70",5.4593
"107.0846 / 0.43",5.4565
"543.2525 / 23.19",5.4534
"433.1086 / 19.54  MNa-2H-",5.451
"769.0747 / 1.08",5.4452
"435.9624 / 19.64",5.4449
"474.0127 / 14.98  MNa-2H-",5.4398
"96.9604 / 9.76",5.4314
"439.0918 / 8.86",5.4198
"398.1827 / 3.67",5.4189
"464.2178 / 20.82",5.4169
"172.9900 / 2.46",5.4076
"115.9202 / 9.96",5.4068
"797.0447 / 21.45",5.4038
"844.0196 / 1.24",5.4038
"321.1322 / 17.12",5.4027
"665.3644 / 12.38",5.4001
"481.0758 / 17.79",5.3897
"756.4256 / 3.32  M-H2O-H-",5.3887
"539.7355 / 15.07",5.3843
"322.2717 / 23.61",5.3824
"279.0200 / 17.19",5.3822
"292.9922 / 0.26",5.382
"159.0277 / 3.90  MNa",5.3816
"584.3626 / 12.38",5.3791
"100.1122 / 11.13",5.3785
"489.2825 / 22.83",5.3773
"233.0331 / 2.45",5.3769
"285.2218 / 22.96  MNH4",5.3769
"146.9706 / 7.14",5.3715
"82.9960 / 20.83",5.3691
"435.2868 / 24.48  MNa",5.364
"629.0561 / 1.06",5.3634
"291.0873 / 13.48  MH",5.3622
"843.0170 / 1.33",5.3607
"676.0917 / 6.02",5.3558
"655.2458 / 23.65",5.3514
"132.9218 / 13.43",5.3491
"249.1860 / 23.19",5.3486
"279.2336 / 22.96",5.3485
"229.1205 / 22.10",5.3428
"116.9862 / 16.40",5.3426
"694.3178 / 22.88",5.3419
"123.0548 / 3.51",5.3404
"361.1403 / 20.84",5.3396
"754.9998 / 23.98",5.3368
"500.2762 / 23.03",5.3339
"422.9312 / 12.04",5.3321
"103.9185 / 16.17",5.3142
"507.3404 / 21.76",5.2972
"449.1400 / 19.21",5.2965
"923.9525 / 10.48",5.2853
"614.3686 / 22.10  M3H3",5.2819
"583.3202 / 5.51",5.281
"368.1048 / 20.78",5.2733
"377.2296 / 22.97",5.2723
"265.1498 / 22.21",5.2722
"256.9649 / 29.77",5.2656
"217.0398 / 3.94",5.2621
"132.9584 / 10.23",5.258
"325.0746 / 5.33",5.2358
"762.0241 / 1.21  MH",5.2322
"347.9451 / 29.33",5.2203
"397.0028 / 10.70  2MNa-2H-",5.2199
"222.9959 / 7.59",5.2159
"261.0742 / 21.38  MNa-2H-",5.2157
"401.1578 / 21.27",5.2117
"173.0277 / 1.94",5.2114
"270.3139 / 21.58",5.2113
"415.2469 / 19.84",5.2111
"131.9147 / 7.96",5.1904
"207.9682 / 30.61  MAcO-H-",5.1887
"516.0109 / 26.94",5.1874
"131.9150 / 31.15",5.1852
"263.0223 / 2.43",5.1814
"355.1702 / 6.32  M2H2",5.1776
"218.0059 / 31.91",5.1775
"263.9931 / 0.72",5.1774
"376.7041 / 7.51",5.1731
"384.7033 / 12.31",5.1729
"292.9899 / 6.96",5.1713
"344.2270 / 14.57  MNH4",5.1704
"348.0685 / 7.79",5.1639
"420.9706 / 24.39",5.1576
"374.9920 / 17.25",5.1531
"268.9355 / 5.16",5.1423
"583.7046 / 18.72",5.1412
"435.9664 / 15.12",5.1392
"329.2355 / 21.97  M-H-",5.1348
"82.9977 / 6.30",5.134
"371.0752 / 13.49",5.1328
"286.0689 / 12.89",5.1309
"645.3719 / 22.20  M2HNa3",5.1291
"201.0611 / 3.93",5.1282
"185.0128 / 6.41",5.1267
"80.0491 / 0.20",5.1254
"293.2119 / 23.15",5.1228
"537.8761 / 28.12",5.1222
"567.3503 / 14.83",5.1218
"520.3195 / 19.42",5.1216
"356.3534 / 21.76",5.1096
"353.2324 / 21.89  M-H2O-H-",5.1092
"438.0931 / 12.72",5.1063
"422.9316 / 29.20",5.1056
"593.2941 / 22.60",5.0979
"201.0256 / 0.45",5.0978
"81.0697 / 9.68",5.0953
"461.2479 / 23.19",5.0943
"124.0586 / 4.11",5.0889
"85.0628 / 0.30",5.0877
"263.9941 / 20.39",5.0862
"313.1205 / 21.50",5.0818
"504.9341 / 6.75",5.0724
"268.1918 / 13.91  MH",5.068
"187.0286 / 29.23",5.0671
"817.0093 / 1.07",5.0598
"543.1432 / 20.07",5.053
"446.7100 / 20.52  M-H-",5.0484
"291.1606 / 9.07",5.0466
"146.9744 / 18.14",5.0367
"379.0028 / 1.08  MTFA-H-",5.0321
"314.1613 / 15.93",5.0306
"833.4782 / 20.82",5.0296
"174.0586 / 16.27",5.0242
"307.0932 / 14.00",5.0212
"349.2933 / 23.08",5.0168
"245.1156 / 20.44  MH",5.0166
"635.4309 / 23.34",5.0102
"116.9287 / 5.68",5.0081
"459.2336 / 17.84  M2H2",5.0019
"104.9922 / 15.95",4.9956
"584.9617 / 25.46",4.9951
"365.1371 / 22.69",4.9919
"819.4778 / 22.94",4.984
"279.1529 / 6.04",4.984
"186.9960 / 21.78",4.9836
"114.9482 / 5.26",4.9823
"163.0345 / 4.03",4.9819
"303.9014 / 3.68",4.9788
"395.2156 / 19.56  MNa",4.9774
"104.9923 / 20.29",4.9715
"879.0471 / 21.95",4.9694
"499.3383 / 16.66",4.9589
"143.0192 / 14.68",4.9582
"207.0138 / 15.16",4.956
"129.0551 / 5.78  M-H-",4.9492
"719.2986 / 23.24",4.9442
"560.3206 / 21.34  M2H2",4.9354
"503.2797 / 19.59  MHK2",4.9346
"158.9972 / 20.19",4.9135
"305.0239 / 10.84  M-H-",4.8915
"188.0720 / 18.65  M-H-",4.8914
"283.0290 / 23.32",4.8892
"221.1193 / 21.07",4.8829
"449.1776 / 19.95",4.8825
"419.2066 / 21.40",4.8802
"304.2627 / 23.81  MNa",4.8756
"267.0605 / 21.00",4.8753
"476.2944 / 18.84",4.8745
"229.0384 / 5.18",4.8668
"332.6523 / 5.25  M2H2",4.8568
"207.9684 / 6.13",4.856
"789.4489 / 20.69",4.8551
"579.3571 / 22.07",4.8338
"542.3220 / 23.59",4.8314
"146.9745 / 10.41",4.8263
"232.9769 / 21.04",4.8262
"517.2216 / 18.82",4.823
"281.0504 / 25.49",4.8199
"241.0673 / 18.89",4.8183
"301.1418 / 5.32",4.8179
"234.9750 / 9.72",4.8155
"315.1665 / 1.83",4.8146
"351.0029 / 24.77",4.8101
"463.3141 / 9.47  MNa",4.8097
"143.0191 / 18.52",4.8093
"267.9339 / 17.77",4.8005
"231.1155 / 9.54",4.7988
"217.0042 / 29.78",4.7937
"454.3484 / 20.33  MH",4.7928
"601.2661 / 22.26",4.7921
"389.2082 / 23.00  MH",4.7915
"353.9620 / 29.38",4.7909
"283.1659 / 19.11",4.7894
"116.0705 / 6.09",4.785
"256.8146 / 1.42",4.7838
"261.1317 / 9.73",4.7809
"105.0701 / 0.24",4.7807
"218.2118 / 14.45",4.7695
"431.2186 / 23.64",4.7658
"115.9204 / 2.72  M-H-",4.761
"499.3395 / 17.72",4.7608
"141.0172 / 22.00  M-H-",4.7596
"317.1918 / 21.94",4.7569
"212.0599 / 8.27",4.7472
"636.0008 / 21.56",4.7397
"585.2738 / 20.17",4.7362
"344.1074 / 20.80",4.7337
"174.9680 / 0.71",4.7271
"205.1592 / 22.51  M-H2O-H-",4.7263
"222.9765 / 7.52",4.7217
"411.2385 / 21.94  M-H-",4.7215
"339.1660 / 14.50",4.7208
"161.0283 / 2.70",4.7188
"344.9837 / 19.33",4.7097
"234.9744 / 31.26",4.7079
"313.2014 / 21.28",4.7072
"418.9861 / 1.18",4.7061
"424.9055 / 11.71  M3H3",4.7058
"305.2497 / 23.64",4.7015
"174.9699 / 31.99",4.7003
"961.0531 / 1.28  3M2Na-3H-",4.6971
"422.9318 / 31.56",4.6945
"453.3446 / 20.36",4.6945
"173.1184 / 20.17",4.6863
"493.2395 / 21.94  M-H-",4.6802
"837.0039 / 25.70",4.6769
"321.1317 / 16.07",4.6768
"346.3326 / 21.24",4.6765
"589.2358 / 23.00",4.6749
"962.0534 / 1.21",4.67
"283.1145 / 15.61",4.6697
"217.1082 / 17.30",4.6695
"369.3523 / 26.22",4.6647
"441.1542 / 21.56",4.6612
"491.7969 / 21.11  MHNH42",4.656
"408.2984 / 24.15  MNH4",4.6537
"223.2056 / 0.47",4.6533
"158.9971 / 29.17",4.6527
"130.1579 / 4.88",4.6456
"116.9858 / 15.52",4.642
"103.9203 / 30.88",4.6396
"221.8433 / 2.34",4.6324
"373.0112 / 1.29",4.6324
"438.0929 / 11.34  MNa",4.6308
"213.1789 / 20.36",4.621
"343.2275 / 23.00  M-H-",4.6144
"531.0424 / 20.11",4.6117
"282.0528 / 18.14",4.6113
"186.9955 / 11.79",4.6063
"163.0755 / 20.44",4.6058
"252.1140 / 21.20  MH",4.6037
"701.4952 / 21.28",4.5919
"158.9963 / 22.10  MH",4.5905
"174.9928 / 9.51",4.582
"919.0094 / 27.12",4.5805
"279.1020 / 1.86  MNH4",4.58
"147.9469 / 30.57  M-H-",4.5781
"444.2228 / 15.98",4.5771
"613.3559 / 22.86",4.5742
"263.9370 / 11.43",4.5734
"215.1262 / 13.01",4.5731
"158.9930 / 2.78",4.5651
"628.1773 / 20.97",4.5644
"238.1592 / 1.48",4.5619
"289.0725 / 13.49",4.5609
"126.9037 / 1.67",4.5525
"371.2208 / 19.58  M-H-",4.5516
"121.0986 / 5.39",4.5451
"472.7637 / 21.01",4.537
"277.0545 / 22.61",4.5318
"116.9277 / 17.54",4.5241
"117.9285 / 0.19",4.5235
"292.9923 / 3.83",4.5208
"305.0229 / 31.74  2MNa-2H-",4.5161
"509.8794 / 27.31",4.5142
"715.0403 / 21.36  3M2Na-3H-",4.5126
"467.2375 / 23.65  M-H-",4.497
"605.0229 / 1.14  2MK-2H-",4.4968
"479.2150 / 22.10",4.494
"85.0631 / 6.04",4.4931
"289.1417 / 21.18",4.4893
"551.0331 / 19.66",4.4852
"539.1379 / 1.52",4.4834
"247.0959 / 21.53  M-H-",4.4814
"365.1557 / 14.57  MK",4.4804
"119.0163 / 5.77",4.4791
"222.0307 / 2.73",4.4771
"152.0573 / 3.18  MNH4",4.476
"99.9251 / 15.42",4.4749
"419.2412 / 22.39  M-H2O-H-",4.4679
"217.0040 / 0.07",4.4649
"264.1186 / 1.48  MNH4",4.4608
"338.2469 / 17.81  M-H-",4.4573
"189.9568 / 0.03  M-H-",4.4564
"353.9613 / 13.38",4.4533
"766.4480 / 21.76",4.4492
"138.0549 / 9.31",4.4454
"301.1422 / 28.55",4.4353
"477.2542 / 20.58",4.4333
"281.0521 / 19.94",4.433
"360.3238 / 24.04  MH",4.4285
"218.0073 / 16.07",4.4264
"174.9649 / 14.27",4.425
"302.1445 / 2.64",4.4217
"116.9863 / 4.20",4.4196
"283.0479 / 13.62",4.4155
"201.0263 / 4.47",4.4117
"169.9665 / 0.26",4.4104
"117.9276 / 10.06",4.4042
"530.3078 / 22.88",4.4021
"299.0731 / 1.86",4.4018
"163.0599 / 15.56",4.3994
"466.2640 / 4.52  MCH3OHH",4.3976
"81.0698 / 12.04",4.3974
"375.1545 / 20.37",4.3887
"317.0969 / 3.71",4.3859
"338.2305 / 20.53  MNa",4.3857
"348.1429 / 8.89",4.3825
"433.9974 / 26.32",4.3781
"504.9343 / 0.99",4.3772
"381.9936 / 9.00  MNa-2H-",4.3711
"117.0553 / 3.98  M-H-",4.3696
"289.9935 / 30.05",4.3684
"421.2308 / 19.58",4.3659
"435.9643 / 31.58",4.3625
"351.1373 / 20.58",4.362
"491.3072 / 21.85  M3H3",4.347
"100.9261 / 5.42",4.3419
"105.0696 / 31.82",4.3352
"259.0947 / 20.50  MH",4.3345
"114.9483 / 31.62",4.3292
"261.1230 / 9.28  M-H-",4.3275
"425.1834 / 21.56",4.3172
"448.3057 / 22.89",4.3116
"269.1578 / 9.11",4.3099
"460.9986 / 1.05",4.3048
"326.0157 / 21.91",4.3044
"173.0810 / 10.20",4.3023
"447.0342 / 26.99",4.2996
"433.2292 / 20.32",4.2981
"301.1343 / 29.09",4.2963
"761.0142 / 1.33  M",4.295
"207.9129 / 29.80",4.2949
"181.0866 / 21.37",4.294
"375.1267 / 14.39  MNa-2H-",4.2813
"291.9883 / 0.98",4.2797
"173.0821 / 16.50  M-H-",4.2759
"178.1046 / 7.97",4.2756
"552.0364 / 21.47",4.2725
"149.0234 / 12.45",4.2678
"417.3203 / 24.04",4.2653
"465.2248 / 20.46  M-H-",4.2627
"146.9743 / 17.35",4.2614
"477.3307 / 20.34",4.2568
"585.2561 / 21.16",4.2555
"332.9713 / 1.04",4.2519
"522.2608 / 20.78",4.2518
"614.1770 / 21.70",4.2516
"187.9769 / 0.39",4.2467
"282.2807 / 23.81  MH",4.2464
"476.3273 / 11.31",4.2463
"425.1574 / 21.49",4.244
"249.9785 / 32.00  MAcO-H-",4.2419
"221.1630 / 21.13",4.24
"599.0917 / 1.52",4.2361
"388.2542 / 16.27  MNH4",4.2295
"497.2869 / 23.21",4.2282
"262.0659 / 19.97",4.2273
"323.1464 / 21.85  MCH3OHH",4.2249
"282.9883 / 8.59",4.2225
"122.8933 / 1.78",4.219
"117.9276 / 0.87",4.2143
"147.0657 / 2.81",4.2087
"158.9971 / 6.42",4.2058
"312.2516 / 20.88  MNa",4.1939
"175.0348 / 5.77",4.1936
"322.0822 / 13.90  MNa",4.1913
"379.0829 / 1.48",4.1901
"521.2778 / 20.77",4.1862
"873.0318 / 21.49",4.1755
"398.2681 / 17.81  MAcO-H-",4.1679
"273.1703 / 20.11",4.1667
"82.9979 / 10.37",4.1661
"105.0703 / 6.91",4.1615
"471.3068 / 19.83",4.1595
"303.3092 / 21.17",4.1544
"317.2130 / 21.40",4.1467
"174.9937 / 15.57",4.1462
"86.0963 / 1.07",4.1426
"278.9550 / 9.95",4.1306
"239.1055 / 1.39",4.1236
"880.0522 / 1.21  M-",4.1167
"159.1025 / 20.11",4.1085
"270.0023 / 26.33",4.102
"165.0404 / 15.70",4.1017
"381.0097 / 23.36",4.0953
"222.1507 / 8.92",4.0908
"90.9479 / 3.81",4.0904
"713.4775 / 21.31",4.0873
"185.1188 / 21.27",4.0835
"101.0084 / 4.48",4.0824
"153.1279 / 0.88",4.0815
"377.0865 / 1.48",4.0808
"434.0062 / 27.38",4.0719
"316.1763 / 15.93",4.0705
"253.0937 / 8.52",4.0584
"173.9617 / 0.72",4.0527
"421.2901 / 9.51",4.0422
"185.9958 / 9.07",4.0358
"537.0174 / 1.29",4.0356
"385.1904 / 21.56",4.0337
"343.1242 / 24.21",4.0276
"391.2112 / 21.47  MNa-2H-",4.0238
"103.9199 / 14.68",4.0229
"320.8979 / 30.84",4.0199
"116.9861 / 30.15",4.0131
"113.0230 / 1.81",4.0103
"579.2784 / 22.73",4.0051
"100.9257 / 5.94",4.001
"286.1871 / 11.10",3.9956
"265.1813 / 21.38  M-H-",3.9827
"619.0175 / 1.28",3.98
"591.4932 / 27.03",3.9783
"437.1959 / 22.96",3.9752
"302.3069 / 21.17  MH",3.9752
"475.3259 / 11.13  2MNa",3.975
"597.0955 / 1.52",3.9748
"344.9840 / 31.37",3.9713
"525.2746 / 19.42",3.971
"678.9963 / 24.47",3.9698
"153.1268 / 15.23",3.9643
"378.0889 / 1.51",3.9525
"324.2882 / 21.20  MNa",3.948
"853.8871 / 15.27  M-2H2-",3.9469
"365.1269 / 22.70",3.9435
"197.0314 / 2.76",3.9431
"743.1219 / 20.21  MH",3.9405
"299.0072 / 20.11",3.9355
"263.9936 / 30.36",3.9299
"722.5515 / 24.91",3.9242
"415.1079 / 22.07",3.9203
"218.0066 / 22.99",3.9203
"268.9368 / 31.90",3.9157
"388.0284 / 21.53",3.9079
"866.0229 / 22.04",3.9024
"350.9927 / 24.95",3.9005
"101.0222 / 2.67",3.9004
"116.9865 / 7.44",3.8886
"253.1323 / 21.11",3.8883
"575.2451 / 21.97",3.887
"155.9738 / 5.41",3.8838
"301.1342 / 27.54",3.8639
"255.1141 / 20.50",3.8563
"879.0450 / 1.28  M-H-",3.8534
"289.9932 / 11.93",3.8528
"493.0138 / 25.16",3.849
"394.1987 / 16.45  MH",3.8448
"200.9452 / 32.00",3.8411
"155.9744 / 7.45",3.834
"249.1583 / 10.27",3.8242
"709.0220 / 21.69",3.8186
"378.1321 / 3.82",3.8162
"737.5228 / 21.31",3.8149
"591.4341 / 23.38",3.8136
"147.9463 / 3.35  M-H-",3.8115
"653.3260 / 20.99",3.8091
"581.2275 / 23.61  MTFA-H-",3.8055
"256.2641 / 23.72  MNH4",3.8037
"174.9919 / 19.63",3.7996
"577.3732 / 21.40  MHNH42",3.7994
"278.9551 / 31.52",3.7993
"99.9257 / 2.43",3.7901
"413.3038 / 24.48  MH",3.7806
"249.9793 / 29.88",3.7796
"481.2496 / 18.84",3.779
"234.9745 / 7.12",3.7669
"174.9926 / 10.96",3.7655
"105.9322 / 4.97",3.7599
"272.9383 / 31.97",3.7574
"545.0178 / 22.94",3.7535
"321.1441 / 24.23",3.7517
"745.4237 / 20.57  MNH4",3.7496
"407.1889 / 16.21",3.7463
"463.2022 / 23.59",3.7459
"81.0698 / 0.64",3.7428
"275.9925 / 2.39",3.7405
"320.9015 / 30.28",3.7342
"90.9480 / 4.42",3.7313
"239.0148 / 3.95",3.7258
"417.1802 / 21.12",3.7249
"355.0692 / 23.16",3.7248
"275.0767 / 3.92",3.7189
"940.9905 / 1.33  MNa",3.7174
"687.2328 / 22.71",3.7141
"671.2394 / 23.00",3.7125
"262.2386 / 20.06",3.7068
"282.0519 / 6.33",3.7066
"283.0493 / 1.80",3.7058
"733.4228 / 22.36",3.704
"99.0783 / 1.83",3.6892
"270.0024 / 23.36",3.6882
"253.1040 / 18.25",3.6848
"548.5138 / 14.63",3.6818
"195.0640 / 16.50  MNa-2H-",3.6799
"263.9940 / 21.34",3.6798
"243.8876 / 3.11",3.6785
"155.9750 / 0.02",3.6766
"81.0679 / 1.73",3.6743
"873.0301 / 22.55",3.6717
"467.1904 / 21.18",3.6716
"499.2251 / 23.61",3.6716
"205.1240 / 22.10  M-H-",3.667
"243.0338 / 19.59",3.6612
"223.0208 / 11.37  M-H-",3.6555
"309.1764 / 23.50",3.6496
"593.3564 / 20.37  M-H-",3.6485
"301.1341 / 19.90",3.647
"627.0154 / 30.00",3.6406
"799.4398 / 21.85",3.64
"99.0781 / 5.16",3.6398
"321.2430 / 23.12",3.6386
"269.1280 / 19.39",3.6333
"248.1145 / 13.52  M-H-",3.6317
"149.0199 / 20.51",3.6301
"399.0737 / 17.79  MNa-2H-",3.6272
"335.2203 / 23.61  M-H-",3.621
"258.2806 / 21.27",3.6189
"221.0816 / 15.87",3.616
"219.0129 / 7.97",3.6148
"447.1337 / 27.65",3.6075
"413.2271 / 20.47",3.6068
"143.0191 / 29.06",3.6063
"205.1232 / 20.44",3.6052
"298.3477 / 22.46",3.6041
"398.8775 / 0.81",3.6029
"189.9580 / 3.65  M-H-",3.6026
"347.1182 / 19.97",3.6014
"679.0110 / 1.33",3.6007
"278.9549 / 27.52",3.5975
"489.3064 / 19.67",3.5958
"186.9955 / 12.31",3.5951
"858.9899 / 1.33",3.5941
"219.0128 / 6.18",3.5933
"353.1990 / 23.69  M-H-",3.5925
"93.0697 / 31.98",3.5912
"289.9939 / 0.29",3.591
"379.2462 / 23.19",3.5896
"149.0198 / 1.64",3.5848
"222.9019 / 1.36",3.5837
"231.1504 / 21.11",3.5792
"441.2245 / 22.71  MCl-",3.5763
"545.0131 / 29.68",3.5687
"116.9281 / 21.09  M-",3.5618
"421.2219 / 22.96",3.5556
"245.0654 / 3.24",3.5544
"511.1574 / 22.18",3.55
"701.0216 / 1.27",3.5498
"103.9187 / 5.07",3.5352
"217.1054 / 5.97",3.535
"309.1035 / 22.53",3.5349
"183.0161 / 2.79  M-H-",3.5337
"810.5630 / 23.48",3.5024
"221.1718 / 9.47  M2H2",3.5018
"221.1751 / 24.25",3.5009
"296.2207 / 22.59",3.498
"156.9594 / 31.57",3.4965
"424.2839 / 24.23",3.495
"217.0026 / 2.67",3.4948
"597.0118 / 1.30",3.4831
"227.1291 / 21.33",3.4762
"223.0207 / 22.91  M-H-",3.4759
"195.8106 / 2.05",3.4716
"141.0166 / 7.64",3.4693
"338.3425 / 27.87  MH",3.4686
"474.7274 / 17.55",3.4676
"371.2282 / 16.31  MH",3.4674
"453.2048 / 17.72",3.4674
"189.9585 / 7.70  M-H-",3.4581
"158.9967 / 21.43",3.457
"220.1548 / 2.69",3.4564
"695.3126 / 23.66",3.4556
"232.9747 / 2.96",3.4513
"623.2410 / 21.98",3.4505
"680.0128 / 1.31",3.4502
"201.0267 / 14.42",3.4487
"116.9288 / 3.86",3.4471
"432.2797 / 17.72  MNH4",3.4463
"362.2424 / 17.80",3.4435
"458.0592 / 2.10",3.443
"425.1440 / 21.35",3.4342
"452.2267 / 5.88",3.4292
"926.0009 / 1.26",3.4274
"341.1652 / 5.22  MHNH42",3.4143
"268.2247 / 19.65  MNa",3.4109
"232.9743 / 24.62",3.3966
"295.2277 / 22.97  M-H2O-H-",3.3927
"345.9886 / 24.10",3.3925
"96.9605 / 0.11",3.3895
"851.3761 / 21.90",3.3866
"132.9237 / 14.09  M-",3.3825
"236.1495 / 1.77",3.3765
"199.8044 / 2.05",3.3742
"150.0415 / 3.17",3.3721
"161.0294 / 7.20",3.366
"282.0522 / 2.16",3.3626
"164.8355 / 2.05",3.3582
"247.0040 / 24.02",3.3561
"186.9963 / 27.41",3.3558
"145.0084 / 31.59",3.353
"153.1280 / 31.53",3.3454
"415.2526 / 17.72  MH",3.3451
"297.0836 / 2.13  MK",3.344
"476.3314 / 20.35  MNa",3.3375
"387.0248 / 21.94",3.3323
"321.0193 / 3.84",3.3292
"290.2703 / 20.88  MH",3.3261
"223.0006 / 1.49  M-H-",3.3244
"387.0256 / 31.18",3.3229
"583.2786 / 20.41  M-H-",3.3041
"249.1114 / 21.33  M-H-",3.303
"297.2436 / 23.19",3.2958
"82.9974 / 21.69",3.2827
"193.0835 / 13.32",3.2806
"101.0088 / 12.79",3.2806
"679.0151 / 26.71",3.2776
"665.4289 / 21.62",3.2763
"89.9602 / 7.14",3.2757
"633.0374 / 27.96  4M3Na-4H-",3.2583
"218.0079 / 18.96",3.2582
"475.3267 / 20.36",3.2485
"797.0432 / 1.33  3M-H-",3.2479
"310.1270 / 21.11",3.2471
"450.2481 / 20.92  MHNa2",3.238
"643.4140 / 21.59  MHNH42",3.236
"590.9935 / 22.35",3.2342
"590.9945 / 23.81",3.2264
"283.0272 / 24.68",3.2212
"207.9668 / 3.70  MAcO-H-",3.2191
"553.2566 / 23.41",3.2135
"389.2049 / 19.97",3.2094
"473.1350 / 5.87",3.2017
"263.0553 / 21.42",3.2013
"259.1737 / 9.47",3.1898
"301.2171 / 23.47",3.1864
"153.1276 / 29.50",3.1843
"600.3927 / 20.74",3.1838
"255.2323 / 26.60",3.1817
"325.2016 / 21.88",3.1743
"171.9976 / 19.09",3.1715
"239.0899 / 16.46",3.1707
"432.9939 / 26.13",3.1673
"843.0214 / 24.48",3.1651
"237.1409 / 22.22",3.1651
"82.9978 / 14.29",3.1569
"441.2984 / 24.47",3.1563
"180.1011 / 1.82",3.1545
"569.3001 / 19.77",3.1474
"81.0701 / 8.57",3.1427
"199.0568 / 3.88",3.1293
"590.9922 / 22.89",3.1284
"417.1517 / 20.94",3.1239
"373.2103 / 21.61",3.1222
"232.9767 / 30.31  M-",3.1212
"100.9248 / 0.80",3.1194
"201.0262 / 8.09",3.117
"467.1537 / 13.43  MNa-2H-",3.1156
"243.8811 / 0.95",3.111
"116.9835 / 29.45",3.1051
"275.0451 / 3.98",3.1046
"247.1706 / 22.73",3.102
"155.0813 / 4.18  MCH3OHH",3.0953
"583.2576 / 21.16  M-H-",3.0951
"344.2231 / 22.59",3.0938
"417.2218 / 23.61",3.0931
"226.0443 / 2.09",3.0839
"643.0385 / 1.05",3.0829
"420.9713 / 23.64",3.0735
"947.5976 / 23.54",3.0722
"245.1867 / 4.92",3.0715
"672.9984 / 27.08",3.0715
"598.0136 / 1.32",3.0702
"283.0486 / 29.34",3.0601
"228.2695 / 20.84",3.0592
"271.2061 / 20.94",3.0568
"584.2845 / 20.34  M-",3.0546
"275.1106 / 3.13",3.0538
"349.1834 / 14.57",3.0518
"753.2407 / 23.00",3.0417
"101.0061 / 2.68",3.0397
"201.8021 / 1.54",3.0301
"331.0716 / 7.74",3.0215
"288.9104 / 6.16",3.0193
"327.0874 / 22.10  MNa",3.018
"390.2438 / 21.38",3.0123
"357.2805 / 23.21",3.0121
"169.1232 / 22.00",3.0079
"268.9985 / 17.89",3.0042
"359.2217 / 22.71",3.002
"254.9825 / 1.18",2.9968
"402.3590 / 21.78",2.9957
"292.9919 / 10.37",2.9946
"672.9796 / 24.50",2.9945
"292.9927 / 30.84",2.9943
"490.9625 / 1.34",2.9857
"299.1963 / 23.59",2.9823
"251.1267 / 22.13",2.9764
"219.1023 / 20.50",2.973
"499.2191 / 19.95  MNa",2.9705
"694.9848 / 1.33",2.9674
"769.0284 / 1.13  2MK-2H-",2.9665
"353.0832 / 21.54",2.9663
"256.9645 / 23.61",2.9662
"198.0588 / 20.78",2.9656
"327.2106 / 14.65",2.9652
"155.9750 / 0.93",2.9651
"204.1152 / 20.70",2.9646
"114.9336 / 5.23",2.9642
"776.9874 / 1.33",2.9589
"253.2179 / 23.61",2.9561
"156.9591 / 0.55",2.9534
"266.8052 / 1.39",2.9524
"476.3059 / 18.82  MNH4",2.9452
"317.2119 / 23.12  M-H-",2.9419
"268.9364 / 30.10",2.9404
"309.1850 / 22.35",2.9346
"81.0699 / 31.77",2.9311
"292.0800 / 2.13",2.9279
"266.1406 / 8.89  M-H-",2.9268
"220.9047 / 1.36",2.9235
"573.3638 / 20.36",2.9184
"201.0258 / 22.40",2.9178
"387.1821 / 21.35",2.9064
"230.0719 / 2.41",2.9058
"256.9589 / 29.06",2.9047
"227.1085 / 20.97",2.8991
"207.0856 / 5.71",2.8976
"672.9996 / 24.78",2.8934
"272.9376 / 5.08",2.8931
"91.0540 / 31.87",2.8928
"242.1755 / 24.26",2.8912
"283.0488 / 14.28",2.8865
"514.9936 / 20.29",2.8806
"189.0780 / 10.20",2.88
"261.1311 / 6.72",2.8785
"360.3241 / 25.66",2.8735
"459.2784 / 18.82  MH",2.872
"520.3330 / 19.40  MNH4",2.8713
"299.0805 / 20.75",2.8708
"288.9103 / 31.88",2.8699
"283.1752 / 12.46",2.8692
"272.9377 / 28.07",2.869
"281.1002 / 16.35  MNa-2H-",2.8688
"783.0282 / 1.29",2.8655
