"","361.2087 / 3.47  M","453.2115 / 10.42  ","341.1667 / 3.45","293.1503 / 5.13","345.1423 / 6.27","346.1979 / 4.15  M","435.2417 / 9.00  M","215.1395 / 2.16","590.2780 / 11.00  ","261.1275 / 5.32","359.1582 / 11.13","295.1669 / 5.16  M","418.2251 / 11.01  ","325.1739 / 6.83","375.2210 / 3.76","490.2508 / 11.07","380.1792 / 13.65  ","358.1973 / 13.65  ","636.3357 / 19.68","356.6859 / 3.96  M","332.2191 / 7.10  M","330.2029 / 7.08","289.1505 / 7.69  M","854.3902 / 15.20  ","580.2660 / 7.32  M","449.7488 / 19.19","707.3366 / 10.13  ","439.2266 / 10.13  ","439.7266 / 10.12","433.5526 / 16.71","549.3146 / 16.50","896.4697 / 19.20  ","501.2305 / 7.93  M","569.7558 / 19.86  ","801.3629 / 15.49  ","379.7229 / 10.83","344.2183 / 11.11","373.1723 / 9.41  M","440.2980 / 15.59","345.2137 / 3.57","474.2458 / 8.12","480.2445 / 11.07","379.7088 / 10.72","387.2239 / 8.16  M","423.2304 / 15.02","809.4409 / 19.07  ","428.7079 / 15.05","476.7101 / 13.24","479.2499 / 11.58  ","485.2395 / 15.33","473.2970 / 16.49","490.1937 / 10.46  ","467.2498 / 11.48","416.2343 / 10.19","459.7504 / 10.67  ","396.1783 / 5.87","359.1931 / 3.48","424.7012 / 9.61","376.1834 / 19.61  ","517.2974 / 11.15","395.2276 / 13.11  ","393.2099 / 13.08  ","475.2157 / 13.13  ","521.7810 / 15.92  ","482.2236 / 12.92  ","942.4522 / 10.99  ","402.2699 / 8.03","600.3704 / 8.01","375.1522 / 5.70","298.1403 / 8.89  M","340.1869 / 17.48  ","354.2024 / 19.61  ","423.2236 / 10.54","560.7822 / 19.86  ","558.7644 / 19.86  ","372.2198 / 10.26","465.2696 / 15.50  ","532.2345 / 14.20  ","278.1581 / 11.15","445.2674 / 12.49","492.2111 / 10.45","408.7460 / 9.41  M","468.7141 / 15.70  ","325.1739 / 7.71","429.2712 / 15.30","507.2452 / 10.46  ","632.2772 / 15.72","421.2143 / 12.79  ","542.2931 / 9.50","422.2507 / 12.64","665.3238 / 17.20  ","429.2394 / 6.82  M","346.6914 / 8.06  M","334.1376 / 11.96  ","425.2027 / 15.20  ","545.2679 / 1.93","404.1803 / 18.31  ","243.1710 / 6.86  M","306.1465 / 5.16  M","359.1575 / 10.11"
"449.7488 / 19.19",0.96041,0.96246,0.95171,0.96246,0.964,0.96963,0.96041,0.91859,0.92945,0.93096,0.93089,0.96298,0.97435,0.98063,0.97382,0.97435,0.98534,0.98691,0.98743,0.98377,0.9801,0.9801,0.98639,0.99005,0.99215,1,0.99424,0.99424,0.99424,0.98325,0.98953,0.99529,0.98377,0.98639,0.98586,0.98377,0.97958,0.98115,0.98953,0.98953,0.99215,0.98901,0.98482,0.98796,0.99267,0.99372,0.9911,0.98639,0.97958,0.98691,0.98168,0.9822,0.96545,0.97853,0.97277,0.98272,0.97906,0.98063,0.98272,0.97958,0.98586,0.98796,0.98691,0.98691,0.98482,0.9822,0.98691,0.98586,0.9395,0.94855,0.94905,0.94654,0.96093,0.96502,0.96502,0.95632,0.95734,0.96041,0.95478,0.96195,0.96246,0.95888,0.96451,0.96554,0.96349,0.96963,0.96656,0.943,0.94454,0.95632,0.94658,0.95157,0.96554,0.96041,0.95785,0.95888,0.92456,0.94503,0.95068,0.94044
"707.3366 / 10.13  ",0.9599,0.9722,0.94505,0.96246,0.96656,0.97066,0.96605,0.92005,0.92442,0.93246,0.93237,0.96195,0.97173,0.97592,0.97173,0.9712,0.98848,0.98953,0.98901,0.98534,0.98534,0.98534,0.98796,0.98429,0.99581,0.99424,1,1,1,0.98796,0.98901,0.99058,0.98586,0.98691,0.98743,0.98586,0.98272,0.98796,0.99319,0.99372,0.99215,0.99162,0.98953,0.99005,0.98586,0.98534,0.9822,0.97749,0.98115,0.98377,0.97749,0.98063,0.96649,0.97696,0.97539,0.98429,0.97958,0.99267,0.99319,0.98377,0.99005,0.99215,0.9911,0.98639,0.9911,0.9822,0.99005,0.98901,0.94604,0.95509,0.95659,0.95509,0.9681,0.96605,0.96554,0.95478,0.9599,0.96093,0.95478,0.96195,0.96041,0.95529,0.96912,0.96605,0.96246,0.96656,0.96246,0.95529,0.95222,0.96502,0.95785,0.95408,0.96605,0.96605,0.96502,0.95734,0.93532,0.94,0.94402,0.9389
"439.2266 / 10.13  ",0.9599,0.9722,0.94505,0.96246,0.96656,0.97066,0.96605,0.92005,0.92442,0.93246,0.93237,0.96195,0.97173,0.97592,0.97173,0.9712,0.98848,0.98953,0.98901,0.98534,0.98534,0.98534,0.98796,0.98429,0.99581,0.99424,1,1,1,0.98796,0.98901,0.99058,0.98586,0.98691,0.98743,0.98586,0.98272,0.98796,0.99319,0.99372,0.99215,0.99162,0.98953,0.99005,0.98586,0.98534,0.9822,0.97749,0.98115,0.98377,0.97749,0.98063,0.96649,0.97696,0.97539,0.98429,0.97958,0.99267,0.99319,0.98377,0.99005,0.99215,0.9911,0.98639,0.9911,0.9822,0.99005,0.98901,0.94604,0.95509,0.95659,0.95509,0.9681,0.96605,0.96554,0.95478,0.9599,0.96093,0.95478,0.96195,0.96041,0.95529,0.96912,0.96605,0.96246,0.96656,0.96246,0.95529,0.95222,0.96502,0.95785,0.95408,0.96605,0.96605,0.96502,0.95734,0.93532,0.94,0.94402,0.9389
"439.7266 / 10.12",0.9599,0.9722,0.94505,0.96246,0.96656,0.97066,0.96605,0.92005,0.92442,0.93246,0.93237,0.96195,0.97173,0.97592,0.97173,0.9712,0.98848,0.98953,0.98901,0.98534,0.98534,0.98534,0.98796,0.98429,0.99581,0.99424,1,1,1,0.98796,0.98901,0.99058,0.98586,0.98691,0.98743,0.98586,0.98272,0.98796,0.99319,0.99372,0.99215,0.99162,0.98953,0.99005,0.98586,0.98534,0.9822,0.97749,0.98115,0.98377,0.97749,0.98063,0.96649,0.97696,0.97539,0.98429,0.97958,0.99267,0.99319,0.98377,0.99005,0.99215,0.9911,0.98639,0.9911,0.9822,0.99005,0.98901,0.94604,0.95509,0.95659,0.95509,0.9681,0.96605,0.96554,0.95478,0.9599,0.96093,0.95478,0.96195,0.96041,0.95529,0.96912,0.96605,0.96246,0.96656,0.96246,0.95529,0.95222,0.96502,0.95785,0.95408,0.96605,0.96605,0.96502,0.95734,0.93532,0.94,0.94402,0.9389
"433.5526 / 16.71",0.96451,0.95632,0.94197,0.96349,0.96861,0.96246,0.95171,0.92054,0.9204,0.93699,0.93385,0.96144,0.97487,0.97749,0.97906,0.96545,0.98953,0.99058,0.9911,0.98901,0.98848,0.98848,0.9911,0.98377,0.99058,0.98325,0.98796,0.98796,0.98796,1,0.98796,0.99005,0.99267,0.98901,0.9911,0.98168,0.98429,0.99005,0.9733,0.98377,0.97749,0.97749,0.9801,0.98534,0.97644,0.97696,0.98691,0.97382,0.98168,0.97749,0.97906,0.98168,0.96545,0.98743,0.97958,0.99424,0.98272,0.97539,0.97906,0.97225,0.96806,0.97277,0.97016,0.97749,0.98639,0.96754,0.9623,0.96126,0.94805,0.94754,0.94553,0.94503,0.96451,0.96861,0.96759,0.96093,0.95785,0.96144,0.95734,0.96246,0.96144,0.94863,0.97476,0.96912,0.95837,0.96656,0.96195,0.94454,0.93378,0.96195,0.95017,0.94051,0.9389,0.94095,0.95785,0.93634,0.92917,0.94101,0.94351,0.94197
"549.3146 / 16.50",0.9722,0.95785,0.95068,0.96451,0.96502,0.96041,0.95376,0.91957,0.93397,0.93096,0.93187,0.96502,0.96963,0.97644,0.98063,0.97173,0.99424,0.99372,0.99424,0.98901,0.99162,0.99162,0.98639,0.99476,0.98953,0.98953,0.98901,0.98901,0.98901,0.98796,1,0.99634,0.99005,0.99372,0.99319,0.99372,0.99529,0.99372,0.98272,0.99267,0.98743,0.98325,0.99162,0.99058,0.98586,0.98796,0.98953,0.98691,0.98325,0.97853,0.98115,0.98063,0.97644,0.98848,0.98691,0.99319,0.99319,0.98115,0.98796,0.98953,0.98377,0.98796,0.98743,0.98482,0.98377,0.97644,0.97016,0.97225,0.94956,0.95358,0.95157,0.95106,0.96759,0.97271,0.9722,0.97271,0.96246,0.97066,0.95273,0.95888,0.96041,0.96195,0.97015,0.96451,0.96554,0.97168,0.97271,0.94761,0.95427,0.95837,0.95376,0.95458,0.95478,0.95939,0.95376,0.94915,0.9348,0.94503,0.94863,0.94044
"896.4697 / 19.20  ",0.96912,0.95734,0.95273,0.96912,0.96759,0.96502,0.95683,0.92201,0.93548,0.93297,0.93534,0.96963,0.97644,0.98429,0.98482,0.9733,0.99372,0.99424,0.99476,0.98953,0.99005,0.99005,0.99058,0.99634,0.9911,0.99529,0.99058,0.99058,0.99058,0.99005,0.99634,1,0.99162,0.99424,0.99372,0.9911,0.9911,0.9911,0.98325,0.99005,0.98901,0.98534,0.98743,0.98953,0.99005,0.99319,0.99372,0.99162,0.97958,0.98534,0.98534,0.98639,0.97382,0.98953,0.98482,0.99267,0.98901,0.97906,0.98482,0.98115,0.98115,0.98482,0.98377,0.98586,0.98325,0.97801,0.97435,0.97644,0.94805,0.95106,0.95056,0.94905,0.96554,0.97271,0.97271,0.96554,0.96349,0.9681,0.95939,0.96349,0.96605,0.96554,0.97168,0.96861,0.97015,0.97578,0.97424,0.94556,0.94556,0.95785,0.95068,0.95006,0.95478,0.95324,0.95734,0.95273,0.93378,0.94956,0.95478,0.9471
"501.2305 / 7.93  M",0.96912,0.96246,0.95427,0.96656,0.96861,0.96041,0.95324,0.92201,0.92392,0.93146,0.93385,0.96605,0.97435,0.97853,0.98848,0.97435,0.99162,0.99319,0.99476,0.99634,0.99634,0.99634,0.99424,0.98796,0.98848,0.98377,0.98586,0.98586,0.98586,0.99267,0.99005,0.99162,1,0.99791,0.99843,0.99319,0.98901,0.99424,0.97644,0.98691,0.9822,0.98272,0.98639,0.98639,0.97749,0.98168,0.98848,0.9822,0.9801,0.98063,0.98796,0.99058,0.98115,0.99424,0.99267,0.99529,0.98953,0.9801,0.98325,0.98168,0.97435,0.97906,0.97801,0.97277,0.97592,0.95969,0.96492,0.96597,0.95559,0.95106,0.94805,0.94905,0.97168,0.97476,0.97629,0.96349,0.96195,0.96502,0.9599,0.96195,0.9681,0.9599,0.97117,0.9722,0.96605,0.96963,0.96912,0.94761,0.94607,0.96554,0.95068,0.94151,0.94351,0.94454,0.95273,0.9389,0.9348,0.94252,0.94658,0.95171
"569.7558 / 19.86  ",0.97322,0.96349,0.95119,0.96451,0.964,0.95683,0.95222,0.91859,0.92342,0.92492,0.93039,0.96502,0.96754,0.97435,0.98743,0.97173,0.9911,0.99215,0.99372,0.99319,0.99529,0.99529,0.99005,0.99058,0.99005,0.98639,0.98691,0.98691,0.98691,0.98901,0.99372,0.99424,0.99791,1,0.99948,0.99738,0.99215,0.99581,0.97801,0.98796,0.98377,0.98272,0.98953,0.98639,0.97696,0.98272,0.98691,0.98429,0.97539,0.97801,0.98482,0.98691,0.98482,0.99634,0.99581,0.99581,0.99476,0.98272,0.98691,0.98796,0.9822,0.98586,0.98482,0.97435,0.97487,0.96283,0.96754,0.97068,0.95358,0.95458,0.95056,0.95157,0.97424,0.97732,0.97834,0.96759,0.964,0.96707,0.95529,0.95632,0.96451,0.96246,0.96861,0.96759,0.96707,0.97015,0.97117,0.94966,0.95273,0.96759,0.95478,0.94654,0.95068,0.95119,0.95017,0.94146,0.9348,0.94051,0.94351,0.94658
"801.3629 / 15.49  ",0.9722,0.964,0.94915,0.96502,0.96451,0.95734,0.95324,0.9181,0.92291,0.92694,0.93089,0.96451,0.96806,0.97487,0.98953,0.9712,0.99058,0.99162,0.99319,0.99267,0.99476,0.99476,0.9911,0.99005,0.98953,0.98586,0.98743,0.98743,0.98743,0.9911,0.99319,0.99372,0.99843,0.99948,1,0.99581,0.9911,0.99634,0.97853,0.98743,0.98325,0.98168,0.98848,0.98743,0.97592,0.98168,0.98796,0.98272,0.97592,0.97749,0.98377,0.98639,0.9822,0.99529,0.99476,0.99634,0.99267,0.98377,0.98586,0.98691,0.98063,0.98482,0.98325,0.97225,0.97539,0.96126,0.96649,0.96963,0.95307,0.95408,0.94956,0.95056,0.97322,0.97629,0.97783,0.96656,0.96298,0.96656,0.9558,0.95683,0.964,0.96093,0.97015,0.96861,0.96656,0.96912,0.96963,0.95068,0.95119,0.96707,0.95171,0.94604,0.94966,0.95017,0.95068,0.94095,0.93378,0.94,0.94249,0.94607
"379.7229 / 10.83",0.97015,0.964,0.94761,0.96246,0.96195,0.9558,0.95632,0.91762,0.92543,0.92291,0.9294,0.964,0.96754,0.97173,0.98429,0.97696,0.99058,0.99162,0.99267,0.99215,0.99529,0.99529,0.98586,0.98953,0.98743,0.98377,0.98586,0.98586,0.98586,0.98168,0.99372,0.9911,0.99319,0.99738,0.99581,1,0.99319,0.99372,0.9822,0.99162,0.98743,0.98482,0.99476,0.98796,0.97644,0.98168,0.98168,0.98272,0.97539,0.97958,0.98534,0.98586,0.98743,0.99162,0.99424,0.98953,0.99372,0.98482,0.9911,0.99267,0.98586,0.98901,0.98953,0.97277,0.9733,0.9644,0.97173,0.97487,0.95358,0.95559,0.95307,0.95458,0.97424,0.97424,0.97578,0.9681,0.95939,0.96298,0.95427,0.95478,0.964,0.96195,0.96451,0.96195,0.96656,0.9681,0.96963,0.94966,0.95837,0.96502,0.95939,0.94805,0.9558,0.95888,0.95222,0.94761,0.94249,0.93749,0.94454,0.94607
"344.2183 / 11.11",0.96605,0.95478,0.94812,0.96349,0.96195,0.95273,0.95068,0.91713,0.93598,0.92342,0.93039,0.96451,0.96702,0.97173,0.98325,0.97068,0.99372,0.99267,0.99162,0.98691,0.99319,0.99319,0.98534,0.99215,0.98115,0.97958,0.98272,0.98272,0.98272,0.98429,0.99529,0.9911,0.98901,0.99215,0.9911,0.99319,1,0.99634,0.97592,0.98691,0.98063,0.97644,0.9911,0.98743,0.97801,0.97906,0.9822,0.98639,0.97225,0.97592,0.97644,0.9801,0.97487,0.98691,0.9911,0.98953,0.99005,0.9801,0.98953,0.98168,0.97801,0.9822,0.98168,0.97958,0.98272,0.96545,0.96178,0.96492,0.95257,0.95157,0.95056,0.95106,0.9681,0.97015,0.97066,0.96656,0.9599,0.96912,0.95171,0.95785,0.95939,0.96502,0.96861,0.96144,0.96656,0.96963,0.96963,0.94915,0.95273,0.95427,0.95324,0.94654,0.9471,0.95324,0.9558,0.94146,0.93993,0.9385,0.94454,0.93993
"373.1723 / 9.41  M",0.96912,0.96298,0.94658,0.96554,0.964,0.95529,0.95376,0.91762,0.92895,0.92593,0.93089,0.96502,0.9644,0.97225,0.98586,0.96545,0.99319,0.99267,0.99215,0.98796,0.99476,0.99476,0.98953,0.98953,0.98639,0.98115,0.98796,0.98796,0.98796,0.99005,0.99372,0.9911,0.99424,0.99581,0.99634,0.99372,0.99634,1,0.97853,0.98743,0.98115,0.9801,0.98953,0.98743,0.97435,0.97749,0.98115,0.98272,0.97277,0.9733,0.97592,0.98168,0.97539,0.98953,0.99319,0.99424,0.9911,0.98743,0.9911,0.98429,0.98063,0.98482,0.98325,0.97644,0.98168,0.96492,0.96492,0.96911,0.95458,0.95458,0.95257,0.95307,0.97271,0.97373,0.97424,0.96451,0.96451,0.96963,0.95273,0.95683,0.95939,0.964,0.9722,0.96656,0.96759,0.96861,0.96861,0.9558,0.95427,0.96349,0.95478,0.94754,0.94863,0.95324,0.9558,0.94095,0.9389,0.93799,0.94044,0.94249
"440.2980 / 15.59",0.9471,0.96656,0.94249,0.96298,0.96451,0.97117,0.97476,0.9181,0.93397,0.93598,0.93237,0.96246,0.97749,0.97958,0.97225,0.9822,0.98272,0.98482,0.98325,0.9801,0.97958,0.97958,0.98482,0.98377,0.98272,0.98953,0.99319,0.99319,0.99319,0.9733,0.98272,0.98325,0.97644,0.97801,0.97853,0.9822,0.97592,0.97853,1,0.99476,0.99791,0.99424,0.99058,0.99267,0.98691,0.98639,0.97801,0.97906,0.98063,0.98848,0.98063,0.98272,0.95864,0.96178,0.9644,0.96859,0.96702,0.98901,0.98796,0.98168,0.98429,0.98691,0.98796,0.97539,0.98168,0.9801,0.99267,0.99162,0.94151,0.94654,0.95157,0.94956,0.95837,0.95427,0.95683,0.94812,0.94556,0.94812,0.95683,0.96349,0.96246,0.95683,0.96144,0.96144,0.96349,0.96195,0.95785,0.9471,0.94966,0.94915,0.94658,0.94855,0.97015,0.97066,0.96707,0.97117,0.93993,0.93749,0.95171,0.94556
"345.2137 / 3.57",0.96144,0.96502,0.95017,0.96759,0.97168,0.97168,0.96963,0.92591,0.93498,0.94101,0.93781,0.9681,0.98115,0.98272,0.97539,0.98325,0.99319,0.99476,0.99424,0.99162,0.99162,0.99162,0.99005,0.98953,0.99005,0.98953,0.99372,0.99372,0.99372,0.98377,0.99267,0.99005,0.98691,0.98796,0.98743,0.99162,0.98691,0.98743,0.99476,1,0.99738,0.99581,0.99581,0.99476,0.98901,0.98901,0.98325,0.98272,0.99058,0.98901,0.98901,0.98848,0.97225,0.97696,0.97644,0.9822,0.98272,0.98639,0.99162,0.98901,0.98377,0.98743,0.98901,0.9822,0.98482,0.9822,0.98482,0.98377,0.95207,0.95257,0.95609,0.95509,0.96707,0.96605,0.96656,0.96349,0.95529,0.95837,0.96144,0.96707,0.9681,0.95939,0.96912,0.96707,0.96656,0.96963,0.96759,0.94863,0.95376,0.95785,0.95837,0.95207,0.96195,0.96707,0.96605,0.964,0.94607,0.94503,0.95632,0.95119
"474.2458 / 8.12",0.95376,0.96298,0.94915,0.9681,0.96963,0.97322,0.97373,0.92396,0.93799,0.94051,0.93732,0.96861,0.98377,0.98586,0.97644,0.98691,0.98796,0.99058,0.98953,0.98691,0.98534,0.98534,0.98953,0.99005,0.98534,0.99215,0.99215,0.99215,0.99215,0.97749,0.98743,0.98901,0.9822,0.98377,0.98325,0.98743,0.98063,0.98115,0.99791,0.99738,1,0.99686,0.99319,0.99476,0.9911,0.99162,0.98377,0.98586,0.98534,0.99319,0.98953,0.99005,0.96492,0.97016,0.96963,0.97435,0.97435,0.98377,0.98691,0.98325,0.98168,0.98482,0.98639,0.97801,0.98115,0.98168,0.98901,0.98796,0.94654,0.94754,0.95257,0.95056,0.96144,0.96041,0.96246,0.9558,0.94915,0.95119,0.96298,0.9681,0.96963,0.96144,0.96502,0.96605,0.9681,0.96861,0.96502,0.94402,0.94812,0.95068,0.94966,0.94805,0.96656,0.96707,0.96759,0.97117,0.94249,0.94403,0.95939,0.95324
"480.2445 / 11.07",0.95478,0.96349,0.95376,0.9681,0.97117,0.97373,0.97066,0.92591,0.93448,0.94151,0.93633,0.96912,0.98115,0.98586,0.96911,0.97906,0.98796,0.99058,0.98953,0.98691,0.98586,0.98586,0.99005,0.98482,0.98691,0.98901,0.99162,0.99162,0.99162,0.97749,0.98325,0.98534,0.98272,0.98272,0.98168,0.98482,0.97644,0.9801,0.99424,0.99581,0.99686,1,0.98848,0.98848,0.98901,0.98953,0.97696,0.98325,0.98691,0.98848,0.98901,0.99058,0.96492,0.96963,0.96806,0.97487,0.97539,0.98272,0.98586,0.98115,0.97906,0.98168,0.98377,0.9801,0.97853,0.98482,0.98848,0.98743,0.94855,0.94553,0.95257,0.95006,0.96246,0.96144,0.96144,0.95273,0.95376,0.95171,0.96144,0.96707,0.96861,0.96144,0.96451,0.96861,0.96707,0.96759,0.96502,0.943,0.94658,0.95478,0.95478,0.94553,0.96144,0.96298,0.96554,0.9681,0.94249,0.94553,0.95939,0.95837
"379.7088 / 10.72",0.9599,0.96554,0.94402,0.96093,0.96451,0.96246,0.96554,0.91957,0.92895,0.92945,0.93237,0.96195,0.97277,0.9712,0.97749,0.98586,0.98796,0.99005,0.98901,0.98901,0.99005,0.99005,0.98691,0.98953,0.98534,0.98482,0.98953,0.98953,0.98953,0.9801,0.99162,0.98743,0.98639,0.98953,0.98848,0.99476,0.9911,0.98953,0.99058,0.99581,0.99319,0.98848,1,0.99581,0.97958,0.97958,0.98063,0.98063,0.97958,0.98586,0.98377,0.98534,0.97225,0.97906,0.9822,0.9801,0.98377,0.98534,0.99215,0.99005,0.98482,0.98796,0.98848,0.9733,0.98429,0.96806,0.97801,0.97696,0.95106,0.95458,0.95458,0.95509,0.97117,0.96605,0.9681,0.96502,0.94915,0.95478,0.9558,0.96144,0.96502,0.95734,0.96451,0.96144,0.96298,0.96502,0.96246,0.94966,0.95683,0.95785,0.95529,0.94905,0.964,0.96861,0.964,0.9558,0.94044,0.93246,0.94402,0.94044
"387.2239 / 8.16  M",0.95529,0.96093,0.94505,0.96656,0.96963,0.96861,0.96963,0.92249,0.93598,0.94051,0.93781,0.96554,0.98168,0.98063,0.98272,0.98848,0.98796,0.99058,0.98901,0.98796,0.98691,0.98691,0.99267,0.99319,0.98272,0.98796,0.99005,0.99005,0.99005,0.98534,0.99058,0.98953,0.98639,0.98639,0.98743,0.98796,0.98743,0.98743,0.99267,0.99476,0.99476,0.98848,0.99581,1,0.98482,0.98377,0.98848,0.98429,0.98377,0.99058,0.98586,0.98848,0.95969,0.97435,0.97435,0.97958,0.97592,0.98115,0.98482,0.98168,0.97592,0.98063,0.9801,0.97225,0.98743,0.96963,0.97592,0.97382,0.94855,0.94905,0.95006,0.94905,0.964,0.96195,0.96502,0.96195,0.94556,0.95273,0.96195,0.96912,0.96861,0.95785,0.96963,0.96759,0.96502,0.96707,0.96195,0.94607,0.94607,0.94966,0.94249,0.94604,0.96093,0.96349,0.96861,0.9599,0.93532,0.93749,0.95068,0.94454
"423.2304 / 15.02",0.95119,0.94966,0.96041,0.96707,0.96861,0.9722,0.96041,0.92347,0.94604,0.94,0.93534,0.9681,0.98586,0.99058,0.97068,0.97801,0.98901,0.98953,0.98901,0.98377,0.9801,0.9801,0.98586,0.98901,0.98115,0.99267,0.98586,0.98586,0.98586,0.97644,0.98586,0.99005,0.97749,0.97696,0.97592,0.97644,0.97801,0.97435,0.98691,0.98901,0.9911,0.98901,0.97958,0.98482,1,0.99791,0.98901,0.99058,0.98691,0.99005,0.98586,0.98482,0.95969,0.96754,0.96335,0.97435,0.97016,0.9712,0.97696,0.96911,0.97225,0.97592,0.97749,0.99058,0.98168,0.98691,0.9822,0.9801,0.94051,0.93749,0.94403,0.94051,0.94863,0.9558,0.9558,0.95068,0.95324,0.95939,0.95939,0.96963,0.96554,0.96298,0.96349,0.96605,0.96554,0.97117,0.96861,0.93275,0.93634,0.93941,0.94095,0.94503,0.95324,0.95273,0.9599,0.96349,0.93327,0.95408,0.96656,0.95273
"809.4409 / 19.07  ",0.95734,0.95068,0.95939,0.96963,0.96759,0.96963,0.9599,0.92249,0.94453,0.93799,0.93484,0.97066,0.98377,0.99215,0.97749,0.97592,0.99005,0.99058,0.9911,0.98534,0.98325,0.98325,0.98639,0.9911,0.98272,0.99372,0.98534,0.98534,0.98534,0.97696,0.98796,0.99319,0.98168,0.98272,0.98168,0.98168,0.97906,0.97749,0.98639,0.98901,0.99162,0.98953,0.97958,0.98377,0.99791,1,0.99005,0.99267,0.98429,0.98848,0.98848,0.98691,0.96806,0.97435,0.97016,0.97906,0.97592,0.9733,0.97749,0.97382,0.97487,0.97853,0.9801,0.98691,0.97435,0.98534,0.98115,0.9822,0.94202,0.9395,0.94453,0.94151,0.95171,0.96093,0.96144,0.95376,0.95734,0.96144,0.96041,0.96605,0.96656,0.96656,0.964,0.96656,0.96963,0.97322,0.97271,0.93429,0.9389,0.94402,0.943,0.94553,0.95324,0.95119,0.95529,0.964,0.93634,0.95609,0.96759,0.95734
"428.7079 / 15.05",0.95939,0.95017,0.95427,0.96298,0.96502,0.96349,0.95171,0.9181,0.93297,0.93448,0.93237,0.96195,0.98063,0.98272,0.98534,0.98063,0.98534,0.98691,0.98848,0.98848,0.98272,0.98272,0.98901,0.99215,0.98168,0.9911,0.9822,0.9822,0.9822,0.98691,0.98953,0.99372,0.98848,0.98691,0.98796,0.98168,0.9822,0.98115,0.97801,0.98325,0.98377,0.97696,0.98063,0.98848,0.98901,0.99005,1,0.98691,0.9822,0.98639,0.98586,0.98482,0.96545,0.98272,0.97644,0.98586,0.97696,0.96754,0.97068,0.97225,0.96859,0.97382,0.97225,0.97644,0.97906,0.9644,0.96597,0.96387,0.94101,0.94101,0.93799,0.93699,0.95478,0.96298,0.96554,0.96041,0.95017,0.96041,0.95785,0.96502,0.96554,0.9558,0.96605,0.96759,0.96093,0.96861,0.96605,0.93327,0.93378,0.94607,0.93071,0.94151,0.9471,0.94402,0.95119,0.94556,0.91944,0.94553,0.95273,0.943
"476.7101 / 13.24",0.9558,0.94402,0.96093,0.97066,0.96451,0.96041,0.95478,0.92005,0.95056,0.93196,0.93336,0.9722,0.97749,0.98796,0.98272,0.97435,0.98848,0.98901,0.98743,0.98115,0.98325,0.98325,0.98848,0.99634,0.97225,0.98639,0.97749,0.97749,0.97749,0.97382,0.98691,0.99162,0.9822,0.98429,0.98272,0.98272,0.98639,0.98272,0.97906,0.98272,0.98586,0.98325,0.98063,0.98429,0.99058,0.99267,0.98691,1,0.97225,0.98377,0.98377,0.98796,0.96021,0.97487,0.97539,0.97801,0.97696,0.96754,0.97435,0.96806,0.96702,0.9712,0.97173,0.97906,0.97277,0.9733,0.96649,0.96963,0.94453,0.93649,0.94101,0.93799,0.95324,0.96144,0.96298,0.95478,0.95478,0.96144,0.95785,0.96502,0.96605,0.97527,0.96349,0.96707,0.97322,0.97322,0.97271,0.93327,0.93736,0.93685,0.93429,0.9385,0.94812,0.94658,0.95529,0.95683,0.93122,0.94905,0.96246,0.9558
"479.2499 / 11.58  ",0.95478,0.94915,0.95324,0.9599,0.97015,0.96912,0.9558,0.92347,0.92995,0.94704,0.93286,0.95939,0.98325,0.9822,0.96283,0.97696,0.98586,0.98743,0.98848,0.98848,0.98272,0.98272,0.98429,0.97853,0.98168,0.97958,0.98115,0.98115,0.98115,0.98168,0.98325,0.97958,0.9801,0.97539,0.97592,0.97539,0.97225,0.97277,0.98063,0.99058,0.98534,0.98691,0.97958,0.98377,0.98691,0.98429,0.9822,0.97225,1,0.98115,0.98743,0.9822,0.96283,0.96859,0.96126,0.97696,0.97277,0.96649,0.97173,0.97644,0.96335,0.96859,0.97068,0.97853,0.97696,0.97801,0.97016,0.96492,0.94352,0.93649,0.94,0.9385,0.95119,0.95529,0.95427,0.95939,0.94607,0.95222,0.9558,0.96554,0.96246,0.94454,0.96298,0.96502,0.95222,0.96093,0.9599,0.92814,0.9348,0.94607,0.94505,0.94101,0.94146,0.94915,0.95376,0.95171,0.93173,0.94654,0.95785,0.95119
"485.2395 / 15.33",0.94249,0.95324,0.94812,0.96707,0.97015,0.9722,0.97015,0.92445,0.93799,0.94051,0.93929,0.96759,0.99476,0.98953,0.97906,0.99372,0.98482,0.98848,0.98743,0.98848,0.98272,0.98272,0.99005,0.98586,0.97801,0.98691,0.98377,0.98377,0.98377,0.97749,0.97853,0.98534,0.98063,0.97801,0.97749,0.97958,0.97592,0.9733,0.98848,0.98901,0.99319,0.98848,0.98586,0.99058,0.99005,0.98848,0.98639,0.98377,0.98115,1,0.99319,0.99372,0.96073,0.96806,0.96492,0.96859,0.96335,0.9712,0.97749,0.96545,0.96649,0.97016,0.97173,0.9733,0.97958,0.97068,0.98115,0.97696,0.94403,0.9385,0.94453,0.94302,0.95324,0.95324,0.95683,0.94556,0.93993,0.943,0.96912,0.97373,0.97476,0.95632,0.96298,0.96502,0.96502,0.96759,0.9599,0.93327,0.93019,0.94146,0.94146,0.93347,0.95273,0.95017,0.96963,0.96349,0.94146,0.94352,0.964,0.95683
