"","p[1]","p(corr)[1]"
"163.0755 / 20.44",26.237,0.12437
"163.0869 / 3.04  MNH4",16.009,0.10953
"164.0557 / 4.77",-26.151,-0.11202
"164.1070 / 3.22",-3.3485,-0.014602
"164.9207 / 1.29",54.235,0.6012
"164.9207 / 2.65",52.13,0.40461
"164.9207 / 3.48",56.003,0.44803
"164.9526 / 1.07",4.5189,0.050437
"165.0551 / 6.56",91.473,0.45582
"165.0554 / 2.10  MH",32.053,0.41566
"165.0652 / 7.05  M",86.271,0.48894
"165.0765 / 17.16",22.211,0.12214
"166.0502 / 10.70",-43.104,-0.16663
"166.0586 / 2.12  MH",37.988,0.45093
"166.0727 / 4.75",51.322,0.54252
"166.0727 / 5.78",68.857,0.46697
"166.0727 / 7.21  MH",48.586,0.35843
"166.0837 / 1.79  MNa",-3.9903,-0.056468
"166.0859 / 11.39",-232.4,-0.74077
"166.0859 / 9.33",-25.694,-0.089681
"166.0864 / 14.61",-47.868,-0.22995
"166.0867 / 2.81  MH",33.615,0.41319
"166.0869 / 6.26",34.756,0.19675
"166.1341 / 7.17",47.233,0.14951
"167.0563 / 7.92",129.29,0.53803
"167.0568 / 8.70",115.48,0.52704
"167.0702 / 0.47",80.124,0.43844
"167.0708 / 20.27",24.035,0.089737
"167.0816 / 4.05",33.586,0.13659
"167.0896 / 2.74",38.868,0.44499
"167.1038 / 15.36",-8.0193,-0.056627
"168.0633 / 3.61",71.638,0.4357
"169.0317 / 2.87",30.734,0.52562
"169.0471 / 6.41",16.304,0.064325
"169.0585 / 1.43",58.083,0.65587
"169.0595 / 3.11",26.757,0.39962
"169.0976 / 6.56",49.493,0.64993
"169.9665 / 0.26",50.378,0.18066
"169.9864 / 1.45",-73.42,-0.60423
"170.0007 / 19.09",-15.683,-0.077801
"170.0383 / 2.89",36.706,0.56451
"170.0597 / 5.10",-130.55,-0.53838
"170.0599 / 7.99",69.116,0.68465
"170.0600 / 4.25",38.276,0.43058
"170.0808 / 1.87",49.086,0.40414
"170.0921 / 1.86  MNH4",81.114,0.50577
"170.9691 / 1.88",36.802,0.22475
"171.0513 / 1.11",-10.717,-0.16713
"171.0879 / 3.80",95.555,0.4211
"171.0986 / 10.84",-71.589,-0.28081
"171.1131 / 11.44",-178.08,-0.64476
"171.1490 / 1.00",-71.9,-0.45967
"171.1491 / 19.27  MH",22.686,0.15441
"171.9976 / 19.09",-12.178,-0.077281
"172.0055 / 9.90",-135.16,-0.48913
"172.5739 / 13.85  M2H2",-28.621,-0.12696
"172.9740 / 2.69",-21.362,-0.23221
"172.9741 / 0.57",33.07,0.11293
"172.9742 / 4.90",31.561,0.15317
"172.9745 / 31.93",23.43,0.2096
"172.9900 / 2.46",-8.99,-0.13797
"173.0143 / 1.84",-33.351,-0.74427
"173.0277 / 1.94",-13.072,-0.50236
"173.0788 / 3.14",-0.29842,-0.0054003
"173.0810 / 10.20",-29.112,-0.11599
"173.0811 / 13.93",25.413,0.26464
"173.0812 / 16.46",102.29,0.37273
"173.0915 / 3.40  MNH4",0.34696,0.0051614
"173.1284 / 2.15",-54.738,-0.2253
"173.1286 / 4.54",-80.78,-0.34445
"173.1286 / 7.10",-231.17,-0.76265
"173.1286 / 9.44",-180.08,-0.6201
"173.1288 / 10.77",-250.99,-0.79009
"173.9572 / 2.68",8.3042,0.20974
"173.9573 / 8.04",-12.399,-0.055404
"173.9574 / 7.39",61.901,0.23647
"173.9609 / 3.74  M",-52.41,-0.1812
"173.9609 / 4.63",-30.353,-0.1094
"173.9610 / 8.75  M",-78.87,-0.30267
"173.9610 / 9.74  M",48.834,0.19026
"173.9617 / 0.72",-6.852,-0.20202
"173.9618 / 10.90",-62.699,-0.25622
"173.9620 / 5.43  M",70.35,0.25652
"173.9623 / 29.58",5.6585,0.037806
"174.0394 / 3.18",-14.153,-0.095657
"174.0532 / 7.27  MNa",-130.86,-0.36888
"174.0553 / 4.48",50.965,0.30729
"174.0557 / 3.04",-6.6704,-0.060499
"174.0586 / 16.27",-61.594,-0.29094
"174.1121 / 1.74  M",125.12,0.65974
"174.1242 / 2.46",141.99,0.62387
"174.9649 / 14.27",-8.5386,-0.03105
"174.9650 / 29.23",-30.768,-0.096234
"174.9680 / 0.71",-13.634,-0.26679
"174.9682 / 12.90",-43.264,-0.15588
"174.9683 / 12.39",-78.474,-0.28204
"174.9685 / 7.16",60.248,0.20405
"174.9686 / 11.59",-18.999,-0.065811
"174.9687 / 10.16",-7.5866,-0.026954
"174.9687 / 8.73  MH",9.4856,0.039744
"174.9687 / 9.33  MH",24.921,0.086609
"174.9691 / 3.61  MH",64.936,0.21418
"174.9694 / 15.65",-74.201,-0.29202
"174.9695 / 18.91",-61.08,-0.25868
"174.9697 / 0.02",-11.923,-0.20074
"174.9697 / 4.53",-25.684,-0.083005
"174.9698 / 2.91",13.409,0.099173
"174.9699 / 31.99",-60.177,-0.3647
"174.9700 / 11.03",22.65,0.085398
"174.9700 / 5.19  MH",86.724,0.29625
"175.0227 / 2.02",3.2343,0.070734
"175.0348 / 5.77",-32.216,-0.34871
"175.0349 / 5.25",10.301,0.063397
"175.0412 / 1.08",33.714,0.40858
"175.0479 / 5.84  MNa",-3.5156,-0.040369
"175.0486 / 7.76",121.21,0.63593
"175.0788 / 5.43",-28.269,-0.1017
"175.0875 / 2.30  MNH4",36.737,0.23362
"175.1183 / 8.62",-18.137,-0.076628
"175.1191 / 15.20",-17.74,-0.076922
"175.1197 / 1.43  MH",69.494,0.75316
"175.1197 / 4.98",-99.331,-0.40583
"175.1443 / 21.87",2.1087,0.16752
"175.9718 / 31.38",-18.153,-0.17873
"176.0655 / 1.90",1.7519,0.029107
"176.0710 / 14.84",54.374,0.39675
"176.1031 / 1.45  MNH4",-17.865,-0.19886
"177.0033 / 0.48",144.62,0.54693
"177.0064 / 1.06",-83.086,-0.68521
"177.0400 / 1.62",135.38,0.54931
"177.0506 / 8.32",-82.218,-0.68794
"177.0543 / 21.26",-2.9873,-0.12311
"177.0549 / 13.72",38.494,0.14847
"177.0620 / 1.19",-0.10247,-0.00093953
"177.0916 / 20.44  MH",19.015,0.072548
"177.1022 / 8.55",-38.168,-0.24575
"177.1028 / 7.64  MH",157.95,0.4033
"177.1033 / 3.72",-222.65,-0.68246
"177.1274 / 23.15",-38.834,-0.15349
"177.9914 / 1.82",-61.895,-0.76394
"178.0862 / 2.60  MCH3OHH",82.703,0.44038
"178.1046 / 7.97",62.052,0.18609
"178.9862 / 1.04",37.339,0.52304
"179.0454 / 1.95",44.754,0.55299
"179.0706 / 4.86  MH",192.47,0.71538
"180.0773 / 3.16",67.184,0.27107
"180.0886 / 10.24",61.172,0.43019
"180.1011 / 1.82",-42.96,-0.26879
"180.9357 / 1.99",-9.158,-0.11565
"180.9745 / 0.35  MK",-47.799,-0.66739
"180.9782 / 26.82  MNa",1.6554,0.15705
"180.9787 / 27.99  MNa",0.28876,0.026423
"180.9848 / 7.56",-48.377,-0.15858
"181.0089 / 1.43",148.92,0.72973
"181.0604 / 3.70",-41.509,-0.16539
"181.0720 / 2.24",122.56,0.55924
"181.0730 / 13.38",143.8,0.61134
"181.0731 / 12.44",139.2,0.62469
"181.0731 / 14.12",172.34,0.61009
"181.0866 / 21.37",-25.445,-0.13432
"182.0274 / 5.46",-89.791,-0.33051
"182.0670 / 8.07",84.092,0.46599
"182.0676 / 5.66",2.8266,0.0318
"182.0745 / 13.40",168.58,0.6213
"182.0754 / 14.15",93.348,0.38544
"182.0819 / 9.70",-87.195,-0.3234
"182.0821 / 2.13  MNH4",31.641,0.38892
"182.9325 / 1.86",19.188,0.11988
"183.0520 / 6.49",131.18,0.58107
"183.0623 / 2.47",21.499,0.18025
"183.0846 / 2.10  MNH4",35.462,0.41583
"183.0846 / 9.67",-78.693,-0.29654
"183.1124 / 1.84",-29.246,-0.15673
"183.1127 / 5.23",20.95,0.08644
"183.1128 / 6.86  MH",-193.37,-0.63309
"184.0457 / 1.04",33.29,0.40984
"184.0734 / 1.45  MH",20.747,0.22075
"184.0967 / 4.78",88.824,0.52954
"184.0968 / 11.16",240.48,0.8268
"184.9795 / 2.31",18.32,0.26494
"185.0128 / 6.41",21.489,0.15097
"185.0921 / 3.17",35.391,0.26324
"185.1109 / 17.26",3.1102,0.06597
"185.1133 / 1.07",-12.561,-0.10321
"185.1182 / 22.62",-17.118,-0.094689
"185.1284 / 7.28",-198.98,-0.65168
"185.1290 / 10.40  MH",53.152,0.52696
"185.1658 / 7.28",-20.365,-0.10044
"185.9958 / 9.07",-8.1675,-0.048711
"186.0560 / 3.61",146.47,0.68082
"186.0875 / 1.84  MH",80.317,0.53554
"186.1097 / 1.80",29.765,0.30638
"186.1318 / 10.47",107.38,0.48398
"186.9914 / 1.33  MH",0.21503,0.017718
"186.9915 / 20.54",1.3275,0.0042495
"186.9916 / 25.91",2.0081,0.11381
"186.9953 / 16.88",-40.721,-0.13645
"186.9954 / 10.17",-69.421,-0.2682
"186.9954 / 15.60",-28.617,-0.10913
"186.9955 / 11.79",-2.7292,-0.010094
"186.9955 / 12.31",-22.637,-0.094749
"186.9955 / 13.18",-33.13,-0.1148
"186.9957 / 13.75",32.425,0.1224
"186.9958 / 10.81",24.292,0.087205
"186.9959 / 28.15",68.736,0.27161
"186.9960 / 21.78",12.124,0.26358
"186.9963 / 26.71",-1.7085,-0.095591
"186.9963 / 27.41",-11.893,-0.4295
"186.9965 / 24.60",7.6799,0.40193
"186.9965 / 25.36",75.508,0.20342
"186.9969 / 18.12",-99.932,-0.31775
"187.0060 / 3.98",-1.9275,-0.026222
"187.0275 / 1.06",-18.993,-0.22182
"187.0286 / 29.23",-34.592,-0.16147
"187.0287 / 31.57",-17.763,-0.27395
"187.0411 / 2.46",2.3871,0.075569
"187.0583 / 1.53  MH",51.441,0.60293
"187.0720 / 3.76",-235.49,-0.78877
"187.1077 / 8.44",-151.85,-0.56044
"187.1079 / 3.27",-155.69,-0.59924
"187.1079 / 6.16",-0.5171,-0.0017601
"187.1081 / 1.83  MH",-62.437,-0.4871
"187.1084 / 5.42",-166.18,-0.60131
"187.1086 / 15.89",-134.85,-0.50354
"187.1087 / 4.74",-164.97,-0.57905
"187.1441 / 13.29",-223.19,-0.70939
"187.1446 / 2.41",-198.7,-0.58091
"187.1652 / 22.44",-3.5941,-0.23278
"187.9769 / 0.39",21.813,0.092896
"187.9983 / 1.21",2.2531,0.16426
"188.0694 / 2.75  MNa",27.109,0.43591
"188.0713 / 8.01  MH",58.494,0.60386
"188.0715 / 4.25  MH",28.063,0.36269
"188.0715 / 4.80  MH",70.589,0.17509
"188.1293 / 2.09",156.52,0.70247
"188.9852 / 1.93",-23.395,-0.37198
"189.0072 / 2.22",-17.269,-0.70401
"189.0072 / 3.10",-16.574,-0.42368
"189.0434 / 2.34",-21.72,-0.48914
"189.0736 / 8.01",65.721,0.624
"189.0737 / 1.79",-29.764,-0.40794
"189.0741 / 4.42  MH",35.58,0.4126
"189.0822 / 21.54",-0.092232,-0.0059281
"189.1237 / 11.44",-148.64,-0.5467
"189.1240 / 1.70  MNH4",-38.527,-0.31349
"189.1240 / 2.28",-46.121,-0.19951
"190.0769 / 4.21",39.252,0.43617
"190.0863 / 18.67",11.826,0.07046
"190.1075 / 3.76",180.61,0.72828
"190.1189 / 1.83",76.466,0.38865
"191.0298 / 6.41  MH",4.4856,0.025017
"191.0410 / 1.43",57.811,0.709
"191.0453 / 2.02  MH",51.571,0.57566
"191.0639 / 13.61",32.7,0.19978
"191.0765 / 1.36",26.009,0.27804
"191.1073 / 20.50",-9.3858,-0.068392
"192.0327 / 2.03  MH",-13.428,-0.079734
"192.0663 / 10.84",330.22,0.90411
"192.0664 / 4.48",52.313,0.26456
"192.0666 / 3.04  MH",-5.0076,-0.04719
"192.1022 / 4.97",160.09,0.66347
"193.0792 / 12.16",15.699,0.057962
"193.0835 / 13.32",29.493,0.23741
"193.0840 / 13.85",39.317,0.16876
"193.0978 / 3.86  MH",144.36,0.46887
"193.1315 / 19.27  MNa",22.69,0.15739
"193.1396 / 12.40",-81.79,-0.32194
"193.1547 / 21.84",2.2288,0.1563
"194.0448 / 2.55",125.24,0.58819
"194.9512 / 2.40",43.555,0.33792
"195.0655 / 11.58",-43.311,-0.18219
"195.0763 / 3.57",5.1334,0.040721
"195.0882 / 1.01",-1.9203,-0.016445
"195.0886 / 17.42  MH",155.11,0.55196
"195.1127 / 11.19",76.028,0.42993
"195.1705 / 22.47",-1.1193,-0.09679
"196.0608 / 2.54",287,0.88976
"196.0917 / 17.48",193.6,0.55338
"196.0976 / 18.57",-168.04,-0.65208
"196.0976 / 4.83  MNH4",68.492,0.2611
"197.0668 / 11.51",63.589,0.31842
"197.0808 / 19.63",29.925,0.20491
"197.1035 / 5.64  MH",-76.513,-0.36756
"197.1286 / 3.74",103.79,0.54119
"197.1286 / 7.15",27.501,0.12633
"197.1288 / 11.75  MH",-96.345,-0.49587
"197.1290 / 2.57  MH",-208.27,-0.64516
"197.1293 / 12.26  MH",45.188,0.61293
"198.0437 / 5.02",93.454,0.52531
"198.0581 / 11.78",-65.956,-0.28297
"198.0588 / 20.78",7.5957,0.045
"198.0761 / 4.72",144.62,0.61534
"198.0856 / 1.45",-8.483,-0.085814
"198.0874 / 2.93  MNH4",175.82,0.77948
"198.1128 / 16.23",265.02,0.87784
"198.1131 / 2.22  MH",152.57,0.59757
"198.1812 / 21.74",0.94781,0.067451
"199.0219 / 1.62",81.946,0.29999
"199.0846 / 7.65  MNa",46.778,0.14905
"199.1084 / 6.99",159.94,0.67331
"199.1338 / 22.62",17.591,0.080537
"199.1808 / 21.13",-19.537,-0.17717
"200.9852 / 2.43",115.92,0.5651
"201.0061 / 1.82",-43.694,-0.68967
"201.0212 / 8.36",-112.59,-0.58566
"201.0611 / 3.93",-8.3067,-0.18963
"201.0876 / 2.67",-68.655,-0.28752
"201.0876 / 3.83",-46.406,-0.34017
"201.1231 / 1.80",-100.35,-0.62002
"201.1231 / 3.05",-82.181,-0.35692
"201.1234 / 14.17",-147.46,-0.54732
"201.1234 / 8.56",-211.09,-0.66734
"201.1235 / 9.44  MH",-216.82,-0.66886
"201.1236 / 6.04",-203.06,-0.68127
"201.1238 / 2.47",-87.707,-0.34513
"201.1239 / 10.77",-212.21,-0.65833
"201.1239 / 13.65",-195.97,-0.60867
"201.1241 / 7.04",-243.31,-0.77
"202.0477 / 9.07",119.33,0.48924
"202.0502 / 4.48",33.079,0.20794
"202.1071 / 13.33",114.86,0.41505
"202.1081 / 4.80",74.836,0.52188
"202.1178 / 2.66",-92.855,-0.3968
"202.1803 / 2.52",-51.695,-0.21226
"202.1811 / 1.80",-22.576,-0.21049
"202.2169 / 19.74",-4.5147,-0.097497
"202.9689 / 1.33",-11.397,-0.47933
"203.0225 / 2.51",-4.575,-0.17967
"203.0356 / 1.08  M",26.115,0.33488
"203.0357 / 3.47",39.069,0.23913
"203.0358 / 6.79",60.001,0.2486
"203.0483 / 2.38",2.2392,0.014958
"203.0522 / 10.54",30.82,0.1408
"203.0533 / 1.46",87.002,0.76438
"203.0538 / 14.15",127.64,0.42453
"203.0824 / 2.30  2MNa",26.878,0.2682
"203.1017 / 21.61",6.9399,0.33952
"203.1058 / 22.30",0.18443,0.0072373
"203.1139 / 1.87  MNH4",82.639,0.54749
"203.1402 / 2.35  MNH4",-245.15,-0.6767
"203.1840 / 1.75",-28.023,-0.23809
"203.2232 / 1.00",-185.99,-0.62948
"204.0427 / 1.04  MH",30.264,0.37038
"204.0569 / 1.46",103.99,0.77665
"204.0636 / 2.09",39.902,0.5505
"204.1233 / 7.36",193.74,0.7145
"204.1238 / 1.59  MCH3OHH",26.71,0.40159
"204.1347 / 2.27  MNH4",0.73435,0.0028209
"204.1354 / 3.49",-92.726,-0.34679
"204.9802 / 1.96",-15.023,-0.22225
"205.0391 / 1.04",16.285,0.3216
"205.0675 / 1.46  MNH4",35.468,0.51247
"205.0813 / 3.47",-146.33,-0.49695
"205.0826 / 19.24",56.845,0.29082
"205.0865 / 22.73",-8.9929,-0.40518
"205.0977 / 4.84  MNH4",-43.012,-0.16257
"205.0979 / 4.28  MNH4",35.658,0.40015
"205.0982 / 3.72",-199.05,-0.61505
"205.1175 / 21.54  MH",1.4768,0.10661
"205.1232 / 20.44",-16.648,-0.16283
"205.1265 / 3.57",-132.34,-0.52972
"205.1273 / 1.77",12.208,0.13933
"205.9856 / 1.79",-54.415,-0.66574
"206.0478 / 2.55",112.11,0.61372
"206.0819 / 12.88",-3.5271,-0.024458
"206.1004 / 4.22  MNH4",37.63,0.41374
"207.0856 / 5.71",13.244,0.088424
"207.0972 / 20.68",-3.5668,-0.31203
"207.1102 / 11.22",-97.08,-0.48946
"207.1112 / 10.40",69.748,0.58068
"207.1135 / 6.78",-110.74,-0.37621
"207.1310 / 20.77",-0.7435,-0.06249
"208.0428 / 12.79",-45.041,-0.18275
"208.0428 / 5.46  MH",-127.39,-0.41423
"208.0612 / 7.60",346.2,0.93333
"208.0716 / 2.05  MNH4",63.89,0.31406
"208.0719 / 11.46",-16.065,-0.096239
"208.1146 / 10.42",84.98,0.54151
"208.1342 / 4.84  MH",162.86,0.51161
"208.1654 / 21.74",3.3063,0.2071
"209.0561 / 1.99  MH",49.267,0.51585
"209.0933 / 3.04  MNH4",-4.4026,-0.040665
"209.1040 / 4.98",95.562,0.34004
"209.1174 / 20.92  MCH3OHH",-8.3389,-0.069146
"209.1178 / 22.13",-86.745,-0.47295
"209.1373 / 4.81",56.333,0.20584
"209.1490 / 21.64  MH",2.5928,0.15321
"209.1654 / 11.10",5.0038,0.038554
"209.1903 / 0.47",52.252,0.33036
"210.0512 / 2.73",9.3247,0.25618
"210.0525 / 7.92  MNa",42.842,0.6198
"210.1126 / 3.22",38.863,0.20833
"211.0581 / 7.82  MH",67.118,0.41401
"211.0729 / 6.75",30.329,0.11812
"211.0994 / 1.44",-20.573,-0.13831
"211.1069 / 6.75",47.352,0.25534
"211.1308 / 17.75",129.89,0.55242
"211.1310 / 11.48",148.31,0.64955
"211.1444 / 7.33",201.04,0.72079
"211.1446 / 15.87",18.455,0.23611
"211.1450 / 16.82",20.169,0.27573
"211.1646 / 21.84  MH",0.91088,0.067431
"212.0534 / 2.55",41.429,0.39327
"212.0599 / 8.27",-8.6243,-0.052513
"212.0914 / 2.22",-67.262,-0.25471
"212.1024 / 1.86",83.394,0.48889
"212.1410 / 7.96",-53.215,-0.20194
"212.1599 / 21.28",0.08094,0.0034403
"213.0114 / 6.48  MNa",33.932,0.19786
"213.0866 / 2.54  MCH3OHH",73.194,0.37121
"213.1238 / 1.81",26.106,0.13368
"213.1588 / 11.05",-141.37,-0.55176
"213.1607 / 7.31",34.071,0.14756
"213.1789 / 20.36",1.8241,0.015958
"214.0505 / 6.99",61.315,0.23244
"214.0715 / 3.32  MH",161.21,0.56693
"214.1305 / 5.61  MNH4",-99.7,-0.4176
"214.1756 / 21.41",-0.6243,-0.037923
"215.0159 / 2.02  MH",45.907,0.38517
"215.0489 / 3.56",46.642,0.24749
"215.0504 / 22.27",-50.04,-0.23992
"215.0790 / 3.86  MNa",-7.1863,-0.027362
"215.0809 / 9.22",16.578,0.083696
"215.0812 / 7.96  MH",-44.336,-0.54309
"215.1039 / 4.77",-121.2,-0.42402
"215.1258 / 15.70",-43.899,-0.17155
"215.1262 / 13.01",-55.581,-0.41659
"215.1384 / 7.22  MCH3OHH",-181.68,-0.60995
"215.1384 / 9.28",-184.89,-0.61115
"215.1391 / 1.88  MNH4",-12.709,-0.090146
"215.1391 / 3.90",-183.13,-0.57793
"215.1393 / 3.12",-205.03,-0.52002
"215.1394 / 10.06",-244.81,-0.7558
"215.1397 / 12.51",-134.1,-0.4735
"215.1397 / 2.41",-124.2,-0.3387
"215.1398 / 11.77",-195.84,-0.64391
"215.1401 / 5.35",-100.34,-0.38827
"215.1962 / 23.06",0.0053822,0.00034653
"216.0330 / 2.27",47.104,0.3327
"216.0993 / 1.59  MCH3OHH",156.29,0.71816
"216.1236 / 2.25  MH",151.67,0.60452
"216.1281 / 12.72",-143.08,-0.51044
"216.1593 / 2.62",-128.74,-0.48321
"217.0161 / 2.46",15.606,0.2679
"217.0398 / 3.94",-11.733,-0.28953
"217.0484 / 20.02",6.592,0.30459
"217.0700 / 17.43  MNa",206.73,0.63672
"217.0826 / 3.21",-143.82,-0.50203
"217.1031 / 1.81",25.902,0.2695
"217.1054 / 5.97",-5.7555,-0.13457
"217.1076 / 13.93",32.812,0.22588
"217.1078 / 16.42  MH",66.417,0.28974
"217.1127 / 22.44",-2.6656,-0.18702
"217.1182 / 1.80",13.445,0.12829
"217.1286 / 1.80",39.195,0.25589
"217.1366 / 11.87",-139.83,-0.58118
"217.1516 / 22.47",-1.801,-0.13852
"217.1556 / 2.15",-122.63,-0.4974
"218.1399 / 2.12  MCH3OHH",45.908,0.49621
"218.1502 / 1.12",-196.03,-0.69689
"218.2118 / 14.45",-11.999,-0.26152
"218.9697 / 5.43",45.32,0.21676
"218.9961 / 2.43",7.9894,0.11242
"219.0127 / 12.06",-28.479,-0.10794
"219.0128 / 3.89",-20.277,-0.10438
"219.0128 / 6.18",32.659,0.1315
"219.0128 / 9.66",37.768,0.19127
"219.0129 / 7.97",23.89,0.13995
"219.0129 / 8.98",36.067,0.13433
"219.0170 / 1.85  MH",-32.985,-0.7291
"219.0171 / 1.09  MCH3OHH",-88.735,-0.70246
"219.0524 / 2.17",-2.13,-0.027284
"219.0837 / 1.40  MCH3OHH",74.503,0.77751
"219.1023 / 20.50",-17.327,-0.21751
"219.1352 / 2.19  MNH4",-22.972,-0.18753
"219.1737 / 22.63",-2.1035,-0.28516
"219.1748 / 23.15",-13.057,-0.048874
"220.0611 / 4.45  MH",79.623,0.35566
"220.0676 / 1.45  MCH3OHH",-8.1726,-0.095603
"220.1178 / 1.62",125.87,0.73725
"220.1189 / 4.80  MH",56.521,0.59477
"220.1548 / 2.69",-26.589,-0.099898
"220.9047 / 1.36",24.355,0.36643
"221.0036 / 1.80",76.309,0.67081
"221.0904 / 6.99",101.5,0.42923
"221.0933 / 2.30  MH",42.355,0.26885
"221.1219 / 4.83",101.29,0.5295
"221.1464 / 21.58  MH",-3.3101,-0.19619
"221.1630 / 21.13",-19.536,-0.19706
"221.1718 / 9.47  M2H2",-42.495,-0.15495
"221.1751 / 24.25",-8.1408,-0.19981
"222.0087 / 10.70",5.1075,0.021846
"222.0932 / 7.02",38.883,0.19006
"222.1136 / 3.20",164.53,0.71699
"222.9019 / 1.36",27.871,0.37034
"222.9959 / 7.59",-26.653,-0.097111
"223.0585 / 3.18",35.114,0.12413
"223.0586 / 4.47",46.907,0.21827
"223.0587 / 0.05",-25.086,-0.087553
"223.0587 / 12.64",-124.8,-0.49376
"223.0587 / 9.20",-18.425,-0.078482
"223.0588 / 11.86",-10.208,-0.039035
"223.0588 / 2.08",35.602,0.17115
"223.0621 / 21.44",31.276,0.16806
"223.0635 / 0.91",26.954,0.19214
"223.0635 / 5.52",8.4812,0.037237
"223.0636 / 6.52",48.529,0.24422
"223.0636 / 7.35",-73.47,-0.27315
"223.0638 / 2.68",-2.2659,-0.0090449
"223.0639 / 7.94",-21.83,-0.08139
"223.0643 / 10.63",49.75,0.18488
"223.0644 / 10.09",45.366,0.17285
"223.0646 / 31.56",21.517,0.10088
"223.1055 / 5.23",73.396,0.34658
"223.1079 / 7.72",-96.238,-0.33855
"223.1083 / 3.05",-82.103,-0.56646
"223.1259 / 21.28",0.1282,0.009328
"223.1557 / 8.36",-179.03,-0.61268
"223.2056 / 0.47",44.238,0.2755
"224.0301 / 9.07",104.69,0.4915
"224.0670 / 7.05",116.79,0.51646
"225.0108 / 1.08",53.673,0.4054
"225.0365 / 13.38",222.05,0.67604
"225.0372 / 12.47",171.44,0.58923
"225.0693 / 5.40  MNH4",-51.271,-0.19836
"225.0733 / 3.44",173.99,0.65124
"225.1219 / 2.35",-94.853,-0.36105
"225.1239 / 11.98",-142.13,-0.51722
"225.1954 / 21.71  MH",-13.864,-0.1738
"226.0443 / 2.09",33.224,0.47253
"226.0828 / 2.05  MNH4",35.943,0.26033
"226.1753 / 21.74  MNH4",1.7875,0.13287
"227.0084 / 1.08",43.742,0.41059
"227.0296 / 6.66",72.649,0.43021
"227.0785 / 4.28  MH",42.481,0.50543
"227.1000 / 21.54  MNa",2.5384,0.14502
"227.1029 / 5.21  MH",45.302,0.25665
"227.1032 / 2.09",-57.36,-0.18736
"227.1217 / 19.87",7.1256,0.26943
"227.1763 / 10.27  MH",19.069,0.12959
"227.1764 / 11.06  MH",1.5227,0.012993
"228.0770 / 10.71",70.025,0.28967
"228.1346 / 1.80",-90.56,-0.35435
"228.1784 / 11.30",-1.0247,-0.008297
"228.1908 / 21.84  MNH4",1.3001,0.092489
"228.1963 / 24.27",-8.0669,-0.20407
"228.2695 / 20.84",22.288,0.29063
"229.0384 / 5.18",-22.296,-0.1508
"229.0387 / 5.88",-98.921,-0.45304
"229.0785 / 20.68",-2.966,-0.25591
"229.1182 / 8.65",-222.76,-0.72136
"229.1185 / 9.35",-185.07,-0.60393
"229.1190 / 6.92  MH",-110.65,-0.45582
"229.1192 / 1.86  MH",-96.939,-0.61786
"229.1193 / 13.68",-176.3,-0.56782
"229.1205 / 22.10",-2.4646,-0.01813
"229.1403 / 18.13",40.962,0.18395
"229.1545 / 6.59",-105.22,-0.42849
"229.1548 / 4.19",-108.88,-0.34036
"229.1549 / 9.83",-181.74,-0.57572
"229.1551 / 11.36  MCH3OHH",-159.07,-0.55423
"229.1553 / 15.50",-230.32,-0.71401
"229.1554 / 1.83",40.018,0.43062
"229.1554 / 12.51  MCH3OHH",-277.49,-0.75315
"229.1554 / 2.96  MCH3OHH",38.72,0.35911
"229.1554 / 6.02  MH",-128.08,-0.38752
"229.1558 / 2.38",26.553,0.30058
"229.1558 / 5.08  MH",-284.61,-0.72997
"229.9880 / 1.83  MK",-113.3,-0.60907
"230.0404 / 2.39",7.6647,0.043947
"230.0962 / 1.61",46.426,0.2493
"230.1140 / 3.47",-240.97,-0.76658
"230.1141 / 12.11",-207.08,-0.69357
"230.1160 / 4.81  MNa",148.18,0.48758
"230.1214 / 1.80",-21.111,-0.12083
"230.1386 / 2.10  MH",110.03,0.56477
"230.1534 / 5.50",-182.5,-0.51041
"230.1568 / 1.86",30.886,0.33011
"230.1575 / 2.68",42.957,0.30308
"230.1878 / 2.06",-19.311,-0.11957
"230.2498 / 20.69",-10.182,-0.28153
"231.0449 / 21.56  MH",-53.526,-0.25518
"231.0468 / 1.62",144.93,0.52195
"231.0552 / 8.32",-84.17,-0.70192
"231.0683 / 4.07  MH",-3.9954,-0.016741
"231.0750 / 3.06",-3.115,-0.034031
"231.0936 / 20.90",-3.5548,-0.16805
"231.0938 / 20.22",3.3543,0.19954
"231.0975 / 2.53",-1.233,-0.0084594
"231.0978 / 3.32  MNH4",58.549,0.24182
"231.0979 / 1.81",16.176,0.11045
"231.1155 / 9.54",-28.985,-0.1649
"231.1456 / 2.14",100.28,0.52183
"231.1504 / 21.11",-20.29,-0.095141
"231.1720 / 3.82",-203.56,-0.66553
"232.0284 / 7.44",-217.88,-0.57688
"232.0618 / 7.49",-69.692,-0.40977
"232.0643 / 11.75  MH",242.76,0.79119
"232.0971 / 3.60",148.02,0.62043
"232.1081 / 7.96  MNH4",-158.83,-0.50814
"232.1565 / 3.31",48.594,0.4502
"232.1735 / 3.82",26.72,0.15043
"232.9862 / 10.75",-17.419,-0.079108
"233.0117 / 3.98",-6.7873,-0.086941
"233.0331 / 2.45",-11.63,-0.2383
"233.0389 / 7.85  MNa",-62.752,-0.2821
"233.0688 / 4.98  MH",-61.967,-0.20846
"233.0709 / 19.77",21.587,0.506
