"","p[1]","p(corr)[1]"
"145.1048 / 1.84",37.082,0.52869
"146.0268 / 1.81",32.806,0.17027
"146.0271 / 2.49",24.338,0.11591
"146.0603 / 4.28",35.377,0.42067
"146.0604 / 11.12",220.19,0.73465
"146.0604 / 8.03",67.493,0.62197
"146.0606 / 3.04  MH",-1.0751,-0.0096902
"146.1177 / 1.48",3.4773,0.047621
"146.1654 / 1.00",-1.0137,-0.005616
"146.9706 / 0.06",-23.073,-0.087613
"146.9706 / 4.59",3.1275,0.0126
"146.9706 / 7.14",-47.066,-0.32679
"146.9706 / 9.11",-32.444,-0.18293
"146.9743 / 12.91",-54.589,-0.24439
"146.9743 / 17.35",-9.6503,-0.042289
"146.9744 / 11.24",16.333,0.066752
"146.9744 / 18.14",-3.3037,-0.027552
"146.9744 / 2.52  MCH3OHH",69.605,0.23017
"146.9745 / 0.61",47.743,0.25084
"146.9745 / 10.41",-51.118,-0.2072
"146.9745 / 3.71",-35.98,-0.15055
"146.9746 / 29.02  MCH3OHH",137.73,0.46757
"147.0291 / 1.84",47.782,0.41409
"147.0443 / 2.13  MCH3OHH",35.464,0.45353
"147.0629 / 4.21",38.896,0.43611
"147.0763 / 1.43  MNH4",44.497,0.55946
"147.0766 / 10.59  MNH4",42.204,0.31436
"147.1132 / 1.03  MNH4",53.238,0.26026
"148.0471 / 2.09",37.576,0.4558
"148.0569 / 2.84",11.719,0.07638
"149.0198 / 1.64",-8.5327,-0.32019
"149.0198 / 21.80",-19.62,-0.060194
"149.0199 / 20.51",-5.3802,-0.023839
"149.0200 / 21.28",-6.6162,-0.33462
"149.0202 / 18.59",-107.13,-0.31786
"149.0223 / 19.92",-124.39,-0.41413
"149.0229 / 2.41",2.8264,0.12053
"149.0230 / 19.20",-145.65,-0.48654
"149.0231 / 24.10",-1.9119,-0.12881
"149.0231 / 7.69",38.262,0.12882
"149.0233 / 22.73",-8.8319,-0.48409
"149.0234 / 12.45",-45.326,-0.27373
"149.0235 / 16.26",-85.174,-0.28675
"149.0236 / 3.08",136.97,0.5179
"149.0237 / 0.04",-30.409,-0.081994
"149.0237 / 4.42",117.53,0.40713
"149.0238 / 28.59",-7.3309,-0.29047
"149.0239 / 14.85",-10.774,-0.045422
"149.0239 / 15.53",-67.99,-0.33679
"149.0239 / 8.26",72.426,0.22915
"149.0240 / 13.06",-112.95,-0.43611
"149.0240 / 17.31",-16.181,-0.084284
"149.0240 / 8.82",-114.45,-0.38557
"149.0242 / 11.81",-115.46,-0.46848
"149.0242 / 18.00",-69.362,-0.22852
"149.0587 / 2.74",39.379,0.45004
"150.0223 / 2.44",80.48,0.3756
"150.0549 / 3.04",14.825,0.10258
"150.0586 / 1.77  MNH4",50.101,0.49778
"150.0773 / 1.80",50.212,0.49751
"150.0909 / 1.80",46.042,0.42503
"150.0915 / 4.86",193.63,0.70631
