"","Fold Change","log2(FC)"
"267.9343 / 12.83",0.1471,-2.7651
"254.0595 / 11.34",6.7817,2.7617
"401.1850 / 21.59",0.14752,-2.761
"192.1022 / 4.97",6.7722,2.7596
"494.7777 / 21.11",0.14791,-2.7572
"261.0081 / 8.63",6.7542,2.7558
"173.0137 / 1.04",0.14815,-2.7548
"206.0825 / 3.58",6.7418,2.7531
"656.1574 / 7.30",6.7207,2.7486
"278.1253 / 1.60",6.6897,2.742
"431.9379 / 8.96",0.14964,-2.7405
"320.1233 / 7.05  MNH4",0.1498,-2.7389
"103.9201 / 8.50",0.15007,-2.7363
"247.1113 / 3.61",0.15013,-2.7357
"305.0833 / 1.84",6.644,2.7321
"257.1626 / 8.99  MNa",6.6368,2.7305
"696.1672 / 21.69  MNa-2H-",0.15092,-2.7281
"377.2566 / 23.51",0.15093,-2.728
"287.2024 / 22.58",0.15097,-2.7277
"185.1133 / 1.07",0.15133,-2.7242
"448.3075 / 22.49",0.15136,-2.724
"272.9379 / 9.91",0.15177,-2.72
"330.2282 / 13.02",6.5846,2.7191
"347.1182 / 19.97",6.5828,2.7187
"131.9157 / 11.61",0.15196,-2.7182
"301.1417 / 16.85",0.152,-2.7179
"463.1578 / 20.08",6.5726,2.7165
"377.2321 / 21.98  M-H2O-H-",0.15228,-2.7152
"201.0884 / 1.54",0.15237,-2.7143
"658.3516 / 20.28  M2H2",0.15246,-2.7135
"309.1735 / 28.33",0.15249,-2.7132
"584.3261 / 9.29",0.15263,-2.7119
"377.0953 / 4.21",0.15267,-2.7115
"187.0286 / 29.23",0.15285,-2.7099
"235.1818 / 7.98  MH",6.5381,2.7089
"160.0966 / 3.80",6.5375,2.7087
"232.9741 / 8.65",0.1533,-2.7056
"261.0627 / 14.11",6.519,2.7046
"627.0172 / 1.26",0.15342,-2.7044
"405.1758 / 19.81  M-H-",6.5173,2.7043
"153.0664 / 5.75  MH",6.5148,2.7037
"263.0878 / 1.59",6.5089,2.7024
"204.0569 / 1.46",6.508,2.7022
"510.2940 / 20.53",0.15376,-2.7012
"516.2926 / 21.18  M2H2",0.15378,-2.701
"121.0286 / 10.06",6.4915,2.6986
"180.1011 / 1.82",0.15433,-2.6959
"254.0466 / 11.78  MNa",6.4532,2.69
"403.2317 / 11.47",0.15526,-2.6872
"266.1027 / 2.44  MH",6.4316,2.6852
"82.9979 / 7.21",0.15554,-2.6846
"138.0664 / 12.44",6.4158,2.6816
"302.0359 / 1.57",0.15591,-2.6812
"687.1589 / 22.54",0.15598,-2.6806
"146.9743 / 12.91",0.15617,-2.6789
"315.1665 / 1.83",0.15648,-2.676
"231.1504 / 21.11",6.3839,2.6744
"181.0720 / 2.24",6.3785,2.6732
"234.9761 / 16.85",0.15691,-2.672
"441.1488 / 22.51",0.15705,-2.6707
"188.0022 / 2.77",6.3535,2.6676
"227.9975 / 7.30  M-H-",6.3354,2.6634
"121.0395 / 2.88  MH",6.3336,2.663
"517.0024 / 1.10",0.15805,-2.6615
"349.1381 / 5.09  MH",6.3248,2.661
"291.1812 / 21.01",6.3225,2.6605
"81.0699 / 5.11",6.32,2.6599
"305.0217 / 0.27",0.1584,-2.6583
"124.0246 / 0.27",6.2936,2.6539
"183.0520 / 6.49",6.288,2.6526
"469.3143 / 14.48",0.15918,-2.6512
"236.1133 / 3.76",6.2656,2.6475
"551.0338 / 18.14",0.15961,-2.6474
"706.2708 / 21.02",0.15979,-2.6457
"455.1885 / 20.96  MNa-2H-",6.2575,2.6456
"201.0375 / 2.18  2MNa-2H-",0.15994,-2.6444
"383.2210 / 22.71",0.16005,-2.6434
"507.1821 / 19.94",6.247,2.6432
"787.1262 / 20.87  2MNa-2H-",0.16016,-2.6424
"426.1096 / 20.80",6.2396,2.6414
"309.1784 / 1.64  2MNa",6.231,2.6395
"965.5584 / 21.11  MH",0.16076,-2.637
"379.1141 / 3.16  2MNa-2H-",6.2029,2.6329
"250.1079 / 3.59  MCH3OHH",6.2013,2.6326
"539.1379 / 1.52",0.16236,-2.6228
"172.9745 / 31.93",6.1586,2.6226
"219.0276 / 10.08",6.1459,2.6196
"116.9854 / 1.03",0.16278,-2.619
"284.1143 / 2.28  MCH3OHH",6.1429,2.6189
"285.1106 / 21.84",0.16289,-2.618
"466.3177 / 22.49  MH",0.16312,-2.616
"369.0826 / 13.72  M-H-",6.1199,2.6135
"97.0284 / 1.84",6.1085,2.6108
"417.2244 / 22.68",0.1639,-2.6091
"566.2966 / 9.42",0.16414,-2.607
"152.0690 / 2.38",0.16514,-2.5982
"219.1352 / 2.19  MNH4",0.16537,-2.5962
"282.1041 / 5.18",0.16538,-2.5961
"259.1765 / 4.75",6.04,2.5946
"715.0395 / 12.24  3M2Na-3H-",0.16599,-2.5908
"123.0554 / 4.10  MH",0.16625,-2.5885
"591.4044 / 23.31",0.16631,-2.5881
"480.1614 / 5.78",6.0024,2.5855
"283.0486 / 15.93",0.1668,-2.5838
"141.0175 / 0.80",5.9926,2.5832
"466.1950 / 15.02",0.16695,-2.5825
"268.1186 / 3.19  MCH3OHH",5.9751,2.579
"426.9873 / 1.20",0.16771,-2.5759
"137.0599 / 9.88",5.9564,2.5744
"164.0557 / 4.77",0.16796,-2.5739
"203.0538 / 14.15",5.9539,2.5738
"174.9933 / 16.74",0.16804,-2.5731
"122.0357 / 13.38",5.9357,2.5694
"343.0672 / 9.08",5.9354,2.5693
"143.0183 / 6.99",5.9319,2.5685
"317.1504 / 19.62",0.1686,-2.5683
"546.3015 / 22.48",0.16892,-2.5656
"212.0914 / 2.22",0.169,-2.5649
"299.0081 / 17.32",0.16908,-2.5642
"186.0560 / 3.61",5.9108,2.5633
"203.0310 / 21.36",0.1693,-2.5623
"615.2475 / 21.76",0.16977,-2.5584
"157.0829 / 4.81",0.16993,-2.557
"348.1069 / 3.19",5.8809,2.556
"364.0654 / 2.35",0.17005,-2.5559
"218.0067 / 11.82",0.17049,-2.5523
"199.1095 / 5.23  M-H-",5.8649,2.5521
"195.1141 / 3.74",5.8633,2.5517
"304.2381 / 23.64",0.1706,-2.5513
"249.9794 / 14.86  MAcO-H-",0.17065,-2.5509
"653.3260 / 20.99",0.17071,-2.5504
"769.1609 / 22.51",0.171,-2.5479
"303.2323 / 23.65",0.17105,-2.5475
"215.1262 / 13.01",0.17106,-2.5474
"449.2018 / 19.81",5.8445,2.5471
"276.1558 / 2.60  MNH4",5.8404,2.5461
"303.9009 / 9.20  MAcO-H-",0.17135,-2.545
"272.1352 / 5.56",0.17179,-2.5413
"349.2377 / 22.84",0.17185,-2.5408
"331.1937 / 21.24",0.1719,-2.5403
"444.2448 / 3.19",0.17237,-2.5364
"435.9652 / 8.68",0.17269,-2.5337
"211.0613 / 9.62",5.7879,2.533
"137.0245 / 10.05",5.7763,2.5302
"158.0832 / 9.93",5.7664,2.5277
"391.2314 / 9.29  M3H3",0.17371,-2.5253
"218.0067 / 9.64",0.17394,-2.5234
"362.1166 / 20.94",5.7445,2.5222
"359.0566 / 6.51",5.7427,2.5217
"391.5614 / 9.33",0.17443,-2.5193
"449.2232 / 17.89",0.17444,-2.5192
"459.1491 / 18.04",5.7328,2.5192
"137.0602 / 4.83",0.17451,-2.5186
"412.2857 / 22.49",0.17517,-2.5131
"313.0561 / 5.11",5.6852,2.5072
"362.0304 / 5.77",0.17597,-2.5066
"709.0215 / 1.29",0.17603,-2.5061
"167.0563 / 7.92",5.66,2.5008
"261.0743 / 17.29",5.6565,2.4999
"376.0099 / 21.97",0.17684,-2.4995
"218.0069 / 7.53",0.17695,-2.4986
"372.2131 / 19.20",0.177,-2.4982
"435.9669 / 11.83",0.17712,-2.4972
"322.1009 / 2.97  MNa",5.6453,2.497
"590.9943 / 1.27",0.17719,-2.4966
"197.0969 / 21.55",0.17742,-2.4948
"466.1974 / 22.06",5.6356,2.4946
"257.1635 / 7.97  MNa",5.6193,2.4904
"298.0229 / 16.02",0.17822,-2.4883
"675.3325 / 20.78  M4H4",5.5995,2.4853
"627.3744 / 23.05",0.17899,-2.482
"247.1297 / 3.05",0.17907,-2.4814
"545.0136 / 18.29",0.1792,-2.4804
"268.0758 / 3.94",0.17992,-2.4745
"631.1671 / 22.62",5.5544,2.4736
"198.0761 / 4.72",5.5528,2.4732
"100.9257 / 5.94",0.18061,-2.469
"367.1504 / 5.08",5.5295,2.4671
"89.9618 / 1.06",0.18087,-2.467
"207.9673 / 13.88",5.5247,2.4659
"321.2079 / 22.32",5.5235,2.4656
"131.0823 / 1.47  M-H-",0.18127,-2.4638
"258.1669 / 7.99",5.5119,2.4625
"389.2082 / 23.00  MH",0.18169,-2.4604
"131.9149 / 8.88",0.1821,-2.4572
"132.9588 / 19.96",0.18219,-2.4565
"290.0992 / 3.19",5.4841,2.4553
"259.0293 / 20.03",5.4778,2.4536
"165.0424 / 8.67",5.473,2.4523
"150.0017 / 19.55",0.18276,-2.452
"444.2235 / 14.53",5.4712,2.4519
"464.3023 / 22.48",0.18277,-2.4519
"132.9591 / 5.20",0.18294,-2.4506
"177.9914 / 1.82",0.18325,-2.4481
"413.2398 / 7.26",0.18325,-2.4481
"305.2497 / 23.64",0.18374,-2.4443
"500.2762 / 23.03",0.1838,-2.4438
"480.2642 / 9.29  M2H2",0.18387,-2.4433
"524.9606 / 1.28  MCH3OHH",0.18412,-2.4413
"299.0064 / 13.34",0.18438,-2.4393
"503.1847 / 22.62",5.4217,2.4387
"93.0346 / 10.08",5.4215,2.4387
"435.2438 / 20.29",0.18456,-2.4378
"391.2112 / 21.47  MNa-2H-",0.18489,-2.4353
"155.0701 / 16.46",0.18505,-2.434
"463.0136 / 15.01",0.18507,-2.4339
"279.1523 / 3.89",0.18522,-2.4327
"622.8024 / 14.48",0.18599,-2.4267
"453.2469 / 21.57  2MK-2H-",0.18641,-2.4235
"467.1613 / 22.62",5.3547,2.4208
"114.0662 / 2.14",5.3488,2.4192
"360.9578 / 9.25",0.18767,-2.4137
"188.0561 / 2.54",0.1881,-2.4104
"232.0971 / 3.60",5.3137,2.4097
"292.9913 / 15.18",0.18833,-2.4087
"262.9822 / 8.57",0.18839,-2.4082
"698.3873 / 11.83",0.18849,-2.4074
"223.0207 / 18.54",0.18866,-2.4062
"325.0746 / 5.33",5.3002,2.406
"378.2357 / 21.95",0.18903,-2.4033
"158.0603 / 12.89",0.18907,-2.403
"387.0262 / 18.68  M-H-",0.1891,-2.4028
"272.9382 / 6.63",0.18919,-2.4021
"230.1214 / 1.80",0.18921,-2.402
"342.2644 / 19.95",5.2854,2.402
"507.2054 / 20.86",5.2807,2.4007
"151.0077 / 1.62",5.2635,2.396
"221.0797 / 20.01  MNa-2H-",0.19034,-2.3934
"339.1790 / 22.62",5.2518,2.3928
"303.1555 / 22.62  MNa",5.2483,2.3918
"635.4309 / 23.34",0.19077,-2.3901
"346.2080 / 22.30",5.2368,2.3887
"385.2351 / 23.65",0.1913,-2.3861
"713.1725 / 22.62",5.2272,2.386
"318.1776 / 7.99  M3H3",0.19141,-2.3853
"375.1267 / 14.39  MNa-2H-",5.2233,2.3849
"381.0100 / 14.78",0.1917,-2.3831
"303.9010 / 7.84",0.1919,-2.3816
"502.2971 / 23.03",0.19229,-2.3787
"218.0074 / 8.61",0.19276,-2.3751
"272.9379 / 9.15",0.19279,-2.3749
"517.2042 / 9.33",0.1931,-2.3726
"235.1809 / 9.52",5.1746,2.3715
"398.9770 / 1.10",0.19373,-2.3679
"508.9910 / 1.27",0.19389,-2.3667
"300.1569 / 1.93",0.1941,-2.3652
"229.1403 / 18.13",0.19442,-2.3627
"183.0302 / 9.36",5.1432,2.3627
"282.1196 / 1.77",5.1214,2.3565
"709.0224 / 17.70",0.1956,-2.354
"421.1816 / 22.62",5.1105,2.3535
"281.0510 / 21.49",0.19607,-2.3506
"186.1318 / 10.47",5.095,2.3491
"921.5335 / 21.01",0.19662,-2.3466
"385.1584 / 22.62",5.0842,2.346
"430.2964 / 22.49",0.19669,-2.346
"238.1080 / 4.90",5.0772,2.344
"341.1234 / 15.48",5.0721,2.3426
"319.1909 / 22.08",0.19725,-2.3419
"791.0249 / 1.26  MCl-",0.19729,-2.3416
"120.0809 / 6.29",0.19743,-2.3406
"627.0200 / 12.09",0.19745,-2.3404
"144.0658 / 2.54",0.19756,-2.3396
"136.0759 / 7.69",0.19778,-2.338
"145.0625 / 11.87",5.0554,2.3378
"402.1234 / 8.89",0.19795,-2.3368
"671.2394 / 23.00",0.19798,-2.3366
"585.1880 / 22.62",5.0469,2.3354
"215.0812 / 7.96  MH",0.19827,-2.3345
"259.1402 / 2.54",5.0391,2.3332
"360.1021 / 20.96",5.0264,2.3295
"217.0034 / 8.04",0.1993,-2.327
"549.2141 / 3.11",0.19933,-2.3267
"480.2090 / 5.57",0.19938,-2.3264
"141.0163 / 18.54",0.1996,-2.3248
"277.1294 / 9.49",5.0094,2.3246
"266.1388 / 8.51",5.0071,2.324
"627.0204 / 18.00",0.19984,-2.3231
"667.1906 / 22.62",5.0036,2.323
"493.2815 / 8.01  2MH",5.0015,2.3224
"215.0341 / 1.45",4.99,2.319
"335.0940 / 1.51",4.9862,2.3179
"263.1105 / 2.17",0.20077,-2.3164
"132.9218 / 13.43",0.20109,-2.3141
"453.0506 / 2.08",4.9625,2.3111
"489.2825 / 22.83",0.20166,-2.31
"633.0371 / 18.69",0.20167,-2.3099
"501.1996 / 18.31",0.20175,-2.3094
"391.2841 / 23.24  M-H-",0.2018,-2.309
"190.0547 / 6.94",0.20198,-2.3077
"173.9618 / 10.90",0.20204,-2.3073
"601.2661 / 22.26",0.20213,-2.3066
"399.1655 / 21.52",4.9435,2.3055
"299.0063 / 0.43",0.20244,-2.3044
"374.3252 / 21.45",4.9391,2.3043
"353.1546 / 20.57",0.20258,-2.3034
"269.1512 / 19.01",4.9202,2.2987
"463.0129 / 12.17",0.20324,-2.2987
"749.1940 / 22.62",4.9184,2.2982
"189.1133 / 10.16",4.9179,2.298
"296.0705 / 19.52  MH",4.9154,2.2973
"831.1972 / 22.55",4.9087,2.2953
"243.8816 / 31.78",4.8984,2.2923
"469.7822 / 21.01",0.20419,-2.292
"146.9706 / 9.11",0.20447,-2.2901
"260.0935 / 14.11",4.8853,2.2884
"248.0917 / 2.44",4.8836,2.2879
"213.0403 / 9.59",4.8786,2.2865
"267.0728 / 3.92  M-H-",0.20512,-2.2854
"180.0615 / 14.08",4.8748,2.2853
"461.1416 / 20.07  MNa-2H-",4.8746,2.2853
"575.2714 / 19.95",0.20522,-2.2848
"318.0520 / 19.52  MNa",4.8691,2.2837
"399.1783 / 20.92",0.2054,-2.2835
"337.1375 / 15.68",4.8682,2.2834
"541.1353 / 1.52",0.20559,-2.2821
"672.9975 / 1.29",0.20578,-2.2808
"472.7637 / 21.01",0.20585,-2.2804
"436.7467 / 9.29",0.20585,-2.2803
"159.0277 / 3.90  MNa",0.20611,-2.2785
"181.9924 / 8.26",4.8507,2.2782
"259.1191 / 15.61  M-H-",4.8504,2.2781
"113.0230 / 1.81",4.8471,2.2771
"203.0533 / 1.46",4.8429,2.2759
"301.1451 / 12.09",0.20663,-2.2749
"130.0500 / 11.84",4.8387,2.2746
"136.0480 / 1.45  MNa",4.8369,2.2741
"311.1836 / 10.75",0.20686,-2.2733
"381.1087 / 19.24  MNa-2H-",4.8342,2.2733
"193.0978 / 3.86  MH",4.8315,2.2725
"591.9929 / 1.28",0.20715,-2.2712
"344.9842 / 8.81",0.2081,-2.2647
"315.0726 / 4.47",4.8038,2.2642
"82.9979 / 5.52",0.2082,-2.264
"481.2437 / 20.96  M-H-",4.7946,2.2614
"284.1498 / 2.71",4.7935,2.2611
"246.1819 / 3.25",0.20864,-2.2609
"114.9480 / 18.43",0.20874,-2.2602
"310.1631 / 17.70",4.7829,2.2579
"197.0678 / 2.26",4.781,2.2573
"313.1205 / 21.50",0.20931,-2.2563
"202.1178 / 2.66",0.20945,-2.2554
"571.2854 / 22.83",0.20953,-2.2548
"136.0521 / 3.16",4.7722,2.2546
"200.9452 / 32.00",0.20977,-2.2531
"243.8807 / 7.44",0.20993,-2.252
"262.9816 / 15.72",0.20995,-2.2519
"297.0828 / 8.80",0.21009,-2.2509
"233.9828 / 1.79",0.21013,-2.2506
"141.0168 / 11.59",0.21028,-2.2496
"262.1489 / 2.71",0.21034,-2.2492
"116.9296 / 9.57",0.21069,-2.2468
"129.0551 / 5.78  M-H-",0.21084,-2.2458
"873.0263 / 1.26",0.21109,-2.2441
"213.1238 / 1.81",0.21133,-2.2424
"230.0404 / 2.39",0.21171,-2.2399
"646.3209 / 22.73  MNa-2H-",0.21179,-2.2393
"494.2800 / 21.11",0.21192,-2.2384
"263.9948 / 17.99  MTFA-H-",0.21215,-2.2368
"267.9355 / 18.55",0.2127,-2.2331
"288.1190 / 1.78",0.21309,-2.2305
"223.0219 / 21.95  M-H-",0.21314,-2.2302
"381.0089 / 0.43",0.2134,-2.2284
"276.1551 / 1.86  MNH4",4.6828,2.2274
"614.1770 / 21.70",0.21368,-2.2265
"321.2430 / 23.12",0.21369,-2.2264
"103.9185 / 16.17",0.21391,-2.225
"308.1446 / 15.23",4.6737,2.2246
"390.0692 / 20.91  MNa",0.21408,-2.2237
"305.2496 / 23.13",0.21428,-2.2225
"155.9748 / 6.68",4.6648,2.2218
"553.1829 / 18.78",4.6541,2.2185
"196.0441 / 12.63",0.21486,-2.2185
"441.1960 / 17.67  M-H-",4.6528,2.2181
"581.2290 / 22.68",0.21495,-2.2179
"258.0439 / 11.02",4.6451,2.2157
"197.0683 / 3.80",4.6411,2.2145
"216.1236 / 2.25  MH",4.6341,2.2123
"387.0256 / 8.20",0.21636,-2.2085
"268.9361 / 9.03",0.21682,-2.2054
"362.2003 / 22.55",0.21684,-2.2053
"407.2791 / 22.83",0.21688,-2.205
"469.0286 / 15.07  3M2Na-3H-",0.21696,-2.2045
"214.0505 / 6.99",0.21706,-2.2038
"181.0731 / 12.44",4.6024,2.2024
"401.2567 / 23.44",0.2174,-2.2016
"276.0005 / 12.63",0.21763,-2.2
"589.2358 / 23.00",0.21767,-2.1998
"101.0062 / 15.57",0.21775,-2.1993
"159.0769 / 1.45  MH",0.21795,-2.1979
"189.0409 / 2.18",4.5857,2.1972
"291.1217 / 22.13  MH",0.2182,-2.1963
"114.9476 / 9.95",0.21864,-2.1934
"127.0504 / 4.07",4.5712,2.1926
"274.1036 / 2.30",4.565,2.1906
"240.9979 / 1.82  MNa",0.21932,-2.1889
"265.1979 / 10.47  MH",4.5591,2.1887
"281.1033 / 5.15",0.21961,-2.187
"277.0028 / 12.60",0.21988,-2.1852
"257.1764 / 22.62  MAcO-H-",4.5464,2.1847
"353.1608 / 21.18  M-H-",0.22011,-2.1837
"229.0387 / 5.88",0.22018,-2.1832
"179.0576 / 14.11  M-H-",4.5397,2.1826
"310.2022 / 17.69",4.5392,2.1824
"286.0689 / 12.89",0.2209,-2.1786
"598.2613 / 7.60",0.22099,-2.1779
"291.9897 / 18.22",0.22102,-2.1778
"695.0075 / 1.20",0.22103,-2.1777
"243.1234 / 16.32",4.5234,2.1774
"265.1212 / 1.85",0.2211,-2.1772
"554.3470 / 23.89",0.22147,-2.1748
"499.2191 / 19.95  MNa",0.22154,-2.1744
"485.2228 / 18.82",4.5122,2.1738
"591.4341 / 23.38",0.22174,-2.1731
"262.9810 / 18.94",0.22216,-2.1703
"522.2608 / 20.78",0.22218,-2.1702
"223.0586 / 4.47",4.4934,2.1678
"255.1354 / 15.71",4.4921,2.1674
"345.2033 / 22.29",4.4892,2.1665
"306.1680 / 8.76  MNa",4.4804,2.1636
"457.1908 / 3.72  MNa",0.22356,-2.1613
"283.0468 / 13.06",0.2236,-2.161
"444.2228 / 15.98",4.4723,2.161
"81.0701 / 4.00",4.4569,2.156
"174.9930 / 8.32",0.22458,-2.1547
"264.0825 / 4.80",4.4479,2.1531
"636.0008 / 21.56",0.225,-2.152
"285.2218 / 22.96  MNH4",0.2251,-2.1513
"287.0456 / 5.80",0.22523,-2.1505
"599.0917 / 1.52",0.22527,-2.1503
"512.1480 / 8.86",4.4384,2.15
"144.0459 / 12.77",0.22563,-2.1479
"324.0593 / 7.59",4.4254,2.1458
"201.1139 / 13.07",4.4225,2.1449
"204.0667 / 12.89  M-H-",0.22622,-2.1442
"271.2061 / 20.94",4.4178,2.1433
"195.0527 / 9.33",4.4143,2.1422
"403.1965 / 14.00  M-H-",0.22656,-2.142
"215.0790 / 3.86  MNa",4.4104,2.1409
"132.9554 / 16.23",0.22705,-2.1389
"549.1642 / 22.62",4.4021,2.1382
"187.0287 / 31.57",0.2277,-2.1348
"430.0735 / 5.65",0.22832,-2.1309
"289.9934 / 31.81",4.3797,2.1308
"213.1607 / 7.31",0.22843,-2.1302
"282.0519 / 12.94",0.22856,-2.1293
"201.0264 / 16.28",0.22881,-2.1278
"463.0116 / 7.80",0.2288,-2.1278
"223.1055 / 5.23",4.3693,2.1274
"99.9253 / 12.02",0.22916,-2.1256
"297.0834 / 8.08",0.22932,-2.1246
"593.2927 / 15.27",0.22956,-2.123
"247.1297 / 1.86",0.22972,-2.122
"421.1888 / 22.30",4.3477,2.1202
"397.2549 / 23.09",4.3454,2.1195
"674.2896 / 22.49",0.23025,-2.1187
"349.0732 / 1.53",4.3344,2.1158
"211.0994 / 1.44",0.23101,-2.114
"164.0337 / 14.11",4.329,2.114
"483.0144 / 7.40  2MNa-2H-",4.3276,2.1136
"536.8069 / 9.29  M2H2",0.23116,-2.113
"252.0910 / 1.87",4.3199,2.111
"422.9313 / 0.31",0.23163,-2.1101
"116.9861 / 8.13",4.3118,2.1083
"359.1266 / 19.24  M-H-",4.3114,2.1082
"245.0496 / 14.19",4.311,2.108
"755.0002 / 1.29",0.23207,-2.1074
"291.9897 / 31.05  MAcO-H-",4.308,2.107
"189.0904 / 20.83",0.23229,-2.106
"105.9350 / 11.50",0.23236,-2.1056
"423.1767 / 18.93",4.2988,2.1039
"86.0965 / 8.05",4.2935,2.1022
"198.1131 / 2.22  MH",4.2911,2.1013
"446.2010 / 4.91",0.23327,-2.0999
"192.0327 / 2.03  MH",0.23348,-2.0986
"174.9928 / 10.10",4.2726,2.0951
"261.0879 / 2.35",0.23412,-2.0947
"332.1835 / 18.49  MNa",4.2704,2.0944
"234.9761 / 5.66",0.23416,-2.0944
"215.1391 / 1.88  MNH4",0.23426,-2.0938
"149.0235 / 16.26",0.23441,-2.0929
"599.0081 / 1.04",0.23463,-2.0915
"247.0583 / 10.67",0.23478,-2.0906
"308.1864 / 18.12",4.2547,2.0891
"104.9635 / 7.58",0.23505,-2.089
"923.4736 / 21.20",4.2537,2.0887
"588.4112 / 20.74",4.2498,2.0874
"624.4379 / 20.74",4.2498,2.0874
"122.0575 / 5.02  MNa",4.2477,2.0867
"165.0560 / 10.64  M-H-",0.23545,-2.0865
"347.9446 / 31.78",0.23546,-2.0865
"98.9756 / 8.48",0.23562,-2.0854
"270.9597 / 1.79",4.2434,2.0852
"263.1674 / 22.15",4.2424,2.0849
"351.1643 / 20.84",0.23586,-2.084
"149.0202 / 18.59",0.23601,-2.0831
"284.9697 / 9.30  MNa-2H-",4.2315,2.0812
"955.0330 / 1.29",0.23655,-2.0798
"597.0955 / 1.52",0.2366,-2.0795
"240.1605 / 20.44",0.23664,-2.0792
"298.0812 / 10.29",0.23691,-2.0776
"473.2877 / 23.24",0.23698,-2.0772
"496.3410 / 23.92",0.23707,-2.0766
"231.1155 / 9.54",0.23739,-2.0747
"471.2111 / 23.00  MH",0.23768,-2.0729
"305.0240 / 12.92  M-H-",0.23777,-2.0724
"257.0774 / 2.70",0.23811,-2.0703
"232.1735 / 3.82",0.23817,-2.0699
"947.5976 / 23.54",0.23817,-2.0699
"245.0654 / 3.24",0.23822,-2.0696
"196.0976 / 4.83  MNH4",4.1972,2.0694
"299.0798 / 8.97  MNH4",0.23831,-2.0691
"279.0990 / 7.08",4.1932,2.0681
"232.9761 / 16.68",0.23856,-2.0676
"293.1713 / 19.72",4.1917,2.0675
"446.1893 / 21.09  M-2H2-",0.23866,-2.067
"637.2708 / 8.89",4.19,2.0669
"431.2186 / 23.64",0.23885,-2.0658
"675.4230 / 24.62",0.23886,-2.0657
"193.0506 / 18.59",0.23901,-2.0648
"268.9372 / 31.31",0.23906,-2.0645
"298.9968 / 2.59",4.1826,2.0644
"231.1456 / 2.14",4.1794,2.0633
"241.0824 / 6.64",0.23934,-2.0629
"385.1349 / 4.69",0.23952,-2.0618
"292.1415 / 2.13  2M-",4.1734,2.0612
"144.0653 / 6.99  MNH4",0.23966,-2.061
"139.0498 / 4.10",0.2397,-2.0607
"289.9932 / 8.90",0.23994,-2.0592
"119.0496 / 10.64",0.24002,-2.0588
"99.9251 / 15.42",0.24033,-2.0569
"263.2031 / 22.58",0.24036,-2.0567
"833.4386 / 19.51  M-2H2-",0.24039,-2.0566
"174.9694 / 15.65",0.24076,-2.0543
"283.0423 / 14.98",0.24094,-2.0532
"259.1057 / 3.21  MNa",0.24101,-2.0528
"515.2814 / 7.58",4.1484,2.0526
"261.1348 / 14.49  MAcO-H-",4.1478,2.0523
"467.2375 / 23.65  M-H-",0.24126,-2.0513
"653.2894 / 22.83",0.2414,-2.0505
"114.9472 / 8.33",0.24149,-2.0499
"135.0028 / 1.76",0.24166,-2.0489
"146.9744 / 2.52  MCH3OHH",4.1294,2.0459
"415.0548 / 12.82",4.129,2.0458
"291.1456 / 12.26",0.24232,-2.045
"101.0084 / 13.67",0.24241,-2.0445
"219.0837 / 1.40  MCH3OHH",4.1235,2.0439
"376.9806 / 1.83",4.1195,2.0425
"224.5640 / 20.62",0.2429,-2.0416
"592.2972 / 15.20",4.1166,2.0414
"317.2130 / 21.40",0.24302,-2.0408
"199.1338 / 22.62",4.1138,2.0405
"183.1127 / 5.23",4.1082,2.0385
"121.1012 / 11.25  MH",0.24363,-2.0373
"145.0059 / 9.17",0.2438,-2.0362
"279.0185 / 13.81",0.24383,-2.036
"837.0023 / 1.29",0.24391,-2.0356
"321.1068 / 10.29  MNa-2H-",4.0868,2.031
"267.9361 / 13.44",0.2447,-2.0309
"262.9875 / 9.30  M-H-",4.0837,2.0299
"643.4140 / 21.59  MHNH42",0.24504,-2.0289
"454.1626 / 15.64",0.24572,-2.0249
"429.1723 / 19.79",4.0681,2.0244
"451.3056 / 23.24  MAcO-H-",0.24588,-2.0239
"99.9260 / 10.41",4.0652,2.0233
"317.0969 / 3.71",0.24628,-2.0217
"316.2129 / 10.53  MH",4.0602,2.0216
"311.2097 / 16.22  MNa",4.0591,2.0212
"810.5630 / 23.48",0.24647,-2.0205
"696.3687 / 20.74",4.0426,2.0153
"359.2902 / 21.30",0.24787,-2.0124
"291.9908 / 9.26",0.2483,-2.0098
"515.0424 / 2.08",4.0265,2.0095
"291.9889 / 13.83",0.24903,-2.0056
"475.3254 / 10.27  2MNa",4.0122,2.0044
"283.0499 / 6.88",0.24926,-2.0042
"439.2592 / 17.26  M3H3",0.24943,-2.0033
"198.0437 / 5.02",4.0017,2.0006
"301.1448 / 13.01",0.25007,-1.9996
"551.0279 / 29.74",0.25013,-1.9993
"357.2805 / 23.21",0.25044,-1.9974
"445.3110 / 22.98",0.2506,-1.9965
"591.2929 / 15.23  2MNa",3.9857,1.9948
"464.1849 / 22.08",3.9851,1.9946
"201.0267 / 8.64",0.25102,-1.9941
"278.1134 / 2.54  MNH4",0.25104,-1.994
"166.0869 / 6.26",0.25158,-1.9909
"452.2237 / 17.40  M2Na2",0.25168,-1.9904
"427.1066 / 3.93",0.25193,-1.9889
"245.1136 / 3.01  M-H-",0.25219,-1.9874
"153.1279 / 3.87",0.25226,-1.987
"877.5047 / 20.92  MH",0.25235,-1.9865
"483.3071 / 18.09",3.9575,1.9846
