"","Fold Change","log2(FC)"
"441.2709 / 15.49",6.577e-05,-13.892
"375.6728 / 10.64  M2H2",6.6189e-05,-13.883
"413.7637 / 9.37  M2H2",6.6276e-05,-13.881
"389.2404 / 10.45",6.6545e-05,-13.875
"765.4464 / 13.11  2MNa-2H-",6.6675e-05,-13.872
"576.2885 / 11.88  M2H2",6.6818e-05,-13.869
"531.2889 / 2.03  MNH4",6.6868e-05,-13.868
"244.1739 / 6.89",6.6883e-05,-13.868
"493.5276 / 9.71",6.6951e-05,-13.867
"400.7156 / 9.35",6.6989e-05,-13.866
"543.2766 / 14.82",6.7108e-05,-13.863
"552.6127 / 11.41  M3H3",6.716e-05,-13.862
"336.1535 / 11.98  MNa",6.7194e-05,-13.861
"470.2720 / 9.68",6.7327e-05,-13.858
"433.5526 / 16.71",6.7451e-05,-13.856
"405.1528 / 16.23",6.7462e-05,-13.856
"352.6958 / 6.58  M2H2",6.749e-05,-13.855
"456.2928 / 5.61",6.7534e-05,-13.854
"306.1465 / 5.16  MH",6.7561e-05,-13.853
"399.2598 / 13.87",6.7578e-05,-13.853
"580.7930 / 16.88  M2H2",6.7621e-05,-13.852
"399.2323 / 18.20  M2H2",6.804e-05,-13.843
"641.3619 / 15.23",6.8146e-05,-13.841
"350.1709 / 8.34  MH",6.8258e-05,-13.839
"692.3726 / 8.09  MH",6.8386e-05,-13.836
"556.2607 / 15.11",6.8406e-05,-13.836
"506.2614 / 9.58",6.8667e-05,-13.83
"408.2108 / 9.88",6.9e-05,-13.823
"443.2497 / 14.03  M-H-",6.9595e-05,-13.811
"747.4083 / 11.89",6.9617e-05,-13.81
"479.7649 / 8.52  M2H2",6.9655e-05,-13.809
"589.2092 / 2.29",6.9778e-05,-13.807
"491.7838 / 12.28  M2H2",7.0153e-05,-13.799
"549.1954 / 14.09  MNa-2H-",7.0153e-05,-13.799
"344.2183 / 11.11",7.0425e-05,-13.794
"428.2503 / 8.08",7.0401e-05,-13.794
"364.1720 / 6.03  M2H2",7.0446e-05,-13.793
"431.7194 / 10.34  M2H2",7.0593e-05,-13.79
"466.2679 / 15.17  M2H2",7.0716e-05,-13.788
"495.2449 / 12.10",7.0806e-05,-13.786
"619.3560 / 11.82  M-H-",7.0784e-05,-13.786
"425.2027 / 15.20  M-H-",7.0896e-05,-13.784
"428.1816 / 11.63",7.1094e-05,-13.78
"464.2494 / 10.84",7.151e-05,-13.771
"671.4093 / 19.19",7.1541e-05,-13.771
"688.3331 / 13.58  M-H-",7.1846e-05,-13.765
"888.3795 / 11.29",7.2156e-05,-13.759
"860.8867 / 18.43  M4H4",7.2312e-05,-13.755
"441.2346 / 6.68  MCH3OHH",7.2463e-05,-13.752
"429.2712 / 15.30",7.2963e-05,-13.742
"455.2495 / 11.34",7.3236e-05,-13.737
"493.7494 / 2.73",7.336e-05,-13.735
"421.2143 / 12.79  M2H2",7.3418e-05,-13.734
"482.7359 / 19.37  M2H2",7.354e-05,-13.731
"300.1925 / 7.26",7.3602e-05,-13.73
"716.2917 / 13.27",7.3717e-05,-13.728
"443.2499 / 12.50  MFA-H-",7.3801e-05,-13.726
"362.2111 / 3.50",7.3958e-05,-13.723
"263.9370 / 11.43",7.4578e-05,-13.711
"602.3492 / 3.79",7.4669e-05,-13.709
"462.2016 / 7.37",7.4818e-05,-13.706
"994.7183 / 26.13",7.5327e-05,-13.696
"692.4072 / 16.22  M-H-",7.5611e-05,-13.691
"545.2928 / 11.78  MH",7.5711e-05,-13.689
"243.1710 / 6.86  M-H-",7.5731e-05,-13.689
"581.8142 / 19.54",7.5813e-05,-13.687
"404.2353 / 13.61  M2H2",7.5932e-05,-13.685
"318.2026 / 6.69",7.598e-05,-13.684
"415.2297 / 1.91",7.6076e-05,-13.682
"548.3224 / 15.62  M2H2",7.6127e-05,-13.681
"386.7212 / 12.29  MHNH42",7.6216e-05,-13.68
"514.2877 / 13.02  M-H-",7.6196e-05,-13.68
"408.7460 / 9.41  M2Na2",7.639e-05,-13.676
"316.1871 / 6.14",7.7022e-05,-13.664
"320.1613 / 9.70  M-H-",7.7041e-05,-13.664
"316.1871 / 6.69",7.7323e-05,-13.659
"707.3349 / 18.05  MNa-2H-",7.7311e-05,-13.659
"663.3708 / 18.11",7.7408e-05,-13.657
"543.2764 / 11.81",7.7485e-05,-13.656
"385.6643 / 20.14  M-2H2-",7.7749e-05,-13.651
"527.7237 / 4.04",7.7783e-05,-13.65
"734.4084 / 18.36  MH",7.7824e-05,-13.649
"533.6204 / 9.28  M3H3",7.7966e-05,-13.647
"405.5833 / 9.76  M3H3",7.8032e-05,-13.646
"449.7488 / 19.19",7.8241e-05,-13.642
"406.7181 / 3.24  M2H2",7.8323e-05,-13.64
"542.2931 / 9.50",7.8309e-05,-13.64
"446.7056 / 11.36",7.8409e-05,-13.639
"458.3097 / 5.68",7.8385e-05,-13.639
"553.2641 / 13.63",7.857e-05,-13.636
"551.5344 / 18.81",7.8629e-05,-13.635
"428.1468 / 16.27  MNa",7.867e-05,-13.634
"378.1700 / 9.76",7.9028e-05,-13.627
"412.1695 / 9.71  MHK2",7.9144e-05,-13.625
"450.5800 / 17.56  M3H3",7.9237e-05,-13.623
"542.7964 / 18.84",7.947e-05,-13.619
"577.3204 / 8.08",7.9476e-05,-13.619
"440.2980 / 15.59",7.9551e-05,-13.618
"465.2708 / 17.20",7.9518e-05,-13.618
"614.6282 / 15.41  M3H3",7.9641e-05,-13.616
"586.8034 / 15.31  M2H2",8.0058e-05,-13.609
"403.2193 / 8.09  M",8.0132e-05,-13.607
